regime,is_holdout,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,med_valid_rate,n
log_slow,0,0.02,brezinski_theta1,50000.0,0.41863546463489004,0.09837028283603144,1.0188122178562482,1.0,3
log_slow,0,0.02,brezinski_theta2,50000.0,0.41863546463489004,0.10501622603723118,1.0642797308276568,1.0,3
log_slow,0,0.02,neville_2,50000.0,0.41863546463489004,8.667781372449154,86.97027269411002,0.5667,3
log_slow,0,0.02,neville_3,50000.0,0.41863546463489004,167.76279139354742,1743.966399961591,0.2667,3
log_slow,0,0.02,neville_4,50000.0,0.41863546463489004,0.04327244654553644,0.4214339242729653,0.0,3
log_slow,0,0.02,anderson_1,50000.0,0.41863546463489004,0.10255891119064683,1.0172040096347548,1.0,3
log_slow,0,0.02,anderson_2,50000.0,0.41863546463489004,0.10243459248715533,1.0158387818392318,1.0,3
log_slow,0,0.02,anderson_3,50000.0,0.41863546463489004,0.10230598310830177,1.0156286523080686,1.0,3
log_slow,0,0.02,median_ensemble,50000.0,0.41863546463489004,0.09985044678887056,1.0084290076949913,1.0,3
log_slow,0,0.02,stability_weighted,50000.0,0.41863546463489004,0.06433537214244334,0.634762028364227,1.0,3
log_slow,0,0.02,best_shanks_wynn,50000.0,0.41863546463489004,0.10113765673338954,1.01722961352184,1.0,3
log_slow,0,0.02,constant_assumed,50000.0,0.41863546463489004,0.1280493439962614,1.249701505199361,1.0,3
log_slow,0,0.02,constant_oracle,50000.0,0.41863546463489004,0.07393829701292087,0.7282678354122811,1.0,3
log_slow,0,0.02,window_mean,50000.0,0.41863546463489004,0.12189501409949946,1.2005147607785644,1.0,3
log_slow,0,0.02,window_min,50000.0,0.41863546463489004,0.10216976035015425,1.0,1.0,3
log_slow,0,0.02,last_value,50000.0,0.41863546463489004,0.10267907838647497,1.014328072020298,1.0,3
log_oscillatory,0,0.1,current_value,50000.0,0.2992564263745022,0.14365932409814758,1.6884123952584678,1.0,3
log_oscillatory,0,0.1,linear,50000.0,0.2992564263745022,,,0.0,3
log_oscillatory,0,0.1,log_linear,50000.0,0.2992564263745022,0.030626597752048096,0.3607646221370935,1.0,3
log_oscillatory,0,0.1,geom_avg_diff,50000.0,0.2992564263745022,0.145715200287441,1.8267990786528827,0.0,3
log_oscillatory,0,0.1,richardson_1,50000.0,0.2992564263745022,0.022569916602368373,0.2675844332201284,1.0,3
log_oscillatory,0,0.1,richardson_2,50000.0,0.2992564263745022,0.08930925244173489,1.0426977553224277,1.0,3
log_oscillatory,0,0.1,richardson_3,50000.0,0.2992564263745022,0.0990281947071146,1.1561637233096533,1.0,3
log_oscillatory,0,0.1,richardson_a05,50000.0,0.2992564263745022,0.06533978416407686,0.7667058456906315,1.0,3
log_oscillatory,0,0.1,richardson_a10,50000.0,0.2992564263745022,0.10137954424242522,1.1858597996214826,1.0,3
log_oscillatory,0,0.1,richardson_a20,50000.0,0.2992564263745022,0.12042731001607206,1.4075308458401725,1.0,3
log_oscillatory,0,0.1,single_exp_fit,50000.0,0.2992564263745022,0.11265611086107846,1.315267583911549,1.0,3
log_oscillatory,0,0.1,double_exp_fit,50000.0,0.2992564263745022,0.11265611071782734,1.3152675822417186,1.0,3
log_oscillatory,0,0.1,rational_fit,50000.0,0.2992564263745022,0.11098327820578899,1.2957379892661525,1.0,3
log_oscillatory,0,0.1,log_fit,50000.0,0.2992564263745022,0.038847813610261864,0.45880288417732307,1.0,3
log_oscillatory,0,0.1,shanks_1,50000.0,0.2992564263745022,0.1407436332438044,1.7658321305832412,1.0,3
log_oscillatory,0,0.1,shanks_2,50000.0,0.2992564263745022,0.13842432261517643,1.7154470301749365,1.0,3
log_oscillatory,0,0.1,shanks_3,50000.0,0.2992564263745022,0.13771800810691537,1.6730938976629726,1.0,3
log_oscillatory,0,0.1,shanks_4,50000.0,0.2992564263745022,0.13027741879108823,1.6285333182366712,1.0,3
log_oscillatory,0,0.1,wynn_eps_1,50000.0,0.2992564263745022,0.14074363324380504,1.7658321305832239,1.0,3
log_oscillatory,0,0.1,wynn_eps_2,50000.0,0.2992564263745022,0.13852603544978936,1.7273507938923198,1.0,3
log_oscillatory,0,0.1,wynn_eps_3,50000.0,0.2992564263745022,0.13364831059765847,1.7217285249212622,1.0,3
log_oscillatory,0,0.1,wynn_rho_1,50000.0,0.2992564263745022,0.14102343568114428,1.7457704177262912,1.0,3
log_oscillatory,0,0.1,wynn_rho_2,50000.0,0.2992564263745022,0.1416126722086012,1.7674178855246652,1.0,3
log_oscillatory,0,0.1,wynn_rho_3,50000.0,0.2992564263745022,0.1962311568930664,2.4524112619879297,1.0,3
log_oscillatory,0,0.1,pade_11,50000.0,0.2992564263745022,0.12967550119571464,1.5183229567202916,1.0,3
log_oscillatory,0,0.1,pade_12,50000.0,0.2992564263745022,0.11430655983808846,1.3345375310106302,1.0,3
log_oscillatory,0,0.1,pade_13,50000.0,0.2992564263745022,0.11265590896648237,1.3152652266973668,1.0,3
log_oscillatory,0,0.1,pade_21,50000.0,0.2992564263745022,31.922551544771167,377.51728268477984,1.0,3
log_oscillatory,0,0.1,pade_22,50000.0,0.2992564263745022,0.12317949387365948,1.442708424805043,1.0,3
log_oscillatory,0,0.1,pade_23,50000.0,0.2992564263745022,0.11319894531342675,1.321605455457023,1.0,3
log_oscillatory,0,0.1,pade_31,50000.0,0.2992564263745022,,,0.0,3
log_oscillatory,0,0.1,pade_32,50000.0,0.2992564263745022,101.88562611145363,1180.4479032168874,1.0,3
