target_g,tercile,tercile_range,regime_set,row,group,n_records,n_valid,med_error,win_rate_vs_last,win_rate_vs_assumed,med_skill_vs_last,mi
0.5,T1,"[0.005, 0.0232)",holdout,wynn_rho_2,classical_variant,198,198,0.047276,0.373737,0.671717,1.060609,0.942856
0.5,T1,"[0.005, 0.0232)",holdout,wynn_rho_3,classical_variant,198,197,0.051761,0.29798,0.606061,1.165264,0.858175
0.5,T1,"[0.005, 0.0232)",holdout,classical_21,classical_pooled,4158,4156,0.031384,0.478355,0.845358,1.007031,0.993018
0.5,T2,"[0.0232, 0.1077)",core,constant_assumed,trivial,561,561,0.113263,0.064171,0.0,1.836324,0.544566
0.5,T2,"[0.0232, 0.1077)",core,last_value,trivial,561,561,0.073759,0.0,0.935829,1.0,1.0
0.5,T2,"[0.0232, 0.1077)",core,window_mean,trivial,561,561,0.107494,0.203209,0.59893,1.708503,0.585308
0.5,T2,"[0.0232, 0.1077)",core,window_min,trivial,561,561,0.049911,0.386809,0.934046,1.0,1.0
0.5,T2,"[0.0232, 0.1077)",core,constant_oracle,oracle,561,561,0.05,0.73975,1.0,0.992302,1.007758
0.5,T2,"[0.0232, 0.1077)",core,log_linear,top10,561,560,0.014411,0.87344,0.918004,0.295534,3.383712
0.5,T2,"[0.0232, 0.1077)",core,richardson_3,top10,561,560,0.015793,0.853832,0.912656,0.34446,2.903112
0.5,T2,"[0.0232, 0.1077)",core,richardson_2,top10,561,561,0.017225,0.83779,0.914439,0.322172,3.103933
0.5,T2,"[0.0232, 0.1077)",core,double_exp_fit,top10,561,558,0.015195,0.901961,0.994652,0.307897,3.232495
0.5,T2,"[0.0232, 0.1077)",core,rational_fit,top10,561,561,0.016674,0.877005,0.97861,0.355331,2.782801
0.5,T2,"[0.0232, 0.1077)",core,richardson_1,top10,561,561,0.020385,0.825312,0.900178,0.322483,3.100937
0.5,T2,"[0.0232, 0.1077)",core,pade_23,top10,561,560,0.022455,0.659537,0.819964,0.527741,1.894893
0.5,T2,"[0.0232, 0.1077)",core,pade_12,top10,561,527,0.018791,0.659537,0.818182,0.537173,1.713134
0.5,T2,"[0.0232, 0.1077)",core,pade_22,top10,561,510,0.011199,0.68984,0.800357,0.357104,2.446401
0.5,T2,"[0.0232, 0.1077)",core,single_exp_fit,top10,561,561,0.02112,0.912656,1.0,0.465792,2.139831
0.5,T2,"[0.0232, 0.1077)",core,anderson_1,classical_variant,561,561,0.0732,0.575758,0.923351,0.998639,1.001363
0.5,T2,"[0.0232, 0.1077)",core,anderson_2,classical_variant,561,561,0.071728,0.547237,0.925134,0.997406,1.002601
0.5,T2,"[0.0232, 0.1077)",core,anderson_3,classical_variant,561,561,0.070268,0.522282,0.925134,0.998959,1.001042
0.5,T2,"[0.0232, 0.1077)",core,brezinski_theta1,classical_variant,561,561,0.050847,0.509804,0.923351,0.999934,1.000066
0.5,T2,"[0.0232, 0.1077)",core,brezinski_theta2,classical_variant,561,545,0.067036,0.340463,0.87344,1.087176,0.919814
0.5,T2,"[0.0232, 0.1077)",core,levin_t1,classical_variant,561,547,0.051119,0.575758,0.923351,0.9969,1.00311
0.5,T2,"[0.0232, 0.1077)",core,levin_t2,classical_variant,561,546,0.051714,0.470588,0.909091,1.003839,0.996176
0.5,T2,"[0.0232, 0.1077)",core,levin_u1,classical_variant,561,547,0.072133,0.386809,0.811052,1.027267,0.973457
0.5,T2,"[0.0232, 0.1077)",core,levin_u2,classical_variant,561,547,0.07019,0.399287,0.875223,1.015673,0.984569
0.5,T2,"[0.0232, 0.1077)",core,levin_v1,classical_variant,561,547,0.070304,0.28164,0.878788,1.028409,0.972376
0.5,T2,"[0.0232, 0.1077)",core,levin_v2,classical_variant,561,547,0.065826,0.40107,0.893048,1.024648,0.975945
0.5,T2,"[0.0232, 0.1077)",core,shanks_1,classical_variant,561,561,0.052508,0.575758,0.923351,0.998016,1.001988
0.5,T2,"[0.0232, 0.1077)",core,shanks_2,classical_variant,561,560,0.067792,0.329768,0.909091,1.038247,0.963162
0.5,T2,"[0.0232, 0.1077)",core,shanks_3,classical_variant,561,561,0.058977,0.397504,0.907308,1.021653,0.978806
0.5,T2,"[0.0232, 0.1077)",core,shanks_4,classical_variant,561,547,0.057908,0.404635,0.914439,1.026226,0.974444
0.5,T2,"[0.0232, 0.1077)",core,wynn_eps_1,classical_variant,561,547,0.051119,0.575758,0.923351,0.9969,1.00311
0.5,T2,"[0.0232, 0.1077)",core,wynn_eps_2,classical_variant,561,543,0.050088,0.506239,0.905526,0.996242,1.003772
0.5,T2,"[0.0232, 0.1077)",core,wynn_eps_3,classical_variant,561,536,0.053147,0.506239,0.878788,0.995083,1.004941
0.5,T2,"[0.0232, 0.1077)",core,wynn_rho_1,classical_variant,561,547,0.066767,0.4082,0.857398,1.007495,0.992561
0.5,T2,"[0.0232, 0.1077)",core,wynn_rho_2,classical_variant,561,546,0.062151,0.43672,0.818182,1.009406,0.990682
0.5,T2,"[0.0232, 0.1077)",core,wynn_rho_3,classical_variant,561,541,0.063622,0.404635,0.789661,1.034765,0.966403
0.5,T2,"[0.0232, 0.1077)",core,classical_21,classical_pooled,11781,11559,0.063835,0.455055,0.889907,1.007265,0.992787
0.5,T2,"[0.0232, 0.1077)",holdout,constant_assumed,trivial,147,147,0.091199,0.0,0.0,2.298166,0.43513
0.5,T2,"[0.0232, 0.1077)",holdout,last_value,trivial,147,147,0.042773,0.0,1.0,1.0,1.0
0.5,T2,"[0.0232, 0.1077)",holdout,window_mean,trivial,147,147,0.104304,0.0,0.530612,2.436932,0.410352
0.5,T2,"[0.0232, 0.1077)",holdout,window_min,trivial,147,147,0.042544,0.367347,1.0,1.0,1.0
0.5,T2,"[0.0232, 0.1077)",holdout,constant_oracle,oracle,147,147,0.042288,0.748299,1.0,0.988314,1.011824
0.5,T2,"[0.0232, 0.1077)",holdout,log_linear,top10,147,147,0.007784,0.721088,1.0,0.323589,3.09034
0.5,T2,"[0.0232, 0.1077)",holdout,richardson_3,top10,147,145,0.005319,0.714286,0.843537,0.136389,7.331956
0.5,T2,"[0.0232, 0.1077)",holdout,richardson_2,top10,147,147,0.00528,0.727891,0.816327,0.176754,5.657594
0.5,T2,"[0.0232, 0.1077)",holdout,double_exp_fit,top10,147,147,0.011104,0.965986,1.0,0.561213,1.781855
0.5,T2,"[0.0232, 0.1077)",holdout,rational_fit,top10,147,147,0.003794,0.727891,0.816327,0.113025,8.847596
0.5,T2,"[0.0232, 0.1077)",holdout,richardson_1,top10,147,147,0.006095,0.734694,0.755102,0.175146,5.709525
0.5,T2,"[0.0232, 0.1077)",holdout,pade_23,top10,147,147,0.01151,0.829932,1.0,0.369805,2.704128
0.5,T2,"[0.0232, 0.1077)",holdout,pade_12,top10,147,147,0.013402,0.823129,1.0,0.288858,3.461911
0.5,T2,"[0.0232, 0.1077)",holdout,pade_22,top10,147,146,0.006206,0.816327,0.891156,0.159452,6.281548
0.5,T2,"[0.0232, 0.1077)",holdout,single_exp_fit,top10,147,147,0.013529,0.965986,1.0,0.565616,1.767984
0.5,T2,"[0.0232, 0.1077)",holdout,anderson_1,classical_variant,147,147,0.039886,0.721088,0.993197,0.994095,1.00594
0.5,T2,"[0.0232, 0.1077)",holdout,anderson_2,classical_variant,147,147,0.040037,0.585034,0.993197,0.998218,1.001785
0.5,T2,"[0.0232, 0.1077)",holdout,anderson_3,classical_variant,147,147,0.040363,0.557823,1.0,0.998052,1.001951
0.5,T2,"[0.0232, 0.1077)",holdout,brezinski_theta1,classical_variant,147,147,0.025853,0.591837,0.972789,0.926497,1.079334
0.5,T2,"[0.0232, 0.1077)",holdout,brezinski_theta2,classical_variant,147,147,0.043244,0.421769,0.911565,1.043115,0.958667
0.5,T2,"[0.0232, 0.1077)",holdout,levin_t1,classical_variant,147,147,0.023984,0.639456,0.993197,0.992752,1.007301
0.5,T2,"[0.0232, 0.1077)",holdout,levin_t2,classical_variant,147,147,0.034984,0.510204,1.0,0.991284,1.008793
0.5,T2,"[0.0232, 0.1077)",holdout,levin_u1,classical_variant,147,147,0.044602,0.421769,0.795918,1.027714,0.973033
0.5,T2,"[0.0232, 0.1077)",holdout,levin_u2,classical_variant,147,147,0.027161,0.469388,0.979592,1.009668,0.990425
0.5,T2,"[0.0232, 0.1077)",holdout,levin_v1,classical_variant,147,147,0.027221,0.312925,0.965986,1.055141,0.94774
0.5,T2,"[0.0232, 0.1077)",holdout,levin_v2,classical_variant,147,147,0.044342,0.340136,1.0,1.079721,0.926165
0.5,T2,"[0.0232, 0.1077)",holdout,shanks_1,classical_variant,147,147,0.023984,0.639456,0.993197,0.992752,1.007301
0.5,T2,"[0.0232, 0.1077)",holdout,shanks_2,classical_variant,147,147,0.040559,0.380952,0.965986,1.039238,0.962243
0.5,T2,"[0.0232, 0.1077)",holdout,shanks_3,classical_variant,147,147,0.040439,0.421769,0.986395,1.020969,0.979462
0.5,T2,"[0.0232, 0.1077)",holdout,shanks_4,classical_variant,147,147,0.039626,0.421769,0.993197,1.034917,0.966261
0.5,T2,"[0.0232, 0.1077)",holdout,wynn_eps_1,classical_variant,147,147,0.023984,0.639456,0.993197,0.992752,1.007301
0.5,T2,"[0.0232, 0.1077)",holdout,wynn_eps_2,classical_variant,147,147,0.029407,0.517007,0.965986,0.990206,1.009891
0.5,T2,"[0.0232, 0.1077)",holdout,wynn_eps_3,classical_variant,147,146,0.028817,0.557823,0.952381,0.965819,1.035396
0.5,T2,"[0.0232, 0.1077)",holdout,wynn_rho_1,classical_variant,147,147,0.042635,0.353741,0.863946,1.026417,0.974263
0.5,T2,"[0.0232, 0.1077)",holdout,wynn_rho_2,classical_variant,147,146,0.045001,0.401361,0.836735,1.061988,0.941721
0.5,T2,"[0.0232, 0.1077)",holdout,wynn_rho_3,classical_variant,147,146,0.045545,0.367347,0.707483,1.112304,0.899098
0.5,T2,"[0.0232, 0.1077)",holdout,classical_21,classical_pooled,3087,3084,0.037026,0.489148,0.945902,1.004639,0.995382
0.5,T3,"[0.1077, 0.5]",core,constant_assumed,trivial,540,540,0.296251,0.0,0.0,5.463568,0.183031
0.5,T3,"[0.1077, 0.5]",core,last_value,trivial,540,540,0.066485,0.0,1.0,1.0,1.0
0.5,T3,"[0.1077, 0.5]",core,window_mean,trivial,540,540,0.107418,0.187037,0.966667,1.708503,0.585308
0.5,T3,"[0.1077, 0.5]",core,window_min,trivial,540,540,0.049911,0.368519,1.0,1.0,1.0
0.5,T3,"[0.1077, 0.5]",core,constant_oracle,oracle,540,540,0.057911,0.722222,1.0,0.993378,1.006666
0.5,T3,"[0.1077, 0.5]",core,log_linear,top10,540,540,0.015306,0.77037,0.95,0.347269,2.879698
0.5,T3,"[0.1077, 0.5]",core,richardson_3,top10,540,523,0.009324,0.768519,0.92037,0.262624,3.807719
0.5,T3,"[0.1077, 0.5]",core,richardson_2,top10,540,529,0.010471,0.781481,0.92963,0.242946,4.116136
0.5,T3,"[0.1077, 0.5]",core,double_exp_fit,top10,540,540,0.018625,0.861111,1.0,0.420316,2.363641
0.5,T3,"[0.1077, 0.5]",core,rational_fit,top10,540,540,0.008918,0.840741,1.0,0.263585,3.648086
0.5,T3,"[0.1077, 0.5]",core,richardson_1,top10,540,540,0.012364,0.794444,0.966667,0.238112,4.199715
0.5,T3,"[0.1077, 0.5]",core,pade_23,top10,540,511,0.047273,0.455556,0.831481,1.090012,0.917421
0.5,T3,"[0.1077, 0.5]",core,pade_12,top10,540,515,0.050832,0.457407,0.866667,1.08966,0.917718
0.5,T3,"[0.1077, 0.5]",core,pade_22,top10,540,534,0.010668,0.725926,0.890741,0.318525,2.975343
0.5,T3,"[0.1077, 0.5]",core,single_exp_fit,top10,540,540,0.020769,0.866667,1.0,0.466545,2.13983
0.5,T3,"[0.1077, 0.5]",core,anderson_1,classical_variant,540,540,0.066382,0.612963,0.988889,0.997939,1.002065
0.5,T3,"[0.1077, 0.5]",core,anderson_2,classical_variant,540,540,0.066635,0.572222,0.988889,0.996429,1.003584
0.5,T3,"[0.1077, 0.5]",core,anderson_3,classical_variant,540,540,0.066734,0.538889,0.988889,0.997279,1.002729
0.5,T3,"[0.1077, 0.5]",core,brezinski_theta1,classical_variant,540,540,0.039908,0.559259,0.988889,0.969198,1.031781
0.5,T3,"[0.1077, 0.5]",core,brezinski_theta2,classical_variant,540,530,0.053399,0.318519,0.962963,1.082739,0.923584
0.5,T3,"[0.1077, 0.5]",core,levin_t1,classical_variant,540,531,0.038652,0.612963,0.975926,0.994764,1.005264
0.5,T3,"[0.1077, 0.5]",core,levin_t2,classical_variant,540,531,0.049101,0.477778,0.968519,1.004738,0.995284
0.5,T3,"[0.1077, 0.5]",core,levin_u1,classical_variant,540,531,0.065758,0.431481,0.931481,1.020398,0.980009
0.5,T3,"[0.1077, 0.5]",core,levin_u2,classical_variant,540,531,0.065826,0.401852,0.951852,1.015541,0.984697
0.5,T3,"[0.1077, 0.5]",core,levin_v1,classical_variant,540,531,0.066599,0.281481,0.955556,1.028409,0.972376
0.5,T3,"[0.1077, 0.5]",core,levin_v2,classical_variant,540,531,0.063051,0.416667,0.964815,1.018741,0.981604
0.5,T3,"[0.1077, 0.5]",core,shanks_1,classical_variant,540,540,0.047541,0.612963,0.988889,0.995847,1.00417
0.5,T3,"[0.1077, 0.5]",core,shanks_2,classical_variant,540,540,0.052813,0.338889,0.987037,1.030469,0.970432
0.5,T3,"[0.1077, 0.5]",core,shanks_3,classical_variant,540,540,0.051673,0.401852,0.977778,1.018243,0.982085
0.5,T3,"[0.1077, 0.5]",core,shanks_4,classical_variant,540,531,0.055289,0.385185,0.972222,1.026226,0.974444
0.5,T3,"[0.1077, 0.5]",core,wynn_eps_1,classical_variant,540,531,0.038652,0.612963,0.975926,0.994764,1.005264
0.5,T3,"[0.1077, 0.5]",core,wynn_eps_2,classical_variant,540,529,0.042333,0.496296,0.972222,0.999128,1.000873
0.5,T3,"[0.1077, 0.5]",core,wynn_eps_3,classical_variant,540,524,0.043187,0.509259,0.961111,0.995083,1.004941
0.5,T3,"[0.1077, 0.5]",core,wynn_rho_1,classical_variant,540,531,0.058776,0.446296,0.97037,1.004463,0.995557
0.5,T3,"[0.1077, 0.5]",core,wynn_rho_2,classical_variant,540,531,0.061399,0.485185,0.953704,1.000979,0.999022
0.5,T3,"[0.1077, 0.5]",core,wynn_rho_3,classical_variant,540,529,0.063622,0.442593,0.95,1.006554,0.993489
0.5,T3,"[0.1077, 0.5]",core,classical_21,classical_pooled,11340,11202,0.053948,0.474074,0.970282,1.003868,0.996147
0.5,T3,"[0.1077, 0.5]",holdout,constant_assumed,trivial,195,195,0.240601,0.0,0.0,6.685694,0.149573
0.5,T3,"[0.1077, 0.5]",holdout,last_value,trivial,195,195,0.042826,0.0,1.0,1.0,1.0
0.5,T3,"[0.1077, 0.5]",holdout,window_mean,trivial,195,195,0.099134,0.0,0.923077,2.121439,0.471378
0.5,T3,"[0.1077, 0.5]",holdout,window_min,trivial,195,195,0.042088,0.369231,1.0,1.0,1.0
0.5,T3,"[0.1077, 0.5]",holdout,constant_oracle,oracle,195,195,0.042288,0.692308,1.0,0.993153,1.006894
0.5,T3,"[0.1077, 0.5]",holdout,log_linear,top10,195,195,0.011695,0.866667,1.0,0.609981,1.639395
0.5,T3,"[0.1077, 0.5]",holdout,richardson_3,top10,195,187,0.006201,0.794872,0.958974,0.220491,4.535329
0.5,T3,"[0.1077, 0.5]",holdout,richardson_2,top10,195,190,0.006078,0.810256,0.974359,0.20793,4.809335
0.5,T3,"[0.1077, 0.5]",holdout,double_exp_fit,top10,195,195,0.010829,0.974359,1.0,0.347511,2.877605
0.5,T3,"[0.1077, 0.5]",holdout,rational_fit,top10,195,195,0.004122,0.882051,1.0,0.128957,7.754538
0.5,T3,"[0.1077, 0.5]",holdout,richardson_1,top10,195,195,0.005899,0.835897,1.0,0.157879,6.333965
0.5,T3,"[0.1077, 0.5]",holdout,pade_23,top10,195,193,0.039734,0.528205,0.974359,0.916675,1.0909
0.5,T3,"[0.1077, 0.5]",holdout,pade_12,top10,195,194,0.034356,0.553846,0.958974,0.811965,1.231646
0.5,T3,"[0.1077, 0.5]",holdout,pade_22,top10,195,194,0.00574,0.841026,0.964103,0.17049,5.865646
0.5,T3,"[0.1077, 0.5]",holdout,single_exp_fit,top10,195,195,0.012559,0.979487,1.0,0.371599,2.691074
0.5,T3,"[0.1077, 0.5]",holdout,anderson_1,classical_variant,195,195,0.039428,0.723077,1.0,0.994455,1.005576
0.5,T3,"[0.1077, 0.5]",holdout,anderson_2,classical_variant,195,195,0.039729,0.630769,1.0,0.997328,1.002679
0.5,T3,"[0.1077, 0.5]",holdout,anderson_3,classical_variant,195,195,0.040167,0.594872,1.0,0.997259,1.002749
0.5,T3,"[0.1077, 0.5]",holdout,brezinski_theta1,classical_variant,195,195,0.024845,0.620513,1.0,0.899779,1.111384
0.5,T3,"[0.1077, 0.5]",holdout,brezinski_theta2,classical_variant,195,195,0.043722,0.389744,0.979487,1.068205,0.93615
0.5,T3,"[0.1077, 0.5]",holdout,levin_t1,classical_variant,195,195,0.023984,0.676923,1.0,0.987545,1.012612
0.5,T3,"[0.1077, 0.5]",holdout,levin_t2,classical_variant,195,195,0.034984,0.476923,0.994872,1.005162,0.994864
0.5,T3,"[0.1077, 0.5]",holdout,levin_u1,classical_variant,195,195,0.047228,0.430769,0.964103,1.023699,0.976849
0.5,T3,"[0.1077, 0.5]",holdout,levin_u2,classical_variant,195,195,0.0369,0.415385,0.994872,1.019418,0.980952
0.5,T3,"[0.1077, 0.5]",holdout,levin_v1,classical_variant,195,195,0.028789,0.297436,1.0,1.061165,0.942361
0.5,T3,"[0.1077, 0.5]",holdout,levin_v2,classical_variant,195,195,0.04412,0.389744,1.0,1.051913,0.950649
0.5,T3,"[0.1077, 0.5]",holdout,shanks_1,classical_variant,195,195,0.023984,0.676923,1.0,0.987545,1.012612
0.5,T3,"[0.1077, 0.5]",holdout,shanks_2,classical_variant,195,195,0.040407,0.353846,0.989744,1.030467,0.970434
0.5,T3,"[0.1077, 0.5]",holdout,shanks_3,classical_variant,195,194,0.035834,0.461538,0.994872,1.007584,0.992473
0.5,T3,"[0.1077, 0.5]",holdout,shanks_4,classical_variant,195,195,0.039389,0.389744,0.994872,1.044659,0.95725
0.5,T3,"[0.1077, 0.5]",holdout,wynn_eps_1,classical_variant,195,195,0.023984,0.676923,1.0,0.987545,1.012612
0.5,T3,"[0.1077, 0.5]",holdout,wynn_eps_2,classical_variant,195,195,0.03282,0.512821,1.0,0.995541,1.004479
