regime,future_idx,method,family,method_type,true_val,curr_val,estimate,error,valid,catastrophic,beats_current,improve_ratio
single_exp,1000,brezinski_theta2,brezinski,limit,0.01,0.03049279,0.01003697,3.697e-05,1,0,1,554.251442
single_exp,1000,neville_2,neville,trajectory,0.01,0.03049279,0.01130471,0.00130471,1,0,1,15.706784
single_exp,1000,neville_3,neville,trajectory,0.01,0.03049279,0.03715385,0.02715385,1,0,0,0.754692
single_exp,1000,neville_4,neville,trajectory,0.01,0.03049279,0.03200113,0.02200113,1,0,0,0.931443
single_exp,1000,anderson_1,anderson,limit,0.01,0.03049279,0.0283546,0.0183546,1,0,1,1.116493
single_exp,1000,anderson_2,anderson,limit,0.01,0.03049279,0.02649068,0.01649068,1,0,1,1.242689
single_exp,1000,anderson_3,anderson,limit,0.01,0.03049279,0.02485635,0.01485635,1,0,1,1.379396
single_exp,1000,median_ensemble,ensemble,trajectory,0.01,0.03049279,0.00999829,1.71e-06,1,0,1,12010.269004
single_exp,1000,stability_weighted,ensemble,trajectory,0.01,0.03049279,0.00935339,0.00064661,1,0,1,31.692614
single_exp,1000,best_shanks_wynn,ensemble,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,current_value,baseline,limit,0.01,0.03049279,0.03049279,0.02049279,1,0,0,1.0
single_exp,5000,linear,baseline,trajectory,0.01,0.03049279,,,0,1,0,
single_exp,5000,log_linear,baseline,trajectory,0.01,0.03049279,0.01000293,2.93e-06,1,0,1,7006.070656
single_exp,5000,geom_avg_diff,baseline,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,richardson_1,richardson,trajectory,0.01,0.03049279,0.00122149,0.00877851,1,0,1,2.334426
single_exp,5000,richardson_2,richardson,trajectory,0.01,0.03049279,0.00054654,0.00945346,1,0,1,2.167755
single_exp,5000,richardson_3,richardson,trajectory,0.01,0.03049279,0.00033833,0.00966167,1,0,1,2.121041
single_exp,5000,richardson_a05,richardson,trajectory,0.01,0.03049279,-0.22225004,0.23225004,1,1,0,0.088236
single_exp,5000,richardson_a10,richardson,trajectory,0.01,0.03049279,-0.07779439,0.08779439,1,0,0,0.233418
single_exp,5000,richardson_a20,richardson,trajectory,0.01,0.03049279,0.01025314,0.00025314,1,0,1,80.954089
single_exp,5000,single_exp_fit,parametric,trajectory,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,double_exp_fit,parametric,trajectory,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,rational_fit,parametric,trajectory,0.01,0.03049279,0.00117891,0.00882109,1,0,1,2.323158
single_exp,5000,log_fit,parametric,trajectory,0.01,0.03049279,0.0467142,0.0367142,1,0,0,0.558171
single_exp,5000,shanks_1,shanks,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,shanks_2,shanks,limit,0.01,0.03049279,0.00999953,4.7e-07,1,0,1,43300.953875
single_exp,5000,shanks_3,shanks,limit,0.01,0.03049279,0.00999829,1.71e-06,1,0,1,12010.269004
single_exp,5000,shanks_4,shanks,limit,0.01,0.03049279,0.00999992,8e-08,1,0,1,255138.520646
single_exp,5000,wynn_eps_1,wynn_eps,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,wynn_eps_2,wynn_eps,limit,0.01,0.03049279,,,0,1,0,
single_exp,5000,wynn_eps_3,wynn_eps,limit,0.01,0.03049279,,,0,1,0,
single_exp,5000,wynn_rho_1,wynn_rho,limit,0.01,0.03049279,-0.01132912,0.02132912,1,0,0,0.960789
single_exp,5000,wynn_rho_2,wynn_rho,limit,0.01,0.03049279,0.03219958,0.02219958,1,0,0,0.923116
single_exp,5000,wynn_rho_3,wynn_rho,limit,0.01,0.03049279,-0.01310599,0.02310599,1,0,0,0.886904
single_exp,5000,pade_11,pade,trajectory,0.01,0.03049279,-0.06487003,0.07487003,1,0,0,0.273712
single_exp,5000,pade_12,pade,trajectory,0.01,0.03049279,-0.00032111,0.01032111,1,0,1,1.985522
single_exp,5000,pade_13,pade,trajectory,0.01,0.03049279,3.67e-06,0.00999633,1,0,1,2.050032
single_exp,5000,pade_21,pade,trajectory,0.01,0.03049279,6.96235554,6.95235554,1,1,0,0.002948
single_exp,5000,pade_22,pade,trajectory,0.01,0.03049279,0.07743701,0.06743701,1,0,0,0.303881
single_exp,5000,pade_23,pade,trajectory,0.01,0.03049279,0.0018883,0.0081117,1,0,1,2.526325
single_exp,5000,pade_31,pade,trajectory,0.01,0.03049279,,,0,1,0,
single_exp,5000,pade_32,pade,trajectory,0.01,0.03049279,,,0,1,0,
single_exp,5000,levin_t1,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,levin_t2,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,levin_u1,levin,limit,0.01,0.03049279,0.00156602,0.00843398,1,0,1,2.429789
single_exp,5000,levin_u2,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,levin_v1,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,1.0
single_exp,5000,levin_v2,levin,limit,0.01,0.03049279,0.01,0.0,1,0,1,6398733283.576224
single_exp,5000,weniger_d1,weniger,limit,0.01,0.03049279,-0.0,0.01,1,0,1,2.049279
single_exp,5000,weniger_d2,weniger,limit,0.01,0.03049279,0.0,0.01,1,0,1,2.049279
single_exp,5000,brezinski_theta1,brezinski,limit,0.01,0.03049279,0.00912954,0.00087046,1,0,1,23.542544
