method,broken_power_law,damped_osc_pow,delayed_plateau,four_exp,heavy_noise_plat,log_oscillatory,log_slow,mixed_pow_rat,multiphase,noisy_plateau,osc_exp,power_law,rational_decay,single_exp,slow_osc_power,staircase,three_exp,two_exp
levin_v1,1.2044,1.2178,1.1556,1.1733,0.9623,1.24,1.2133,1.1733,1.0622,0.9689,1.0933,1.2,1.1644,1.1466,1.2356,0.0,1.04,1.1644
levin_v2,1.1956,1.2178,1.1511,1.0622,0.9978,1.2445,1.2133,1.1956,1.1956,0.9289,1.0978,1.2356,1.1644,1.2,1.2267,0.0,1.1733,1.1511
linear,-1.0,-2.0,-2.0,-2.0,-1.0222,-2.0,-2.0,-2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
log_fit,1.4,1.4,1.4,1.4,1.0979,1.4,1.4,1.4,1.4,0.6266,1.0044,1.4,1.4,1.0,1.3911,1.3511,1.4,1.4
log_linear,-2.0,1.4,1.4,1.4,-2.0,1.4,1.4,1.4,1.4,-2.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
median_ensemble,1.2222,1.3067,1.32,1.3155,1.1867,1.3822,1.3067,1.32,1.2978,1.1244,1.1733,1.3111,1.3156,1.3111,1.32,1.1333,1.3111,1.3111
neville_2,-0.4667,-0.4889,-0.4622,-0.4667,-1.4444,-1.6111,-0.4667,-0.4667,-0.4667,-1.4778,-1.6222,-0.4889,-0.4667,-0.4889,-0.6222,-2.0,-0.4667,-0.4667
neville_3,-0.7555,-0.7555,-0.7555,-0.7555,-1.9667,-1.8889,-0.7555,-0.7555,-0.7555,-1.8889,-1.8889,-0.7555,-0.7555,-0.8889,-1.5555,-2.0,-0.7555,-0.7555
neville_4,-0.8667,-0.8667,-0.8667,-0.8667,-2.0,-2.0,-0.8667,-0.8667,-0.8667,-2.0,-1.6667,-0.8667,-0.8667,-1.0,-1.0,-2.0,-0.8667,-0.8667
pade_11,1.4,0.9,0.9667,1.36,1.24,1.4,1.2222,1.3378,1.4,1.0,1.0,1.2667,1.4,0.5778,0.3222,1.0,1.36,1.0
pade_12,1.4,1.4,1.4,1.4,0.3689,1.0,1.1333,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3578
pade_13,1.4,1.4,1.4,1.4,0.3867,1.0,1.0,1.3956,1.4,0.0444,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
pade_21,-1.0,-0.9333,-2.0,-1.6667,-1.1889,-1.0,-1.6667,-1.6667,-0.6667,-1.2222,-2.0,-1.0,-0.4133,-1.3333,-2.0,-2.0,-1.6178,-1.3333
pade_22,1.4,0.9378,0.1111,1.3911,1.2311,1.4,0.8978,1.3867,1.4,0.9022,1.3778,0.9445,1.4,0.0889,-0.3334,-1.0,1.2667,1.0
pade_23,1.4,1.4,1.4,1.4,0.3733,1.0,1.1333,1.4,1.4,0.0044,1.4,1.4,1.4,1.4,1.3911,1.4,1.4,1.3911
pade_31,-1.7133,-1.0111,-1.6667,-1.4889,-1.2889,-2.0,-1.0,-1.3222,-2.0,-1.2111,-2.0,-1.0,-0.8667,-2.0,-1.3444,-2.0,-1.9556,-1.6667
pade_32,-1.0,-0.6778,-2.0,-0.6667,-1.2333,-1.0,-0.8222,-0.5178,-1.6445,-1.2667,-1.2222,-0.8222,-0.5111,-1.4556,-1.6667,-2.0,-1.52,-1.3222
rational_fit,1.4,1.4,1.4,1.4,1.1111,1.0,1.4,1.4,1.4,0.7645,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
richardson_1,-1.0,1.4,1.4,1.4,1.16,1.4,1.4,1.4,1.4,0.9289,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
richardson_2,-1.0,1.4,1.4,1.4,0.3645,1.4,1.4,1.4,1.4,0.3844,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
richardson_3,-1.0667,1.4,0.9089,1.4,0.1978,1.3956,1.4,1.4,1.4,-0.0377,1.4,1.3422,1.4,1.4,1.4,0.9088,1.4,1.4
richardson_a05,1.0,1.4,1.4,1.4,1.0133,1.4,1.4,1.4,1.4,0.5823,-0.8667,1.4,1.4,-1.0,1.0,1.4,1.4,1.0
richardson_a10,1.0,1.4,1.4,1.4,1.1689,1.4,1.4,1.4,1.4,0.9956,1.0,1.4,1.4,0.8,1.4,1.4,1.4,1.4
richardson_a20,1.0,1.36,1.36,1.3378,1.3111,1.4,1.3422,1.3422,1.4,1.2488,1.4,1.3422,1.3867,1.4,1.3689,1.0,1.3422,1.3467
shanks_1,1.2845,1.2845,1.2845,1.2845,0.9022,1.1422,1.2845,1.2845,1.2845,0.9955,1.1467,1.2845,1.2845,1.2845,1.2845,1.0,1.2845,1.2845
shanks_2,1.1778,1.1867,1.1467,1.16,0.9888,1.2,1.1867,1.16,1.0444,0.9245,1.0756,1.2044,1.1555,1.1378,1.0844,1.0,1.1555,1.1222
shanks_3,1.1911,1.2044,1.16,1.1733,0.9555,1.2044,1.2089,1.1867,1.0533,0.9111,1.1022,1.24,1.1733,1.1867,1.1156,1.0044,1.1778,1.1689
shanks_4,1.1956,1.1956,1.1378,1.16,1.0134,1.2133,1.1956,1.1644,1.0444,0.9066,1.1022,1.2178,1.1378,1.1689,1.0978,0.0,1.16,1.1511
single_exp_fit,1.4,1.3956,1.4,1.4,1.2755,1.0,1.4,1.4,1.3956,0.9955,1.4,1.3822,1.4,1.4,1.4,1.4,1.4,1.4
stability_weighted,1.4,1.3556,1.2622,1.3111,1.0089,1.3644,1.3556,1.3378,1.3822,0.9378,1.2933,1.36,1.3556,1.3511,1.3689,1.0,1.3156,1.3778
weniger_d1,1.4,1.4,1.4,1.4,0.1533,1.0,1.0,1.4,1.4,0.0444,1.4,1.4,1.4,1.4,1.4,0.2667,1.4,1.4
weniger_d2,1.4,1.4,1.4,1.4,0.0578,1.0,1.0,1.4,1.4,0.0444,1.4,1.4,1.4,1.4,1.4,0.2667,1.4,1.4
wynn_eps_1,1.2845,1.2845,1.2845,1.2845,0.8689,1.1422,1.2845,1.2845,1.2845,0.9955,1.1467,1.2845,1.2845,1.2845,1.2845,0.0,1.2845,1.2845
wynn_eps_2,1.2178,1.2267,1.2355,1.2178,1.0622,1.1978,1.2267,1.2089,1.2178,1.0711,1.1022,1.2356,1.2178,0.0756,1.0889,0.0,1.2222,1.2178
wynn_eps_3,1.2267,1.2267,1.1978,1.2133,1.0445,1.1778,1.2267,1.2133,1.2267,0.9822,1.24,1.2444,1.2089,0.08,1.1156,0.0,1.2089,1.2222
wynn_rho_1,1.2089,1.2267,1.12,1.2045,0.8555,1.16,1.2222,1.2,1.2089,1.02,1.1067,1.24,1.2267,1.0711,1.2533,0.0,1.2089,1.0933
wynn_rho_2,1.2578,1.2489,1.0578,1.2533,0.9133,1.2444,1.2711,1.2533,1.1289,0.8889,1.2489,1.2445,1.1955,1.0533,1.1022,0.0,1.2445,1.0422
wynn_rho_3,1.2444,1.2156,1.1733,1.22,0.8623,0.3356,1.2222,1.2156,1.2489,0.9422,1.0933,1.2178,1.2578,1.1022,0.4444,-0.0222,1.22,1.2356
