method,family,method_type,regime,noise,future_idx,valid_rate,cat_rate,beats_rate,med_error,med_improve,stability,n_seeds
pade_22,pade,trajectory,single_exp,0.0,1000,1.0,0.0,0.0,0.0517444485602853,0.3960384622051604,1.0,30
pade_23,pade,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.0025736621800725463,7.962502613645964,1.4,30
pade_31,pade,trajectory,single_exp,0.0,1000,0.0,1.0,0.0,,,-2.0,30
pade_32,pade,trajectory,single_exp,0.0,1000,0.0,1.0,0.0,,,-2.0,30
levin_t1,levin,limit,single_exp,0.0,1000,1.0,0.0,1.0,2.8935187579293142e-15,1.0,1.4,30
levin_t2,levin,limit,single_exp,0.0,1000,1.0,0.0,1.0,6.118369699770199e-15,1.0,1.4,30
levin_u1,levin,limit,single_exp,0.0,1000,1.0,0.0,1.0,0.008433980315386322,2.429788909761137,1.4,30
levin_u2,levin,limit,single_exp,0.0,1000,1.0,0.0,1.0,7.684824998577255e-16,1.0,1.4,30
levin_v1,levin,limit,single_exp,0.0,1000,1.0,0.0,1.0,6.833075771872643e-15,1.0,1.4,30
levin_v2,levin,limit,single_exp,0.0,1000,1.0,0.0,1.0,3.2026360730075254e-12,6398726351.765934,1.4,30
weniger_d1,weniger,limit,single_exp,0.0,1000,1.0,0.0,1.0,0.010000000000000004,2.049279183546941,1.4,30
weniger_d2,weniger,limit,single_exp,0.0,1000,1.0,0.0,1.0,0.010000000000000004,2.049279183546941,1.4,30
brezinski_theta1,brezinski,limit,single_exp,0.0,1000,1.0,0.0,1.0,0.0008704578402777465,23.542543805373228,1.4,30
brezinski_theta2,brezinski,limit,single_exp,0.0,1000,1.0,0.0,1.0,3.697381783001469e-05,554.2514416467357,1.4,30
neville_2,neville,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.0013047096190037764,15.706783744812801,1.4,30
neville_3,neville,trajectory,single_exp,0.0,1000,1.0,0.0,0.0,0.02715385387994966,0.7546918358650094,1.0,30
neville_4,neville,trajectory,single_exp,0.0,1000,1.0,0.0,0.0,0.022001128068067873,0.9314427774825041,1.0,30
anderson_1,anderson,limit,single_exp,0.0,1000,1.0,0.0,1.0,0.018354600666846736,1.116493472532193,1.4,30
anderson_2,anderson,limit,single_exp,0.0,1000,1.0,0.0,1.0,0.016490679606536975,1.2426893447948617,1.4,30
anderson_3,anderson,limit,single_exp,0.0,1000,1.0,0.0,1.0,0.014856354719301584,1.3793957012109368,1.4,30
median_ensemble,ensemble,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,1.706272509687315e-06,12010.269003996818,1.4,30
stability_weighted,ensemble,trajectory,single_exp,0.0,1000,1.0,0.0,1.0,0.0006466109716043184,31.692613851918374,1.4,30
best_shanks_wynn,ensemble,limit,single_exp,0.0,1000,1.0,0.0,1.0,3.308117668687771e-15,1.0,1.4,30
current_value,baseline,limit,single_exp,0.0,5000,1.0,0.0,0.0,0.02049279183546942,1.0,1.0,30
linear,baseline,trajectory,single_exp,0.0,5000,0.0,1.0,0.0,,,-2.0,30
log_linear,baseline,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,2.9250050194353644e-06,7006.070656051488,1.4,30
geom_avg_diff,baseline,limit,single_exp,0.0,5000,1.0,0.0,1.0,5.915407053080912e-16,1.0,1.4,30
richardson_1,richardson,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.00877851284091424,2.3344263666116816,1.4,30
richardson_2,richardson,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.009453461272703384,2.167755411940154,1.4,30
richardson_3,richardson,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.009661667394105225,2.121040913494132,1.4,30
richardson_a05,richardson,trajectory,single_exp,0.0,5000,1.0,1.0,0.0,0.23225003800196198,0.08823590304556292,-1.0,30
richardson_a10,richardson,trajectory,single_exp,0.0,5000,1.0,0.0,0.0,0.08779439172810329,0.23341800577575625,1.0,30
richardson_a20,richardson,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.0002531409115995413,80.95408879576206,1.4,30
single_exp_fit,parametric,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,4.597017211338539e-16,1.0,1.4,30
double_exp_fit,parametric,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,3.3797530746282334e-12,6063399125.015542,1.4,30
rational_fit,parametric,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.008821093628451206,2.323157728353861,1.4,30
log_fit,parametric,trajectory,single_exp,0.0,5000,1.0,0.0,0.0,0.03671420478370714,0.5581706578202564,1.0,30
shanks_1,shanks,limit,single_exp,0.0,5000,1.0,0.0,1.0,3.3046482217358175e-15,1.0,1.4,30
shanks_2,shanks,limit,single_exp,0.0,5000,1.0,0.0,1.0,4.7326421248779227e-07,43300.953874677405,1.4,30
shanks_3,shanks,limit,single_exp,0.0,5000,1.0,0.0,1.0,1.7062725096838455e-06,12010.26900402124,1.4,30
shanks_4,shanks,limit,single_exp,0.0,5000,1.0,0.0,1.0,8.032025812336474e-08,255138.52064561748,1.4,30
wynn_eps_1,wynn_eps,limit,single_exp,0.0,5000,1.0,0.0,1.0,2.8917840344533374e-15,1.0,1.4,30
wynn_eps_2,wynn_eps,limit,single_exp,0.0,5000,0.0,1.0,0.0,,,-2.0,30
wynn_eps_3,wynn_eps,limit,single_exp,0.0,5000,0.0,1.0,0.0,,,-2.0,30
wynn_rho_1,wynn_rho,limit,single_exp,0.0,5000,1.0,0.0,0.0,0.021329118535632595,0.9607894391525837,1.0,30
wynn_rho_2,wynn_rho,limit,single_exp,0.0,5000,1.0,0.0,0.0,0.022199576347155484,0.9231163475826979,1.0,30
wynn_rho_3,wynn_rho,limit,single_exp,0.0,5000,1.0,0.0,0.0,0.023105992781995773,0.8869037582075866,1.0,30
pade_11,pade,trajectory,single_exp,0.0,5000,1.0,0.0,0.0,0.07487003048009118,0.27371154658363195,1.0,30
pade_12,pade,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.01032111118622433,1.9855218557107797,1.4,30
pade_13,pade,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.00999632601618749,2.050032362118296,1.4,30
pade_21,pade,trajectory,single_exp,0.0,5000,1.0,1.0,0.0,6.95235554304376,0.0029476041190059188,-1.0,30
pade_22,pade,trajectory,single_exp,0.0,5000,1.0,0.0,0.0,0.06743700699789935,0.3038805063829088,1.0,30
pade_23,pade,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.008111698985664904,2.526325480233492,1.4,30
pade_31,pade,trajectory,single_exp,0.0,5000,0.0,1.0,0.0,,,-2.0,30
pade_32,pade,trajectory,single_exp,0.0,5000,0.0,1.0,0.0,,,-2.0,30
levin_t1,levin,limit,single_exp,0.0,5000,1.0,0.0,1.0,2.896988204881268e-15,1.0,1.4,30
levin_t2,levin,limit,single_exp,0.0,5000,1.0,0.0,1.0,6.121839146722152e-15,1.0,1.4,30
levin_u1,levin,limit,single_exp,0.0,5000,1.0,0.0,1.0,0.008433980315386318,2.429788909761138,1.4,30
levin_u2,levin,limit,single_exp,0.0,5000,1.0,0.0,1.0,7.719519468096792e-16,1.0,1.4,30
levin_v1,levin,limit,single_exp,0.0,5000,1.0,0.0,1.0,6.836545218824597e-15,1.0,1.4,30
levin_v2,levin,limit,single_exp,0.0,5000,1.0,0.0,1.0,3.2026326035605734e-12,6398733283.576224,1.4,30
weniger_d1,weniger,limit,single_exp,0.0,5000,1.0,0.0,1.0,0.01,2.049279183546942,1.4,30
weniger_d2,weniger,limit,single_exp,0.0,5000,1.0,0.0,1.0,0.01,2.049279183546942,1.4,30
brezinski_theta1,brezinski,limit,single_exp,0.0,5000,1.0,0.0,1.0,0.000870457840277743,23.54254380537332,1.4,30
brezinski_theta2,brezinski,limit,single_exp,0.0,5000,1.0,0.0,1.0,3.697381783001816e-05,554.2514416466836,1.4,30
neville_2,neville,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.0038808850118208296,5.280442933261409,1.4,30
neville_3,neville,trajectory,single_exp,0.0,5000,1.0,0.0,0.0,0.03627688081752206,0.5648995000025254,1.0,30
neville_4,neville,trajectory,single_exp,0.0,5000,1.0,0.0,0.0,0.02932682681530218,0.6987729004754333,1.0,30
anderson_1,anderson,limit,single_exp,0.0,5000,1.0,0.0,1.0,0.018354600666846736,1.116493472532193,1.4,30
anderson_2,anderson,limit,single_exp,0.0,5000,1.0,0.0,1.0,0.016490679606536975,1.2426893447948617,1.4,30
anderson_3,anderson,limit,single_exp,0.0,5000,1.0,0.0,1.0,0.014856354719301587,1.3793957012109366,1.4,30
median_ensemble,ensemble,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,1.7062725096838455e-06,12010.26900402124,1.4,30
stability_weighted,ensemble,trajectory,single_exp,0.0,5000,1.0,0.0,1.0,0.001957762009477981,10.467458116083083,1.4,30
best_shanks_wynn,ensemble,limit,single_exp,0.0,5000,1.0,0.0,1.0,3.3046482217358175e-15,1.0,1.4,30
current_value,baseline,limit,single_exp,0.001,150,1.0,0.0,0.0,0.01869859047375883,1.0,1.0,30
