method,family,method_type,is_trivial,is_oracle,regime_set,target_g,valid_rate,cat_rate,beats_rate,med_error,med_improve,med_skill,stability,n_regimes,n_cells,n_capped_excluded,rank,rank_eligible
richardson_a20,richardson,trajectory,0,0,core,0.02,1.0,0.0052,0.7963,0.0970080358912988,1.0419851511747171,1.8540333812083913,1.3082,15,45,9,46.0,1
window_mean,trivial,limit,1,0,core,0.02,1.0,0.0141,0.1015,0.17490291679737338,0.7153260191018406,2.7817988128313607,1.0124,15,45,9,47.0,1
pade_21,pade,trajectory,0,0,core,0.02,0.4504,0.7163,0.1119,0.21484108306943323,0.2937829754613699,8.10010797431884,-0.9375,15,45,9,,0
pade_32,pade,trajectory,0,0,core,0.02,0.5896,0.6874,0.1511,0.2729385921790197,0.23999575645687832,8.577206515154403,-0.7247,15,45,9,,0
neville_4,neville,trajectory,0,0,core,0.02,0.2859,0.7556,0.2222,0.28400222737996217,0.2209360553939266,6.2813268110986815,-1.1363,15,45,9,,0
linear,baseline,trajectory,0,0,core,0.02,0.2963,0.8881,0.0482,0.40552258684593756,0.16123932799253507,6.227067278112584,-1.4607,15,45,9,,0
pade_31,pade,trajectory,0,0,core,0.02,0.6259,0.8393,0.037,1.8859105263544753,0.0687798925776253,37.20942475794256,-1.0378,15,45,9,,0
neville_2,neville,trajectory,0,0,core,0.02,0.6459,0.7259,0.223,6.1996990845840365,0.009871447771285593,256.91440406966035,-0.7167,15,45,9,,0
neville_3,neville,trajectory,0,0,core,0.02,0.4526,0.7778,0.2222,160.87953029428934,0.0007548255624833074,4146.729911781694,-1.0141,15,45,9,,0
constant_oracle,trivial,limit,1,1,core,0.1,1.0,0.0,1.0,0.007726328808948083,9.005233625218938,0.16449363569450143,1.4,16,48,6,,0
log_linear,baseline,trajectory,0,0,core,0.1,0.9528,0.1118,0.7563,0.020179207124564693,3.061156506518527,0.6012533336194672,1.0317,16,48,6,1.0,1
richardson_3,richardson,trajectory,0,0,core,0.1,0.9799,0.0972,0.7743,0.022187676584829893,2.8339879520962086,0.8271089193100412,1.0952,16,48,6,2.0,1
richardson_2,richardson,trajectory,0,0,core,0.1,0.9924,0.0854,0.8063,0.025680793692959128,2.9605638762494424,0.6957449616366677,1.144,16,48,6,3.0,1
double_exp_fit,parametric,trajectory,0,0,core,0.1,0.9792,0.0292,0.9111,0.02873251991700595,1.9532091083058014,0.7636651601123696,1.2853,16,48,6,4.0,1
rational_fit,parametric,trajectory,0,0,core,0.1,1.0,0.009,0.8771,0.02956233916617655,3.3531014372366155,0.6702267523614582,1.3328,16,48,6,5.0,1
richardson_1,richardson,trajectory,0,0,core,0.1,1.0,0.0882,0.8111,0.030059278740155702,3.144557646548946,0.8792214271206058,1.1481,16,48,6,6.0,1
pade_23,pade,trajectory,0,0,core,0.1,0.9958,0.0931,0.7007,0.030226204924921403,2.373390066374415,0.8890859820814596,1.09,16,48,6,7.0,1
pade_12,pade,trajectory,0,0,core,0.1,0.9951,0.0875,0.684,0.031357279917059624,2.0868440267606063,0.9032929133670012,1.0937,16,48,6,8.0,1
pade_22,pade,trajectory,0,0,core,0.1,0.9243,0.1625,0.6569,0.03331913825677172,1.9585576916910445,1.9035204739252252,0.8621,16,48,6,9.0,1
single_exp_fit,parametric,trajectory,0,0,core,0.1,1.0,0.0076,0.9618,0.036132307931265775,1.5797397076329975,1.0008151345091147,1.3694,16,48,6,10.0,1
richardson_a05,richardson,trajectory,0,0,core,0.1,1.0,0.009,0.7118,0.038364777216431875,3.273639380838579,0.6743764697252728,1.2667,16,48,6,11.0,1
pade_13,pade,trajectory,0,0,core,0.1,0.9722,0.1514,0.575,0.03902204181157541,1.5450861057916647,1.303226189450419,0.8994,16,48,6,12.0,1
pade_11,pade,trajectory,0,0,core,0.1,0.9993,0.0493,0.7,0.03972094922015748,1.9614620797370736,1.5580535916219338,1.1807,16,48,6,13.0,1
wynn_eps_3,wynn_eps,limit,0,0,core,0.1,0.9569,0.0569,0.4882,0.0438208308437035,0.9905957682186625,1.517960838053381,1.0383,16,48,6,14.0,1
stability_weighted,ensemble,trajectory,0,0,core,0.1,1.0,0.0194,0.6229,0.04561163667938753,1.062463914153252,1.3615195608067494,1.2103,16,48,6,15.0,1
median_ensemble,ensemble,trajectory,0,0,core,0.1,1.0,0.0062,0.6597,0.04727985439134463,1.0055696103291996,1.3974093519858082,1.2514,16,48,6,16.0,1
wynn_eps_2,wynn_eps,limit,0,0,core,0.1,0.9674,0.0479,0.4708,0.047326072822671844,0.9894625367131084,1.520815399968969,1.0599,16,48,6,17.0,1
levin_t2,levin,limit,0,0,core,0.1,0.9785,0.0396,0.5028,0.04746158890409931,0.9931954546849918,1.519889148832327,1.1004,16,48,6,18.0,1
shanks_4,shanks,limit,0,0,core,0.1,0.9792,0.041,0.3701,0.04746230770043436,0.972864334615235,1.580751386188104,1.0453,16,48,6,19.0,1
levin_u2,levin,limit,0,0,core,0.1,0.9792,0.0382,0.4618,0.04746342864172837,0.9916874864026929,1.5916600331842243,1.0875,16,48,6,20.0,1
levin_v1,levin,limit,0,0,core,0.1,0.9792,0.0424,0.3896,0.047561565567011334,0.9804537089249783,1.5711185096519695,1.0503,16,48,6,21.0,1
shanks_3,shanks,limit,0,0,core,0.1,1.0,0.0181,0.4014,0.04756371893016745,0.9823989184899116,1.5157392175553057,1.1244,16,48,6,22.0,1
brezinski_theta2,brezinski,limit,0,0,core,0.1,0.9764,0.0868,0.3625,0.047777143400064045,0.9408509269750145,1.8055962024931163,0.9478,16,48,6,23.0,1
shanks_2,shanks,limit,0,0,core,0.1,0.9993,0.0194,0.3535,0.047868450626317255,0.9800005315286396,1.6715575711809998,1.1018,16,48,6,24.0,1
wynn_rho_1,wynn_rho,limit,0,0,core,0.1,0.9785,0.0347,0.4375,0.04891735814945223,0.9972740122925592,1.527931415936202,1.084,16,48,6,25.0,1
wynn_rho_3,wynn_rho,limit,0,0,core,0.1,0.9729,0.0681,0.4937,0.050208545254438394,0.9954086367695354,1.5455951385458904,1.0343,16,48,6,26.0,1
levin_v2,levin,limit,0,0,core,0.1,0.9785,0.0431,0.4201,0.050281621303046656,0.9809728346587083,1.6802628518679992,1.0604,16,48,6,27.0,1
levin_t1,levin,limit,0,0,core,0.1,0.9792,0.0347,0.6132,0.05047738070354921,1.0004693184926088,1.5232024060080842,1.155,16,48,6,28.0,1
wynn_eps_1,wynn_eps,limit,0,0,core,0.1,0.9792,0.0347,0.6132,0.05047738070354922,1.000469318492609,1.523202406008084,1.155,16,48,6,29.0,1
geom_avg_diff,baseline,limit,0,0,core,0.1,0.6007,0.4417,0.4104,0.05049465213778617,1.0,1.6719469766403985,-0.1185,16,48,6,,0
wynn_rho_2,wynn_rho,limit,0,0,core,0.1,0.9778,0.0528,0.4542,0.05098224218502938,0.9997880331253274,1.651102053193651,1.0539,16,48,6,30.0,1
richardson_a10,richardson,trajectory,0,0,core,0.1,1.0,0.0063,0.8458,0.05610627638978366,1.7202888230008118,1.0639920585703866,1.3258,16,48,6,31.0,1
brezinski_theta1,brezinski,limit,0,0,core,0.1,1.0,0.0396,0.5917,0.058420003801917905,1.036620712952149,1.5183438780078062,1.1575,16,48,6,32.0,1
best_shanks_wynn,ensemble,limit,0,0,core,0.1,1.0,0.0139,0.6132,0.05894943382380727,1.000442083038633,1.5377305899406903,1.2175,16,48,6,33.0,1
shanks_1,shanks,limit,0,0,core,0.1,1.0,0.0139,0.6132,0.05894943382380727,1.000442083038633,1.5377305899406903,1.2175,16,48,6,34.0,1
constant_assumed,trivial,limit,1,0,core,0.1,1.0,0.1833,0.5243,0.062036830449435316,1.4880895913919256,1.0,0.843,16,48,6,35.0,1
weniger_d1,weniger,limit,0,0,core,0.1,0.9764,0.2069,0.5076,0.06616719347911718,1.4835781256021217,1.0000000000000104,0.7656,16,48,6,36.0,1
weniger_d2,weniger,limit,0,0,core,0.1,0.9833,0.1993,0.5111,0.06616719347911718,1.4831778159673865,1.0000000000006048,0.7892,16,48,6,37.0,1
window_min,trivial,limit,1,0,core,0.1,1.0,0.0444,0.3479,0.06808028685097574,1.0,1.4928686272977578,1.0503,16,48,6,38.0,1
log_fit,parametric,trajectory,0,0,core,0.1,1.0,0.0097,0.6917,0.07592461658065186,1.6264768619411971,1.5658927917492047,1.2572,16,48,6,39.0,1
levin_u1,levin,limit,0,0,core,0.1,0.9792,0.0757,0.5035,0.08634953813415522,1.0003127474852607,1.603460086674538,1.0292,16,48,6,40.0,1
current_value,baseline,limit,0,0,core,0.1,1.0,0.0,0.0,0.10303048749284283,1.0,1.569875599124766,1.0,16,48,6,41.0,1
last_value,trivial,limit,1,0,core,0.1,1.0,0.0,0.0,0.10303048749284283,1.0,1.569875599124766,1.0,16,48,6,42.0,1
anderson_2,anderson,limit,0,0,core,0.1,1.0,0.0111,0.5708,0.10359292547837116,1.000080498319599,1.5298563554304443,1.2061,16,48,6,43.0,1
anderson_3,anderson,limit,0,0,core,0.1,1.0,0.0111,0.5396,0.1037749763092308,0.9991084632162354,1.5592641108418512,1.1936,16,48,6,44.0,1
