regime,n_obs,target_g,n_f,achieved_g,capped,gap_obs,gap_f,degenerate,seed
log_slow,90,0.5,8594,0.49999975284240333,False,0.17661737539939584,0.08830864404737189,False,
log_slow,90,0.1,50000,0.41863546463489004,True,0.17661737539939584,0.07393829701292087,False,
log_slow,90,0.02,50000,0.41863546463489004,True,0.17661737539939584,0.07393829701292087,False,
delayed_plateau,90,0.5,160,0.49658484551706805,False,0.24394202096654777,0.12113791079679449,False,
delayed_plateau,90,0.1,321,0.09926115995627992,False,0.24394202096654777,0.02421396796321869,False,
delayed_plateau,90,0.02,482,0.019841076433992064,False,0.24394202096654777,0.004840072283459769,False,
staircase,90,0.5,170,0.2777777777777778,False,0.18,0.05,False,
staircase,90,0.1,320,0.0,False,0.18,0.0,False,
staircase,90,0.02,320,0.0,False,0.18,0.0,False,
noisy_plateau,90,0.5,104,0.4965853037914094,False,0.00022217993076484614,0.00011033128841521543,False,
noisy_plateau,90,0.1,137,0.09536916221554956,False,0.00022217993076484614,2.118911385815218e-05,False,
noisy_plateau,90,0.02,169,0.019254701775386903,False,0.00022217993076484614,4.278008307353222e-06,False,
slow_osc_power,90,0.5,415,0.49840630355024784,False,0.028036975611018432,0.013973805377016148,False,
slow_osc_power,90,0.1,3483,0.09996889692898078,False,0.028036975611018432,0.0028028255250582496,False,
slow_osc_power,90,0.02,39003,0.01999670206152793,False,0.028036975611018432,0.0005606470479998605,False,
log_oscillatory,90,0.5,533,0.49841524754235217,False,0.205009834560287,0.10218002744098212,False,
log_oscillatory,90,0.1,50000,0.2992564263745022,True,0.205009834560287,0.061350510462139414,False,
log_oscillatory,90,0.02,50000,0.2992564263745022,True,0.205009834560287,0.061350510462139414,False,
heavy_noise_plat,90,0.5,97,0.49658530379140886,False,6.170490204333978e-06,3.0641747526611013e-06,False,
heavy_noise_plat,90,0.1,114,0.09071795328941246,False,6.170490204333978e-06,5.59774242129547e-07,False,
heavy_noise_plat,90,0.02,130,0.01831563888873418,False,6.170490204333978e-06,1.1301647034905272e-07,False,
broken_power_law,90,0.5,514,0.49991211917454004,False,0.13166593576440505,0.0658213969710826,False,
broken_power_law,90,0.1,28776,0.09999962012267244,False,0.13166593576440505,0.013166543559536696,False,
broken_power_law,90,0.02,50000,0.0801724362309424,True,0.13166593576440505,0.010555978838859123,False,
stretched_exp,90,0.5,193,0.49828241532615414,False,0.15619111210390085,0.07782728459160983,False,
stretched_exp,90,0.1,579,0.09979846505939677,False,0.15619111210390085,0.015587633243889473,False,
stretched_exp,90,0.02,1172,0.01998151982994824,False,0.15619111210390085,0.003120935803765763,False,
logistic_tail,90,0.5,105,0.47748855939048196,False,0.09532146292854908,0.04551490801274613,False,
logistic_tail,90,0.1,135,0.09609894819901184,False,0.09532146292854908,0.009160292328224665,False,
logistic_tail,90,0.02,164,0.019425008840604784,False,0.09532146292854908,0.0018516202600864472,False,
inv_sqrt_log,90,0.5,245,0.4997783934707863,False,0.02082884810994106,0.010409808246233367,False,
inv_sqrt_log,90,0.1,2929,0.09999046875803731,False,0.02082884810994106,0.002082686286202966,False,
inv_sqrt_log,90,0.02,41315,0.01999971499676627,False,0.02082884810994106,0.000416571025909755,False,
random_knots,90,0.5,400,0.49944700321229024,False,0.02465537597296797,0.012314053642771158,False,0.0
random_knots,90,0.1,6723,0.09999871691994223,False,0.02465537597296797,0.0024655059624755695,False,0.0
random_knots,90,0.02,50000,0.031837610467625926,True,0.02465537597296797,0.0007849682561602179,False,0.0
real_boot_a,90,0.5,125,0.4970613452560541,False,0.03768411375722776,0.018731316278949806,False,
real_boot_a,90,0.1,209,0.09859818176108498,False,0.03768411375722776,0.0037155850977405452,False,
real_boot_a,90,0.02,273,0.019982041391979923,False,0.03768411375722776,0.0007530055209170051,False,
real_boot_b,90,0.5,151,0.49684018628925675,False,0.08511401993826985,0.042288065521957505,False,
real_boot_b,90,0.1,335,0.09918842288666796,False,0.08511401993826985,0.008442325403221398,False,
real_boot_b,90,0.02,444,0.019968544279180225,False,0.08511401993826985,0.00169960307591637,False,
