regime,is_holdout,target_g,n_f,achieved_g,capped,best_by_skill,best_skill,family,method_type,skill_best_med_error,skill_best_valid_rate,skill_best_cat_rate,best_by_stability,stab_best_stability,stab_best_med_error,oracle_med_error
rational_decay,0,0.5,205.0,0.5,0,rational_fit,0.008985783861297753,parametric,trajectory,0.0007838971197122735,1.0,0.0,rational_fit,1.4,0.0007838971197122735,0.08695652173913043
rational_decay,0,0.1,1125.0,0.09999999999999999,0,neville_4,0.0021973049052798604,neville,trajectory,0.0002761546047923367,0.3333,0.6667,rational_fit,1.4,0.001873615796169346,0.017391304347826094
rational_decay,0,0.02,5725.0,0.019999999999999997,0,pade_31,1.2373730851260136e-07,pade,trajectory,1.3620474512143765e-08,0.3333,0.6667,rational_fit,1.4,0.002101053924132054,0.003478260869565212
mixed_pow_rat,0,0.5,254.0,0.4990202976120709,0,pade_22,0.0414921044274945,pade,trajectory,0.003088126822597778,1.0,0.0,rational_fit,1.4,0.003911860423117933,0.07439107690656388
mixed_pow_rat,0,0.1,2260.0,0.09998848741275486,0,neville_4,0.1226321704755175,neville,trajectory,0.006536286945597106,0.3333,0.6667,log_linear,1.4,0.012216560644125032,0.014905708830857217
mixed_pow_rat,0,0.02,27113.0,0.019999572893685206,0,richardson_a05,0.06901582508099707,richardson,trajectory,0.0028006844820451862,1.0,0.0,richardson_a05,1.4,0.0028006844820451862,0.0029814213416808674
multiphase,0,0.5,504.0,0.49983903719462197,0,log_linear,0.0710266052412683,baseline,trajectory,0.007073283293632611,1.0,0.0,log_linear,1.4,0.007073283293632611,0.09952229299366738
multiphase,0,0.1,3852.0,0.0999996544626016,0,log_linear,0.2944821110641711,baseline,trajectory,0.016715768970033247,1.0,0.0,log_linear,1.4,0.016715768970033247,0.019910799617712645
multiphase,0,0.02,20594.0,0.019999293769431138,0,log_linear,0.36639145513088744,baseline,trajectory,0.011899245019092099,1.0,0.0,log_linear,1.4,0.011899245019092099,0.003982033066802587
osc_exp,0,0.5,107.0,0.47832942079368884,0,richardson_a10,0.06466292556785141,richardson,trajectory,0.0017267407176730365,1.0,0.0,richardson_a10,1.4,0.0017267407176730365,0.024731274512355482
osc_exp,0,0.1,165.0,0.09570953042125925,0,pade_22,0.07051899801719039,pade,trajectory,0.0026389694177106062,1.0,0.0,pade_22,1.4,0.0026389694177106062,0.004948511564204481
osc_exp,0,0.02,222.0,0.019723199886557016,0,pade_22,0.12013284221288772,pade,trajectory,0.0049271540394050725,1.0,0.0,pade_22,1.4,0.0049271540394050725,0.0010197571996452374
damped_osc_pow,0,0.5,260.0,0.49940767513390516,0,richardson_1,0.03447853906574829,richardson,trajectory,0.0009301644800346308,1.0,0.0,richardson_1,1.4,0.0009301644800346308,0.02782745689126393
damped_osc_pow,0,0.1,3014.0,0.09999319502597674,0,richardson_1,0.09360987135557988,richardson,trajectory,0.002627571738830426,1.0,0.0,rational_fit,1.4,0.011983275919267327,0.005571713176532649
damped_osc_pow,0,0.02,39688.0,0.019999828742130073,0,richardson_1,0.15546873986180615,richardson,trajectory,0.003790968853152404,1.0,0.0,rational_fit,1.4,0.015204744341384555,0.0011144089285473257
log_slow,0,0.5,8594.0,0.49999975284240333,0,log_fit,0.008080425551059164,parametric,trajectory,0.0007128218134313941,1.0,0.0,log_fit,1.4,0.0007128218134313941,0.08830864404737189
log_slow,0,0.1,50000.0,0.41863546463489004,1,log_fit,0.007924113397183085,parametric,trajectory,0.0007975496190193512,1.0,0.0,log_fit,1.4,0.0007975496190193512,0.07393829701292087
log_slow,0,0.02,50000.0,0.41863546463489004,1,log_fit,0.007924113397183085,parametric,trajectory,0.0007975496190193512,1.0,0.0,log_fit,1.4,0.0007975496190193512,0.07393829701292087
delayed_plateau,0,0.5,160.0,0.49658484551706805,0,double_exp_fit,0.11268032922073862,parametric,trajectory,0.01383760756358765,0.6889,0.3111,single_exp_fit,1.4,0.01408683655983415,0.12113791079679449
delayed_plateau,0,0.1,321.0,0.09926115995627992,0,double_exp_fit,0.15715506199820165,parametric,trajectory,0.01598619854316556,0.6889,0.3111,single_exp_fit,1.4,0.014194563223046762,0.02421396796321869
delayed_plateau,0,0.02,482.0,0.019841076433992064,0,double_exp_fit,0.37623033675899004,parametric,trajectory,0.02851091553985942,0.6889,0.3111,richardson_a05,1.4,0.02047158110830384,0.00484007228345977
staircase,0,0.5,170.0,0.2777777777777778,0,double_exp_fit,0.13178476370443926,parametric,trajectory,0.013561893192535833,1.0,0.0,double_exp_fit,1.4,0.013561893192535833,0.05
staircase,0,0.1,320.0,0.0,0,double_exp_fit,0.46840435935442404,parametric,trajectory,0.03279952314849504,1.0,0.0,double_exp_fit,1.4,0.03279952314849504,0.0
staircase,0,0.02,320.0,0.0,0,double_exp_fit,0.46840435935442404,parametric,trajectory,0.03279952314849504,1.0,0.0,double_exp_fit,1.4,0.03279952314849504,0.0
noisy_plateau,0,0.5,104.0,0.4965853037914094,0,richardson_a20,0.3588614804128313,richardson,trajectory,0.00040235876020773553,1.0,0.0333,richardson_1,1.2934,0.0005194255896197909,0.00011033128841521529
noisy_plateau,0,0.1,137.0,0.09536916221554956,0,richardson_a20,0.36871629158252284,richardson,trajectory,0.00037970713593862837,1.0,0.0222,richardson_a20,1.3067,0.00037970713593862837,2.118911385814992e-05
noisy_plateau,0,0.02,169.0,0.019254701775386903,0,richardson_a20,0.3731314816145269,richardson,trajectory,0.0003958614862975447,1.0,0.0333,richardson_a20,1.28,0.0003958614862975447,4.278008307351255e-06
slow_osc_power,0,0.5,415.0,0.49840630355024784,0,richardson_a20,0.7788362074709885,richardson,trajectory,0.010245394394190865,1.0,0.0,richardson_a20,1.3644,0.010245394394190865,0.013973805377016146
slow_osc_power,0,0.1,3483.0,0.09996889692898078,0,single_exp_fit,0.4203287530853351,parametric,trajectory,0.008806249049896086,1.0,0.0,richardson_a10,1.4,0.010288862369538965,0.0028028255250582487
slow_osc_power,0,0.02,39003.0,0.01999670206152793,0,single_exp_fit,0.29885959359548053,parametric,trajectory,0.006564070572837689,1.0,0.0,richardson_a10,1.4,0.008924334357137007,0.0005606470479998585
log_oscillatory,0,0.5,533.0,0.49841524754235217,0,log_linear,0.3591442596168831,baseline,trajectory,0.0159477423545433,1.0,0.0,log_linear,1.4,0.0159477423545433,0.10218002744098212
log_oscillatory,0,0.1,50000.0,0.2992564263745022,1,richardson_1,0.2675844332201284,richardson,trajectory,0.022569916602368373,1.0,0.0,richardson_1,1.4,0.022569916602368373,0.06135051046213941
