method,broken_power_law,damped_osc_pow,delayed_plateau,four_exp,heavy_noise_plat,inv_sqrt_log,log_oscillatory,log_slow,logistic_tail,mixed_pow_rat,multiphase,noisy_plateau,osc_exp,power_law,random_knots,rational_decay,real_boot_a,real_boot_b,single_exp,slow_osc_power,staircase,stretched_exp,three_exp,two_exp
levin_t2,1.2311,1.2,1.0222,1.2355,0.9644,1.1467,1.2267,1.2444,1.16,1.24,1.2311,0.9556,1.0355,1.1822,1.1378,1.2133,1.08,1.2311,1.1755,1.1644,0.0,1.2311,1.0978,1.2044
levin_u1,1.1511,1.1511,0.48,1.1467,0.9467,1.2355,1.1422,1.2845,1.1245,1.1467,1.28,0.9911,1.1467,1.1511,1.1245,1.1511,1.1467,1.1467,1.1022,1.2845,0.0,1.1511,0.48,1.1422
levin_u2,1.2311,1.0889,1.0444,1.1022,0.9644,1.1467,1.2267,1.2444,1.16,1.1067,1.0978,0.9556,1.0577,1.1822,1.1334,1.2044,1.08,1.2311,1.1644,1.1644,0.0,1.0978,0.4311,1.2044
levin_v1,1.0711,1.0845,1.0222,1.04,0.8045,1.1955,1.24,1.2133,1.1511,1.04,1.0622,0.9689,1.0889,1.0622,1.0667,1.0311,1.0445,1.1689,1.0934,1.1867,0.0,1.0356,0.3733,1.1644
levin_v2,1.1956,1.2178,1.1511,1.04,0.7711,1.1955,1.2445,1.2133,0.9956,1.1956,1.1956,0.9067,1.0978,1.2356,1.2134,1.0311,1.1955,1.1733,1.1555,1.2223,0.0,1.0356,1.1733,1.1511
linear,-1.0,0.7555,1.0,1.0,1.1689,0.3111,1.0,-2.0,1.0,1.0,-1.0,1.1289,1.0,0.6667,0.1222,1.0,0.9555,1.0,-0.9111,-1.0,1.0,1.0,1.0,1.0
log_fit,1.4,1.3689,1.0267,1.3956,1.2355,1.3334,1.4,1.4,0.9555,1.3956,1.4,1.2711,0.9733,1.3689,1.3645,1.24,1.0622,1.0533,-0.4222,1.0134,1.0,1.24,1.2667,1.0667
log_linear,-1.0,1.4,1.4,1.4,0.2267,1.2889,1.4,1.3778,1.1156,1.4,1.4,1.1,1.4,1.3778,1.3378,1.4,1.3911,1.4,1.2266,0.64,1.4,1.4,1.4,1.4
median_ensemble,1.2222,1.2622,1.32,1.2667,1.2,1.2444,1.3067,1.3067,1.2133,1.2889,1.2889,1.1555,1.1333,1.2622,1.2533,1.2756,1.2622,1.3067,1.1733,1.3156,1.0,1.2978,1.2889,1.3111
neville_2,-0.4667,-0.4556,-0.3289,-0.4556,-0.9844,-0.4778,-1.6067,-0.4667,0.2355,-0.4556,-0.4556,-1.1889,-0.0956,-0.4667,-0.4778,-0.4222,-0.4,-0.3889,-0.2555,-0.6111,-2.0,-0.4222,-0.3889,-0.3289
neville_3,-0.6778,-0.5889,-0.5,-0.5556,-1.3444,-0.5778,-1.8111,-0.7555,-0.3845,-0.5778,-0.6778,-1.4444,-0.44,-0.5667,-0.6222,-0.5445,-0.4778,-0.4889,-0.4667,-1.4778,-2.0,-0.5445,-0.5333,-0.4778
neville_4,-0.8667,-0.8444,-0.7333,-0.8333,-1.5,-0.8333,-2.0,-0.8667,-0.4444,-0.8444,-0.8667,-1.4444,-0.4444,-0.8333,-0.8556,-0.8111,-0.5444,-0.7111,-0.4444,-1.0,-2.0,-0.8111,-0.7667,-0.5889
pade_11,1.4,0.5667,1.4,1.3956,1.1689,1.0889,1.4,1.2222,1.0,1.3689,1.4,1.0,1.4,0.9555,1.0289,1.4,1.3867,1.4,1.2533,0.2334,-1.0,1.4,1.4,1.4
pade_12,0.1667,1.2244,1.4,1.2667,0.7555,0.9689,-0.6778,0.9466,1.3956,1.2955,0.8467,1.0977,1.3022,1.1822,0.9778,1.3156,1.3289,1.2556,0.9155,0.0267,1.4,1.2756,1.2689,1.3111
pade_13,0.9111,0.4756,1.3956,1.2889,0.9867,0.2422,0.9778,0.8,1.2622,1.24,0.9111,1.0044,1.2933,0.4422,0.1933,1.3156,1.2489,1.3867,1.2489,-0.1845,1.3022,1.3689,1.36,1.3333
pade_21,-1.0,-0.1667,1.0,1.16,1.1645,-0.0445,1.0,-1.9667,1.0,1.12,0.1333,1.0044,-0.9889,-0.0556,0.0889,0.5666,0.5889,0.5667,0.6889,-1.0,1.0,1.2267,1.2667,1.2445
pade_22,1.4,1.0711,-0.2778,1.4,1.1777,0.9778,1.4,0.9178,0.9111,1.3911,1.4,0.9689,1.4,0.6556,1.0645,1.4,1.3956,1.4,1.08,-0.4222,-1.1445,1.4,1.4,1.4
pade_23,0.0666,1.1489,1.3689,1.3111,0.7645,0.9289,0.6888,0.9422,1.3178,1.26,0.9466,1.0178,0.9422,1.16,0.9977,1.2778,1.2533,1.3333,0.9,-0.1799,1.4,1.2689,1.3511,1.3356
pade_31,-0.7489,-0.2,1.3689,0.1111,1.0045,-0.1555,-2.0,-1.6444,1.2222,-0.1111,-1.3333,0.9867,0.9778,-0.1511,-0.5689,-0.1778,0.1111,0.3111,0.4222,-0.9111,-0.9333,1.1333,1.1111,1.2267
pade_32,-0.9555,0.0444,1.2667,1.2045,1.1245,-0.1444,-1.0,-0.8333,1.32,1.0533,0.0044,0.9511,0.9333,-0.2111,-0.0444,0.4111,0.4,0.4889,0.9333,-1.0,1.0,1.24,1.2667,0.9445
rational_fit,1.4,1.4,1.4,1.4,1.2,1.3689,1.3689,1.4,1.0311,1.4,1.4,1.28,1.2311,1.4,1.3911,1.4,1.3911,1.4,0.9556,0.8311,1.4,1.4,1.4,1.4
richardson_1,0.5333,1.4,1.4,1.4,1.1955,1.3289,1.4,1.4,1.0,1.4,1.4,1.2934,1.2044,1.3956,1.3867,1.4,1.3956,1.4,0.96,0.6755,1.3156,1.4,1.4,1.4
richardson_2,-0.9334,1.4,1.4,0.9844,1.1467,1.3644,1.4,1.4,1.0089,1.4,1.4,1.249,1.2444,1.3956,1.3822,1.4,1.4,1.4,1.0045,0.8089,1.4,1.2111,1.4,1.4
richardson_3,-0.7111,1.3911,1.3623,0.9845,1.0578,1.2956,1.3733,1.3867,1.0089,1.2489,1.4,1.1533,1.2889,1.3956,1.2689,1.4,1.4,1.4,1.1289,0.8222,1.3623,1.1356,1.3623,1.4
richardson_a05,1.0,1.4,1.4,1.4,1.1867,1.3511,1.4,1.4,1.4,1.4,1.4,1.2756,1.3956,1.4,1.3689,1.4,1.3956,1.4,0.8889,0.8889,1.4,1.4,1.4,1.4
richardson_a10,1.0,1.4,1.4,1.4,1.2311,1.3911,1.4,1.4,1.0,1.4,1.4,1.2889,1.4,1.4,1.3956,1.4,1.4,1.4,1.0444,1.1111,1.0089,1.4,1.4,1.4
richardson_a20,1.0,1.3422,1.0044,1.0845,1.24,1.2711,1.4,1.3422,1.0,1.2622,1.3956,1.28,1.36,1.3244,1.28,1.3289,1.2889,1.2578,1.2355,1.3644,1.0,1.0267,1.0267,1.0
shanks_1,1.2845,1.2845,1.2845,1.2845,0.9244,1.2355,1.1422,1.2845,1.1289,1.2845,1.2845,0.9955,1.1467,1.2845,1.2623,1.2845,1.2845,1.2845,1.2355,1.2845,1.0,1.2845,1.2845,1.2845
shanks_2,1.1778,1.1867,1.1022,1.0267,0.9155,1.1511,1.2,1.1867,1.1155,1.16,1.0444,0.9023,1.0756,1.2044,1.1733,1.1333,1.0311,1.1555,1.0711,1.0622,1.0,1.1555,1.0222,1.1222
shanks_3,1.1911,1.2044,1.16,1.1689,0.9378,1.2044,1.2044,1.2089,1.14,1.1867,1.0533,0.96,1.1022,1.24,1.2222,1.1733,1.0533,1.1867,1.12,1.1156,1.0044,1.1822,1.0444,1.1467
shanks_4,1.1956,1.1956,1.1378,1.1067,0.9556,1.16,1.2133,1.1956,1.1066,1.1644,1.0444,0.9333,1.1022,1.2133,1.2178,1.1378,1.0355,1.1689,1.1244,1.0978,0.0,1.16,1.16,1.1467
single_exp_fit,1.4,1.3956,1.4,1.4,1.2311,1.3334,1.2667,1.4,1.3956,1.4,1.3956,1.2889,1.3822,1.3778,1.3689,1.4,1.3956,1.4,1.4,0.9822,1.4,1.4,1.4,1.4
stability_weighted,1.2178,1.24,1.1778,1.2355,0.8667,1.1734,1.2045,1.3733,1.0222,1.2489,1.2311,0.9955,1.0889,1.2622,1.2222,1.2444,1.24,1.2667,1.1867,1.16,1.0,1.2489,1.2489,1.2622
weniger_d1,0.6444,0.5334,1.0089,0.7334,-0.5066,-0.0222,0.9111,0.8,0.7334,0.8755,0.9334,-0.7999,0.1778,0.3334,0.2,0.9111,0.0222,0.5778,0.1556,-0.2667,0.1689,0.6444,0.8044,0.6
weniger_d2,0.6444,0.5334,1.0089,0.7334,-0.5511,-0.0222,0.9111,0.8,0.7334,0.8755,0.9334,-0.7999,0.1778,0.3334,0.2,0.9111,0.0222,0.5778,0.1556,-0.2667,0.5867,0.6444,0.8044,0.6
window_mean,1.4,1.0,1.0,1.0,1.2533,0.9111,1.4,1.0,-0.5333,1.0,1.0,1.1422,0.8889,1.0,0.9778,1.0,0.9555,1.0,-0.9111,0.9111,1.0,1.0,1.0,1.0
window_min,1.4,1.1956,1.0489,1.1378,0.2133,1.2178,1.4,1.1867,1.0267,1.1422,1.1689,0.3644,1.2089,1.2133,1.1911,1.1067,1.1689,1.1289,1.1555,1.2178,1.0,1.12,1.1289,1.08
wynn_eps_1,1.2845,1.2845,1.2845,1.2845,0.9244,1.2355,1.1422,1.2845,1.1289,1.2845,1.2845,0.9955,1.1467,1.2845,1.2623,1.2845,1.2845,1.2845,1.2355,1.2845,0.0,1.2845,1.2845,1.2845
wynn_eps_2,1.2178,1.2267,1.2355,1.2178,0.8955,1.1778,1.1978,1.2267,1.2045,1.2089,1.2178,1.0267,1.1022,1.2134,1.2223,1.2178,1.08,1.2178,0.5334,1.0889,0.0,1.2178,1.2222,1.2178
wynn_eps_3,1.2267,1.2267,1.1978,1.2133,1.0245,1.1733,1.1778,1.2267,1.0467,1.2133,1.2267,0.9689,1.2178,1.2178,1.2267,1.1867,1.08,1.1756,-0.0133,1.0889,0.0,1.1867,1.2089,1.2
wynn_rho_1,1.2089,1.2267,1.12,1.2045,0.9555,1.1822,1.16,1.2222,1.1111,1.2,1.2089,1.0422,1.1067,1.24,1.1956,1.2178,1.0711,1.0756,1.0,1.2489,0.0,1.0845,1.0756,1.0933
wynn_rho_2,1.2356,1.2178,1.0533,1.2267,0.8022,1.1645,1.2444,1.2711,0.9045,1.2267,1.1289,0.8844,1.2267,1.2133,1.2533,1.1866,0.3867,1.0577,1.0,1.0667,0.0,1.08,1.08,1.0422
wynn_rho_3,1.2222,1.2067,1.0511,1.2111,0.8689,1.1378,1.0022,1.2222,0.9067,1.2067,1.2222,0.9422,1.0933,1.1911,1.1289,1.1,0.3867,1.0889,0.9334,0.4178,-0.0222,1.0845,1.0556,1.2134
