regime,is_holdout,obs_idx,target_g,method,n_f,achieved_g,med_error,med_skill,n
log_oscillatory,0,30,0.02,last_value,50000.0,0.3324862235710625,0.12316994816981629,1.1071280079970733,60
log_oscillatory,0,30,0.02,window_mean,50000.0,0.3324862235710625,0.2678007380505294,2.6069260034746113,60
log_oscillatory,0,30,0.02,window_min,50000.0,0.3324862235710625,0.12177929491242363,1.0142885319925676,60
broken_power_law,0,30,0.1,current_value,50000.0,0.2901576654864911,0.025824169247735472,1.1332301758269232,60
broken_power_law,0,30,0.1,richardson_1,50000.0,0.2901576654864911,0.03378345819395591,2.2225823117426704,60
broken_power_law,0,30,0.1,richardson_a10,50000.0,0.2901576654864911,0.02899441429406535,1.3876102003378454,60
broken_power_law,0,30,0.1,single_exp_fit,50000.0,0.2901576654864911,0.03951929118251976,1.893339564442741,60
broken_power_law,0,30,0.1,rational_fit,50000.0,0.2901576654864911,0.003992749995370928,0.20619323885953852,60
broken_power_law,0,30,0.1,pade_22,50000.0,0.2901576654864911,0.00874554148745689,0.38969563480624075,60
broken_power_law,0,30,0.1,log_linear,50000.0,0.2901576654864911,0.04814198128552635,2.825381028701648,60
broken_power_law,0,30,0.1,levin_t2,50000.0,0.2901576654864911,0.02055309047701461,1.188886414603838,60
broken_power_law,0,30,0.1,anderson_1,50000.0,0.2901576654864911,0.022158858379973022,1.173948098819337,60
broken_power_law,0,30,0.1,constant_assumed,50000.0,0.2901576654864911,0.049361440175231835,2.932371203655815,60
broken_power_law,0,30,0.1,last_value,50000.0,0.2901576654864911,0.025824169247735472,1.1332301758269232,60
broken_power_law,0,30,0.1,window_mean,50000.0,0.2901576654864911,0.08783924640398781,4.20097679236569,60
broken_power_law,0,30,0.1,window_min,50000.0,0.2901576654864911,0.022454608657944432,1.0,60
broken_power_law,0,30,0.02,current_value,50000.0,0.2901576654864911,0.025824169247735472,1.1332301758269232,60
broken_power_law,0,30,0.02,richardson_1,50000.0,0.2901576654864911,0.03378345819395591,2.2225823117426704,60
