regime,obs_idx,noise,future_idx,richardson_stability,richardson_rank,best_method,best_stability,stability_margin,richardson_wins
log_oscillatory,90,0.01,5000,1.4,3,log_linear,1.4,0.0,0
log_oscillatory,90,0.02,5000,1.4,2,log_linear,1.4,0.0,0
log_oscillatory,100,0.0,5000,1.4,5,log_linear,1.4,0.0,0
log_oscillatory,100,0.003,5000,1.4,5,log_linear,1.4,0.0,0
log_oscillatory,100,0.005,5000,1.4,5,log_linear,1.4,0.0,0
log_oscillatory,100,0.01,5000,1.4,4,log_linear,1.4,0.0,0
log_oscillatory,100,0.02,5000,1.4,3,rational_fit,1.4,0.0,0
log_oscillatory,110,0.0,5000,1.4,3,anderson_1,1.4,0.0,0
log_oscillatory,110,0.003,5000,1.4,3,rational_fit,1.4,0.0,0
log_oscillatory,110,0.005,5000,1.36,3,rational_fit,1.4,0.04,0
log_oscillatory,110,0.01,5000,1.32,3,rational_fit,1.4,0.08,0
log_oscillatory,110,0.02,5000,1.26,3,rational_fit,1.3,0.04,0
log_oscillatory,120,0.0,5000,1.4,3,anderson_1,1.4,0.0,0
log_oscillatory,120,0.003,5000,1.38,1,richardson_1,1.38,0.0,1
log_oscillatory,120,0.005,5000,1.32,1,richardson_1,1.32,0.0,1
log_oscillatory,120,0.01,5000,1.28,1,richardson_1,1.28,0.0,1
log_oscillatory,120,0.02,5000,1.26,3,log_linear,1.28,0.02,0
log_oscillatory,130,0.0,5000,1.4,4,log_linear,1.4,0.0,0
log_oscillatory,130,0.003,5000,1.4,4,log_linear,1.4,0.0,0
log_oscillatory,130,0.005,5000,1.4,4,log_linear,1.4,0.0,0
log_oscillatory,130,0.01,5000,1.4,4,log_linear,1.4,0.0,0
log_oscillatory,130,0.02,5000,1.38,2,richardson_a10,1.4,0.02,0
log_oscillatory,140,0.0,5000,1.4,5,log_linear,1.4,0.0,0
log_oscillatory,140,0.003,5000,1.4,5,log_linear,1.4,0.0,0
log_oscillatory,140,0.005,5000,1.4,5,log_linear,1.4,0.0,0
log_oscillatory,140,0.01,5000,1.4,5,log_linear,1.4,0.0,0
log_oscillatory,140,0.02,5000,1.4,3,rational_fit,1.4,0.0,0
log_slow,20,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,20,0.003,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,20,0.005,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,20,0.01,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,20,0.02,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,30,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,30,0.003,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,30,0.005,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,30,0.01,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,30,0.02,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,40,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,40,0.003,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,40,0.005,5000,1.4,5,log_linear,1.4,0.0,0
log_slow,40,0.01,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,40,0.02,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,50,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,50,0.003,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,50,0.005,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,50,0.01,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,50,0.02,5000,1.4,2,log_linear,1.4,0.0,0
log_slow,60,0.0,5000,1.4,5,anderson_1,1.4,0.0,0
log_slow,60,0.003,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,60,0.005,5000,1.4,4,log_linear,1.4,0.0,0
log_slow,60,0.01,5000,1.4,4,log_linear,1.4,0.0,0
