regime,obs_idx,noise,seed,L_true,L_hat,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv
damped_osc_pow,20,0.0,3,0.04655745213761111,0.0,-0.43954084742269095,0.01533953533761125,0.0,0.00019723105477764756,0.9943191741104567,0.05021699540485681
log_slow,20,0.0,3,0.1788760076816011,0.0,-0.202337590530655,0.014128222779714601,0.0,7.853331387767377e-05,0.9990519654075279,0.029147591202215887
delayed_plateau,20,0.0,3,0.007608598974598497,0.0,-0.10796525393138774,0.005373067519247177,0.0,5.009426740176087e-07,0.9578440791121292,0.006612059035262681
staircase,20,0.0,3,0.29863115058955075,0.0,-0.011399534143422591,0.055555555555555185,0.0,0.001180555555555554,-0.8972588308123262,0.0338077124002365
noisy_plateau,20,0.0,3,0.15973164490260325,0.0,-0.028389336446174376,0.28352834710525937,0.7222222222222222,3.039097726988957e-05,0.25671004627488125,0.01770455172097583
slow_osc_power,20,0.0,3,0.30498291858809423,0.0,-0.2142330909235388,0.020156443065731777,0.0,0.00020993348143022683,0.9558250609308513,0.047257142328645495
log_oscillatory,20,0.0,3,0.40363983580065543,0.0,-0.14004401817783327,0.010896761553033688,0.0,6.943344411443538e-05,0.9790310074884867,0.016219267500961806
heavy_noise_plat,20,0.0,3,0.22380020828107172,0.0,-0.06085869740854464,0.18033236622523738,0.5555555555555556,8.68462495872664e-05,0.8951091384730437,0.021944843416182015
broken_power_law,20,0.0,3,0.20100508749882268,0.0,-0.3021178917180058,0.018971191129169427,0.0,0.00022443256406607534,0.9927137658913303,0.05287928783363935
single_exp,20,0.0,4,0.005724409944609558,0.0,-0.26812098683472413,0.0021002632892353403,0.0,2.771044463443845e-08,0.8567191800183352,0.0001012738398954553
two_exp,20,0.0,4,0.026819716208721704,0.0,-0.23247937876959512,0.0048929099610849945,0.0,1.3344459340876252e-06,0.9312610848669941,0.010014158771641841
three_exp,20,0.0,4,0.047752320410789945,0.0,-0.2401762588591383,0.006769751811454569,0.0,5.2667943073191806e-06,0.9585057869025475,0.015341476789980003
four_exp,20,0.0,4,0.01872871899805737,0.0,-0.20683182127556482,0.007112557894116091,0.0,5.048432298922624e-06,0.9625865310981707,0.013919926761617121
power_law,20,0.0,4,0.01418711225930046,0.0,-0.5332172406900287,0.01654626755616021,0.0,0.00016593882066323165,0.993359042475966,0.059216408103170144
rational_decay,20,0.0,4,0.010555750984163852,0.0,-0.19575172038522098,0.003145489987595254,0.0,2.151110914399851e-07,0.9006334397544644,0.004582317229840718
mixed_pow_rat,20,0.0,4,0.02267540255452515,0.0,-0.21256497750489892,0.01055029779012154,0.0,2.5484806864204074e-05,0.9847669617952396,0.020751729395640003
multiphase,20,0.0,4,0.1416206312113162,0.0,-0.17940682606707314,0.0030273671576937647,0.0,9.630887144111546e-08,0.901532037118879,0.004444227354405333
osc_exp,20,0.0,4,0.1977936538553533,0.0,-0.23775033981700727,0.004937059254212829,0.0,3.2452606463441485e-06,0.8845518655028941,0.012708938278642595
damped_osc_pow,20,0.0,4,0.03271251503868244,0.0,-0.4592082768406192,0.015339535337611261,0.0,0.00019723105477764859,0.9932206651745628,0.05109871623160933
log_slow,20,0.0,4,0.11364320478122372,0.0,-0.22915913604930174,0.014128222779714629,0.0,7.853331387767417e-05,0.9990118234391506,0.03182723735207942
delayed_plateau,20,0.0,4,0.011166087117825683,0.0,-0.10731449255067083,0.005373067519247177,0.0,5.009426740176087e-07,0.957955049014294,0.0065807623428509356
staircase,20,0.0,4,0.01395823127205415,0.0,-0.016518190868825756,0.055555555555555185,0.0,0.001180555555555554,-0.33139725717042845,0.04743841312381923
noisy_plateau,20,0.0,4,0.1942338643058729,0.0,-0.021838360645516326,0.29586381837064946,0.5555555555555556,3.425247171127698e-05,-0.4843756096852254,0.017111197245126494
slow_osc_power,20,0.0,4,0.01543875847608025,0.0,-0.5197750824566221,0.020156443065731795,0.0,0.0002099334814302276,0.9901906103927661,0.08434943776563664
log_oscillatory,20,0.0,4,0.08050635486016489,0.0,-0.23241673985041325,0.010896761553033714,0.0,6.943344411443536e-05,0.9691370936085882,0.02292307222661138
heavy_noise_plat,20,0.0,4,0.012035535549835689,0.0,-0.46750182463485923,0.1667725324802533,0.7222222222222222,7.887363965335032e-05,0.8234112575768102,0.2528595406317377
broken_power_law,20,0.0,4,0.0497583501501862,0.0,-0.5318746432485578,0.018971191129169434,0.0,0.00022443256406607574,0.9985563028122612,0.07065735623136132
single_exp,20,0.0,5,0.07289141471219866,0.0,-0.23693614092752996,0.0021002632892353408,0.0,2.7710444634438617e-08,0.8640910375533248,0.0009909443204416844
two_exp,20,0.0,5,0.013888267353375686,0.0,-0.23829948754467895,0.0048929099610849945,0.0,1.3344459340876252e-06,0.9301379556899132,0.010104596970710237
three_exp,20,0.0,5,0.08894198723473708,0.0,-0.22255236945999932,0.006769751811454568,0.0,5.266794307319173e-06,0.9612350460722155,0.014702160427055851
four_exp,20,0.0,5,0.18061179135380345,0.0,-0.15265145614190395,0.00711255789411608,0.0,5.048432298922633e-06,0.9705955973062019,0.01139977615246492
power_law,20,0.0,5,0.020487484417610623,0.0,-0.5174295090346356,0.01654626755616021,0.0,0.00016593882066323165,0.9941860138216044,0.058657324752278694
rational_decay,20,0.0,5,0.13248186173724147,0.0,-0.16271223714646313,0.0031454899875952816,0.0,2.1511109143999504e-07,0.9081214843687597,0.0044271693013047
mixed_pow_rat,20,0.0,5,0.4592795055148235,0.0,-0.10587336326823352,0.01055029779012155,0.0,2.5484806864203928e-05,0.9939517889789689,0.012318673859392067
multiphase,20,0.0,5,0.019886854489537045,0.0,-0.2188427379464324,0.0030273671576937643,0.0,9.630887144111515e-08,0.8925097723097102,0.004455207763940683
osc_exp,20,0.0,5,0.43946864540428254,0.0,-0.1783039752364796,0.004937059254212815,0.0,3.2452606463442006e-06,0.8981036260596353,0.00992214601859551
damped_osc_pow,20,0.0,5,0.14898829420140014,0.0,-0.3357614467321182,0.01533953533761125,0.0,0.00019723105477764745,0.9984217821916451,0.04401055357252431
log_slow,20,0.0,5,0.06877755152692115,0.0,-0.25229090103878427,0.01412822277971462,0.0,7.853331387767422e-05,0.9987431381888712,0.03395762600630042
delayed_plateau,20,0.0,5,0.012503747932179971,0.0,-0.10707183295696072,0.005373067519247177,0.0,5.009426740176087e-07,0.957996403764535,0.006569066509428332
staircase,20,0.0,5,0.15822624796852247,0.0,-0.013454696594624572,0.055555555555555185,0.0,0.001180555555555554,-0.5871332064688626,0.03938996885584754
noisy_plateau,20,0.0,5,0.010796396636987567,0.0,-0.19117153520112165,0.37297632287644505,0.6111111111111112,8.666139924324423e-05,0.47318653274043443,0.3060085063373613
slow_osc_power,20,0.0,5,0.10313216710666834,0.0,-0.3586011086139236,0.02015644306573179,0.0,0.00020993348143022748,0.9785382123291274,0.06774393329595145
log_oscillatory,20,0.0,5,0.058397394174781694,0.0,-0.2435446308795823,0.010896761553033712,0.0,6.943344411443533e-05,0.967829871034712,0.023565386769792737
heavy_noise_plat,20,0.0,5,0.014892103625569869,0.0,-0.3957242575734106,0.23242535553520888,0.5555555555555556,0.00010516871965534826,0.7535920141683716,0.19399980687218926
broken_power_law,20,0.0,5,0.010287741780089435,0.0,-0.6800116145600127,0.01897119112916943,0.0,0.00022443256406607564,0.9938818507311965,0.07568124438588872
single_exp,20,0.0,6,0.02480988355134651,0.0,-0.2584305918609826,0.0021002632892353403,0.0,2.771044463443845e-08,0.8589935131766926,0.00040568569257130345
two_exp,20,0.0,6,0.15797173656461372,0.0,-0.1865165022176841,0.004892909961084995,0.0,1.3344459340876252e-06,0.9400501728997421,0.009028546340143996
three_exp,20,0.0,6,0.019291757952618095,0.0,-0.25412719617894247,0.006769751811454569,0.0,5.2667943073191806e-06,0.9563128128134059,0.01579623619990251
four_exp,20,0.0,6,0.05113221041142014,0.0,-0.19306448122036798,0.007112557894116091,0.0,5.048432298922633e-06,0.9646771579452976,0.013350001759270414
power_law,20,0.0,6,0.016923451880339557,0.0,-0.5262292412160331,0.016546267556160208,0.0,0.0001659388206632314,0.9937307696329163,0.058975685711998384
rational_decay,20,0.0,6,0.25852315259366293,0.0,-0.13862271329321305,0.0031454899875952816,0.0,2.1511109143999504e-07,0.9135736027301984,0.004154277125643735
mixed_pow_rat,20,0.0,6,0.2146947242942345,0.0,-0.14709801023196464,0.01055029779012155,0.0,2.5484806864204053e-05,0.9908327373622361,0.01600391599893438
multiphase,20,0.0,6,0.01728257875119324,0.0,-0.219880709454857,0.0030273671576937647,0.0,9.630887144111546e-08,0.8922732343900269,0.004450619025986519
osc_exp,20,0.0,6,0.49655003434546713,0.0,-0.1684062961006489,0.0049370592542128154,0.0,3.2452606463441976e-06,0.9003557761340182,0.009436181036602674
damped_osc_pow,20,0.0,6,0.019545381640850915,0.0,-0.4797959287336907,0.01533953533761126,0.0,0.0001972310547776484,0.991983184676335,0.051926269727905906
log_slow,20,0.0,6,0.007194393325713583,0.0,-0.2932395684955124,0.014128222779714619,0.0,7.853331387767419e-05,0.9977658251702598,0.03734194193004542
delayed_plateau,20,0.0,6,0.006432668225559978,0.0,-0.10818211160533525,0.005373067519247177,0.0,5.009426740176087e-07,0.9578070787764774,0.006622465908978908
staircase,20,0.0,6,0.04232970492717761,0.0,-0.015809807422365384,0.055555555555555185,0.0,0.001180555555555554,-0.3766519882321542,0.04560585102279004
noisy_plateau,20,0.0,6,0.08287540816505846,0.0,-0.040371295538864364,0.46138171002810474,0.7222222222222222,6.646326208511423e-05,0.4957848042460018,0.046709993456587204
slow_osc_power,20,0.0,6,0.058212982162250626,0.0,-0.42498959469010406,0.02015644306573179,0.0,0.00020993348143022745,0.9849690967208169,0.07524725253911314
log_oscillatory,20,0.0,6,0.06288997777994997,0.0,-0.24119544766615555,0.010896761553033714,0.0,6.943344411443533e-05,0.9681075170230578,0.023432387421974784
