regime,target_g,feature,spearman_vs_margin,p_vs_margin,spearman_vs_losing,p_vs_losing,n_obs
multiphase,0.5,richardson_r2,-0.2132,0.0882,,,65
multiphase,0.5,diff_ratio_cv,0.2132,0.0882,,,65
noisy_plateau,0.5,log_log_slope,0.0752,0.5514,,,65
noisy_plateau,0.5,curvature_idx,-0.0296,0.8148,,,65
noisy_plateau,0.5,oscillation_idx,-0.2694,0.03,,,65
noisy_plateau,0.5,noise_var,-0.1808,0.1494,,,65
noisy_plateau,0.5,richardson_r2,-0.1543,0.2198,,,65
noisy_plateau,0.5,diff_ratio_cv,-0.3599,0.0032,,,65
osc_exp,0.5,log_log_slope,-0.1703,0.175,,,65
osc_exp,0.5,curvature_idx,-0.014,0.9117,,,65
osc_exp,0.5,oscillation_idx,0.1125,0.3721,,,65
osc_exp,0.5,noise_var,0.0467,0.712,,,65
osc_exp,0.5,richardson_r2,-0.1859,0.1382,,,65
osc_exp,0.5,diff_ratio_cv,0.1297,0.3031,,,65
power_law,0.5,log_log_slope,0.114,0.3658,,,65
power_law,0.5,curvature_idx,0.2151,0.0853,,,65
power_law,0.5,oscillation_idx,0.1959,0.1179,,,65
power_law,0.5,noise_var,0.1359,0.2804,,,65
power_law,0.5,richardson_r2,-0.2342,0.0604,,,65
power_law,0.5,diff_ratio_cv,0.2176,0.0816,,,65
rational_decay,0.5,log_log_slope,0.2554,0.0401,,,65
rational_decay,0.5,curvature_idx,0.0159,0.9001,,,65
rational_decay,0.5,oscillation_idx,0.045,0.7217,,,65
rational_decay,0.5,noise_var,0.3514,0.0041,,,65
rational_decay,0.5,richardson_r2,-0.3186,0.0097,,,65
rational_decay,0.5,diff_ratio_cv,0.2457,0.0485,,,65
single_exp,0.5,log_log_slope,-0.1832,0.1441,,,65
single_exp,0.5,curvature_idx,0.0523,0.6792,,,65
single_exp,0.5,oscillation_idx,0.1587,0.2067,,,65
single_exp,0.5,noise_var,0.0148,0.9067,,,65
single_exp,0.5,richardson_r2,0.0153,0.9039,,,65
single_exp,0.5,diff_ratio_cv,0.1102,0.3823,,,65
slow_osc_power,0.5,log_log_slope,-0.2518,0.043,,,65
slow_osc_power,0.5,curvature_idx,-0.0211,0.8674,,,65
slow_osc_power,0.5,oscillation_idx,0.0932,0.4601,,,65
slow_osc_power,0.5,noise_var,-0.0249,0.8438,,,65
slow_osc_power,0.5,richardson_r2,0.0755,0.55,,,65
slow_osc_power,0.5,diff_ratio_cv,-0.0481,0.7034,,,65
staircase,0.5,log_log_slope,0.5541,0.0,,,65
staircase,0.5,curvature_idx,0.1283,0.3083,,,65
staircase,0.5,oscillation_idx,-0.0358,0.7773,,,65
staircase,0.5,noise_var,0.3185,0.0097,,,65
staircase,0.5,richardson_r2,-0.5472,0.0,,,65
staircase,0.5,diff_ratio_cv,-0.3363,0.0062,,,65
three_exp,0.5,log_log_slope,-0.1641,0.1914,,,65
three_exp,0.5,curvature_idx,0.3256,0.0081,,,65
three_exp,0.5,oscillation_idx,0.2601,0.0364,,,65
three_exp,0.5,noise_var,0.3615,0.0031,,,65
three_exp,0.5,richardson_r2,-0.356,0.0036,,,65
three_exp,0.5,diff_ratio_cv,0.3862,0.0015,,,65
two_exp,0.5,log_log_slope,-0.3138,0.0109,,,65
two_exp,0.5,curvature_idx,0.1899,0.1298,,,65
two_exp,0.5,oscillation_idx,0.2618,0.0352,,,65
two_exp,0.5,noise_var,0.1635,0.1931,,,65
two_exp,0.5,richardson_r2,-0.7047,0.0,,,65
two_exp,0.5,diff_ratio_cv,0.2919,0.0183,,,65
