method,regime,obs_idx,noise,target_g,n_f,achieved_g,capped,L_true,L_hat,is_trivial,is_oracle,valid_rate,cat_rate,beats_rate,med_error,med_skill,stability,n_seeds
log_linear,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.95,0.004775137431582827,0.09999197211287737,1.38,20
weniger_d2,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,0,0,1.0,0.1,0.0,0.06590933623381642,1.3801497035626662,0.8,20
anderson_1,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,0,0,1.0,0.0,1.0,0.014476014500705688,0.30312954527475655,1.4,20
constant_assumed,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,1,0,1.0,0.1,0.0,0.06590933623381642,1.3801497035626662,0.8,20
constant_oracle,power_law,20,0.0,0.5,56.0,0.4970969601452245,0,0.018705468148975092,0.0,1,1,1.0,0.0,1.0,0.047203868084841345,0.988454872511354,1.4,20
current_value,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.0,0.08547064053682327,3.0436885585513576,1.0,20
richardson_1,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,0,0,1.0,0.0,1.0,0.0053411519822831564,0.23981007940903365,1.4,20
richardson_a10,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.0,0.0948322816638548,3.377065257364487,1.0,20
single_exp_fit,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.0,0.09682900061240472,3.4481702676554553,1.0,20
rational_fit,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,0,0,1.0,0.0,1.0,0.030020055740661526,1.0690418654222702,1.4,20
pade_22,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,0,0,1.0,0.0,1.0,0.009226421931599855,0.32856141820394297,1.4,20
log_linear,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.9,0.007835064655766581,0.27633177665237085,1.36,20
weniger_d2,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.75,0.02819390374701887,1.0,1.3,20
anderson_1,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,0,0,1.0,0.0,1.0,0.052191446987503255,1.8585856974087398,1.4,20
constant_assumed,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,1,0,1.0,0.0,0.75,0.02819390374701887,1.0,1.3,20
constant_oracle,power_law,20,0.0,0.1,563.0,0.0999213133094059,0,0.018705468148975092,0.0,1,1,1.0,0.0,1.0,0.00948843559804378,0.33789196719398606,1.4,20
current_value,power_law,20,0.0,0.02,5614.0,0.019999018120378215,0,0.018705468148975092,0.0,0,0,1.0,0.0,0.0,0.09305998785055147,4.550513621771104,1.0,20
