regime,obs_idx,target_g,method,n_f,achieved_g,med_med_error,med_med_skill,n
broken_power_law,20,0.1,weniger_d2,50000.0,0.20436470335589355,0.049361440175231835,1.2338103648555403,5
broken_power_law,20,0.1,anderson_1,50000.0,0.20436470335589355,0.04294841373446454,1.3930654133334492,5
broken_power_law,20,0.1,constant_assumed,50000.0,0.20436470335589355,0.049361440175231835,1.233810364855366,5
broken_power_law,20,0.1,constant_oracle,50000.0,0.20436470335589355,0.010555978838859122,0.317671792260112,5
broken_power_law,20,0.02,current_value,50000.0,0.20436470335589355,0.04109667284471599,1.2795730938248249,5
broken_power_law,20,0.02,richardson_1,50000.0,0.20436470335589355,0.04415715245950273,1.203723159780066,5
broken_power_law,20,0.02,richardson_a10,50000.0,0.20436470335589355,0.04049921276418546,1.2243493513076804,5
broken_power_law,20,0.02,single_exp_fit,50000.0,0.20436470335589355,0.0531406807143244,1.6115469161502218,5
broken_power_law,20,0.02,rational_fit,50000.0,0.20436470335589355,0.003905903904219481,0.10225243268507198,5
broken_power_law,20,0.02,pade_22,50000.0,0.20436470335589355,0.008218126552363746,0.20696833471117826,5
broken_power_law,20,0.02,log_linear,50000.0,0.20436470335589355,0.048219681614049305,1.2075081623542918,5
broken_power_law,20,0.02,weniger_d2,50000.0,0.20436470335589355,0.049361440175231835,1.2338103648555403,5
broken_power_law,20,0.02,anderson_1,50000.0,0.20436470335589355,0.04294841373446454,1.3930654133334492,5
broken_power_law,20,0.02,constant_assumed,50000.0,0.20436470335589355,0.049361440175231835,1.233810364855366,5
broken_power_law,20,0.02,constant_oracle,50000.0,0.20436470335589355,0.010555978838859122,0.317671792260112,5
log_slow,30,0.1,current_value,50000.0,0.32236487497446525,0.15527788504341963,1.5107985715361196,5
log_slow,30,0.1,richardson_1,50000.0,0.32236487497446525,0.06580337579068571,0.6600540096934414,5
log_slow,30,0.1,richardson_a10,50000.0,0.32236487497446525,0.17682866946941517,1.7207512231371314,5
log_slow,30,0.1,single_exp_fit,50000.0,0.32236487497446525,0.16877845740998457,1.6348611185345896,5
log_slow,30,0.1,rational_fit,50000.0,0.32236487497446525,0.10790454259639881,1.050578223610775,5
log_slow,30,0.1,pade_22,50000.0,0.32236487497446525,0.09861383559416775,0.9411523456334416,5
log_slow,30,0.1,log_linear,50000.0,0.32236487497446525,0.06926219190413449,0.679766488594717,5
log_slow,30,0.1,weniger_d2,50000.0,0.32236487497446525,0.10275805732146302,1.0,5
log_slow,30,0.1,anderson_1,50000.0,0.32236487497446525,0.15768895011398795,1.5294976711380548,5
log_slow,30,0.1,constant_assumed,50000.0,0.32236487497446525,0.10275805732146302,1.0,5
log_slow,30,0.1,constant_oracle,50000.0,0.32236487497446525,0.07393829701292087,0.7198766563413626,5
log_slow,30,0.02,current_value,50000.0,0.32236487497446525,0.15527788504341963,1.5107985715361196,5
log_slow,30,0.02,richardson_1,50000.0,0.32236487497446525,0.06580337579068571,0.6600540096934414,5
log_slow,30,0.02,richardson_a10,50000.0,0.32236487497446525,0.17682866946941517,1.7207512231371314,5
log_slow,30,0.02,single_exp_fit,50000.0,0.32236487497446525,0.16877845740998457,1.6348611185345896,5
log_slow,30,0.02,rational_fit,50000.0,0.32236487497446525,0.10790454259639881,1.050578223610775,5
log_slow,30,0.02,pade_22,50000.0,0.32236487497446525,0.09861383559416775,0.9411523456334416,5
log_slow,30,0.02,log_linear,50000.0,0.32236487497446525,0.06926219190413449,0.679766488594717,5
log_slow,30,0.02,weniger_d2,50000.0,0.32236487497446525,0.10275805732146302,1.0,5
log_slow,30,0.02,anderson_1,50000.0,0.32236487497446525,0.15768895011398795,1.5294976711380548,5
log_slow,30,0.02,constant_assumed,50000.0,0.32236487497446525,0.10275805732146302,1.0,5
log_slow,30,0.02,constant_oracle,50000.0,0.32236487497446525,0.07393829701292087,0.7198766563413626,5
