selector,regime,obs_idx,noise,target_g,n_f,achieved_g,chosen_method,achieved_stability
fixed_current,damped_osc_pow,140,0.003,0.02,50000.0,0.0232494544447517,current_value,1.0
fixed_current,damped_osc_pow,140,0.005,0.02,50000.0,0.0232494544447517,current_value,1.0
fixed_current,damped_osc_pow,140,0.01,0.02,50000.0,0.0232494544447517,current_value,1.0
fixed_current,damped_osc_pow,140,0.02,0.02,50000.0,0.0232494544447517,current_value,1.0
fixed_current,log_oscillatory,20,0.0,0.02,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,20,0.0,0.1,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,20,0.003,0.02,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,20,0.003,0.1,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,20,0.005,0.02,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,20,0.005,0.1,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,20,0.01,0.02,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,20,0.01,0.1,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,20,0.02,0.02,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,20,0.02,0.1,50000.0,0.232935711783342,current_value,1.0
fixed_current,log_oscillatory,30,0.0,0.02,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,30,0.0,0.1,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,30,0.003,0.02,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,30,0.003,0.1,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,30,0.005,0.02,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,30,0.005,0.1,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,30,0.01,0.02,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,30,0.01,0.1,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,30,0.02,0.02,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,30,0.02,0.1,50000.0,0.3324862235710625,current_value,1.0
fixed_current,log_oscillatory,40,0.0,0.02,50000.0,0.3049784955005034,current_value,1.0
fixed_current,log_oscillatory,40,0.0,0.1,50000.0,0.3049784955005034,current_value,1.0
fixed_current,log_oscillatory,40,0.003,0.02,50000.0,0.3049784955005034,current_value,1.0
