selector,regime,target_g,mean_stability,n,n_capped_excluded
fixed_single_exp,staircase,0.02,1.3625,65,0
fixed_single_exp,staircase,0.1,1.3622,65,0
fixed_single_exp,staircase,0.5,1.3511,65,0
fixed_single_exp,three_exp,0.02,1.3308,65,0
fixed_single_exp,three_exp,0.1,1.3326,65,0
fixed_single_exp,three_exp,0.5,1.3308,65,0
fixed_single_exp,two_exp,0.02,1.3855,65,0
fixed_single_exp,two_exp,0.1,1.3862,65,0
fixed_single_exp,two_exp,0.5,1.3745,65,0
phase2_cascade,broken_power_law,0.1,1.376,45,20
phase2_cascade,broken_power_law,0.5,1.2188,65,0
phase2_cascade,damped_osc_pow,0.02,1.3488,50,15
phase2_cascade,damped_osc_pow,0.1,1.3695,65,0
phase2_cascade,damped_osc_pow,0.5,1.3711,65,0
phase2_cascade,delayed_plateau,0.02,1.3997,65,0
phase2_cascade,delayed_plateau,0.1,1.3975,65,0
phase2_cascade,delayed_plateau,0.5,1.3443,65,0
phase2_cascade,four_exp,0.02,1.3982,65,0
phase2_cascade,four_exp,0.1,1.3994,65,0
phase2_cascade,four_exp,0.5,1.3994,65,0
phase2_cascade,heavy_noise_plat,0.02,1.1335,65,0
phase2_cascade,heavy_noise_plat,0.1,1.1785,65,0
phase2_cascade,heavy_noise_plat,0.5,1.2234,65,0
phase2_cascade,log_oscillatory,0.5,1.2849,65,0
phase2_cascade,log_slow,0.5,1.3708,65,0
phase2_cascade,mixed_pow_rat,0.02,1.3843,65,0
phase2_cascade,mixed_pow_rat,0.1,1.3985,65,0
phase2_cascade,mixed_pow_rat,0.5,1.3988,65,0
phase2_cascade,multiphase,0.02,1.3978,65,0
phase2_cascade,multiphase,0.1,1.3982,65,0
phase2_cascade,multiphase,0.5,1.3988,65,0
phase2_cascade,noisy_plateau,0.02,1.0277,65,0
phase2_cascade,noisy_plateau,0.1,1.1123,65,0
phase2_cascade,noisy_plateau,0.5,1.2166,65,0
phase2_cascade,osc_exp,0.02,1.2271,65,0
phase2_cascade,osc_exp,0.1,1.2246,65,0
phase2_cascade,osc_exp,0.5,1.1077,65,0
phase2_cascade,power_law,0.02,1.3117,65,0
phase2_cascade,power_law,0.1,1.3357,65,0
phase2_cascade,power_law,0.5,1.3391,65,0
phase2_cascade,rational_decay,0.02,1.3865,65,0
phase2_cascade,rational_decay,0.1,1.3972,65,0
phase2_cascade,rational_decay,0.5,1.3963,65,0
phase2_cascade,single_exp,0.02,1.0606,65,0
phase2_cascade,single_exp,0.1,1.0329,65,0
phase2_cascade,single_exp,0.5,0.9083,65,0
phase2_cascade,slow_osc_power,0.02,1.1766,65,0
phase2_cascade,slow_osc_power,0.1,1.2218,65,0
phase2_cascade,slow_osc_power,0.5,1.1935,65,0
phase2_cascade,staircase,0.02,1.3732,65,0
phase2_cascade,staircase,0.1,1.372,65,0
phase2_cascade,staircase,0.5,1.2071,65,0
phase2_cascade,three_exp,0.02,1.3994,65,0
phase2_cascade,three_exp,0.1,1.3997,65,0
phase2_cascade,three_exp,0.5,1.3978,65,0
phase2_cascade,two_exp,0.02,1.3822,65,0
phase2_cascade,two_exp,0.1,1.3948,65,0
phase2_cascade,two_exp,0.5,1.3148,65,0
enhanced_cascade,broken_power_law,0.1,1.3407,45,20
enhanced_cascade,broken_power_law,0.5,1.1803,65,0
enhanced_cascade,damped_osc_pow,0.02,1.1884,50,15
enhanced_cascade,damped_osc_pow,0.1,1.2234,65,0
enhanced_cascade,damped_osc_pow,0.5,1.3649,65,0
enhanced_cascade,delayed_plateau,0.02,1.3465,65,0
enhanced_cascade,delayed_plateau,0.1,1.3994,65,0
enhanced_cascade,delayed_plateau,0.5,1.3938,65,0
enhanced_cascade,four_exp,0.02,1.3698,65,0
enhanced_cascade,four_exp,0.1,1.3714,65,0
enhanced_cascade,four_exp,0.5,1.3991,65,0
enhanced_cascade,heavy_noise_plat,0.02,0.9325,65,0
enhanced_cascade,heavy_noise_plat,0.1,0.9718,65,0
enhanced_cascade,heavy_noise_plat,0.5,1.034,65,0
enhanced_cascade,log_oscillatory,0.5,1.2812,65,0
enhanced_cascade,log_slow,0.5,1.2108,65,0
enhanced_cascade,mixed_pow_rat,0.02,1.3182,65,0
enhanced_cascade,mixed_pow_rat,0.1,1.3175,65,0
enhanced_cascade,mixed_pow_rat,0.5,1.3957,65,0
enhanced_cascade,multiphase,0.02,1.3846,65,0
enhanced_cascade,multiphase,0.1,1.3846,65,0
enhanced_cascade,multiphase,0.5,1.3852,65,0
enhanced_cascade,noisy_plateau,0.02,1.0277,65,0
enhanced_cascade,noisy_plateau,0.1,1.1123,65,0
enhanced_cascade,noisy_plateau,0.5,1.2166,65,0
enhanced_cascade,osc_exp,0.02,1.2077,65,0
enhanced_cascade,osc_exp,0.1,1.2332,65,0
enhanced_cascade,osc_exp,0.5,1.1874,65,0
enhanced_cascade,power_law,0.02,1.1812,65,0
enhanced_cascade,power_law,0.1,1.1908,65,0
enhanced_cascade,power_law,0.5,1.3225,65,0
enhanced_cascade,rational_decay,0.02,1.3942,65,0
enhanced_cascade,rational_decay,0.1,1.3942,65,0
enhanced_cascade,rational_decay,0.5,1.3978,65,0
enhanced_cascade,single_exp,0.02,1.002,65,0
enhanced_cascade,single_exp,0.1,1.0291,65,0
enhanced_cascade,single_exp,0.5,0.9805,65,0
enhanced_cascade,slow_osc_power,0.02,1.0382,65,0
enhanced_cascade,slow_osc_power,0.1,1.0345,65,0
enhanced_cascade,slow_osc_power,0.5,1.1477,65,0
enhanced_cascade,staircase,0.02,1.3643,65,0
enhanced_cascade,staircase,0.1,1.3637,65,0
enhanced_cascade,staircase,0.5,1.3265,65,0
enhanced_cascade,three_exp,0.02,1.3332,65,0
enhanced_cascade,three_exp,0.1,1.3369,65,0
enhanced_cascade,three_exp,0.5,1.3982,65,0
enhanced_cascade,two_exp,0.02,1.3889,65,0
enhanced_cascade,two_exp,0.1,1.3926,65,0
enhanced_cascade,two_exp,0.5,1.3769,65,0
oracle,broken_power_law,0.1,1.3969,45,20
oracle,broken_power_law,0.5,1.3726,65,0
