assumed_mode,method,target_g,noise,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
winmin,median_ensemble,0.1,0.0,core,40,1.0,0.0125,0.020990082664406315,0.3306768093588244,320,0.2475,0.7219,0.2168,0.825,0.1555,0.9156,0.1999,0.8125
winmin,median_ensemble,0.1,0.0,holdout,1,1.0,0.0,0.00985760404086232,0.1928645241617679,119,0.191,0.9496,0.1286,1.0,0.0713,1.0,0.1286,1.0
winmin,constant_assumed,0.1,0.0,core,40,1.0,0.0844,0.04439748281055252,1.0,320,1.0,0.0,0.8494,0.8688,0.5574,0.875,0.8535,0.85
winmin,constant_assumed,0.1,0.0,holdout,1,1.0,0.0,0.053625657271152066,1.0,119,1.0,0.0,0.8051,0.9916,0.4058,0.9916,0.8051,0.9916
winmin,richardson_1,0.5,0.005,core,0,1.0,0.0333,0.01766337039336259,0.738856842177301,360,0.5932,0.6806,0.3797,0.7667,0.2264,0.8667,0.4242,0.7778
winmin,richardson_1,0.5,0.005,holdout,0,1.0,0.0,0.010004769492091767,0.6637886498695693,120,0.4928,0.65,0.287,0.7917,0.147,1.0,0.3764,0.675
winmin,richardson_2,0.5,0.005,core,0,1.0,0.0806,0.016234709895339934,0.7562702176646325,360,0.5662,0.7111,0.3876,0.7889,0.2176,0.8389,0.3923,0.7944
winmin,richardson_2,0.5,0.005,holdout,0,1.0,0.0,0.007339911033737276,0.5736912713576607,120,0.4677,0.6667,0.2546,0.7917,0.1095,0.9917,0.3019,0.7
winmin,richardson_3,0.5,0.005,core,0,0.9889,0.0667,0.01555293839471756,0.7837743248450478,360,0.5523,0.6972,0.3929,0.7889,0.2166,0.8167,0.399,0.7833
winmin,richardson_3,0.5,0.005,holdout,0,1.0,0.0083,0.007458986782066959,0.5335294208394281,120,0.4846,0.65,0.2339,0.7833,0.1065,0.9833,0.2885,0.6917
winmin,single_exp_fit,0.5,0.005,core,0,1.0,0.0056,0.021064689517415386,1.0000000001368972,360,0.7022,0.6222,0.4778,0.8917,0.3099,0.8611,0.4743,0.7917
winmin,single_exp_fit,0.5,0.005,holdout,0,1.0,0.0167,0.013841864053256353,1.0172780041169127,120,0.8842,0.55,0.4528,0.9167,0.1731,0.9917,0.6597,0.775
winmin,double_exp_fit,0.5,0.005,core,0,0.9889,0.0167,0.01960692935917287,0.9897194099584045,360,0.6293,0.6417,0.4235,0.8806,0.3158,0.85,0.4421,0.8083
winmin,double_exp_fit,0.5,0.005,holdout,0,1.0,0.0167,0.013224300069570264,1.0078056135964988,120,0.8689,0.5667,0.4461,0.9167,0.1715,0.9917,0.606,0.7833
winmin,rational_fit,0.5,0.005,core,0,1.0,0.0194,0.01642929449053454,0.6946621487492846,360,0.4405,0.7639,0.3107,0.85,0.2125,0.8611,0.3427,0.825
winmin,rational_fit,0.5,0.005,holdout,0,1.0,0.0,0.006602277020078956,0.7676303180696713,120,0.4619,0.6667,0.2076,0.825,0.1011,0.9917,0.3018,0.7083
winmin,log_fit,0.5,0.005,core,0,1.0,0.0417,0.03880940120299756,1.5606777709291486,360,1.3758,0.375,0.7722,0.6139,0.5354,0.9306,0.9386,0.5472
winmin,log_fit,0.5,0.005,holdout,0,1.0,0.0,0.03931940525534484,2.9666083484673926,120,2.5272,0.225,1.0857,0.4833,0.5074,1.0,1.7308,0.2917
winmin,log_linear,0.5,0.005,core,0,0.9778,0.0833,0.04734989208864583,1.3168654995027242,360,1.2047,0.1611,0.7516,0.7694,0.4319,0.8667,0.8307,0.7389
winmin,log_linear,0.5,0.005,holdout,0,1.0,0.0,0.03060549091788113,1.5170876080325555,120,1.3873,0.1833,0.7041,0.8167,0.2848,1.0,0.8768,0.675
winmin,stability_weighted,0.5,0.005,core,0,1.0,0.0167,0.058419814393614405,1.8583358289519558,360,1.4998,0.2389,0.989,0.525,0.5808,0.7972,1.0951,0.3361
winmin,stability_weighted,0.5,0.005,holdout,0,1.0,0.0083,0.03448536165630316,1.8936320271993683,120,1.5015,0.1667,0.9238,0.6333,0.354,0.975,1.1045,0.35
winmin,median_ensemble,0.5,0.005,core,0,1.0,0.0083,0.06739601631707202,1.8612650797185788,360,1.5132,0.2028,0.9891,0.5917,0.6016,0.8278,1.0996,0.2389
winmin,median_ensemble,0.5,0.005,holdout,0,1.0,0.0083,0.04053514709506349,1.871833144949321,120,1.6044,0.175,0.9816,0.625,0.4084,1.0,1.104,0.1333
winmin,constant_assumed,0.5,0.005,core,0,1.0,0.0583,0.035683287527819366,1.0,360,1.0,0.0,0.6801,0.8167,0.3602,0.8278,0.739,0.7667
winmin,constant_assumed,0.5,0.005,holdout,0,1.0,0.0167,0.02105669916944096,1.0,120,1.0,0.0,0.6177,0.875,0.2111,0.9667,0.7222,0.8083
winmin,richardson_1,0.1,0.005,core,40,1.0,0.0875,0.030414077690449258,0.6237482346995489,320,0.4435,0.7562,0.3941,0.8,0.2621,0.8344,0.381,0.8125
winmin,richardson_1,0.1,0.005,holdout,1,1.0,0.0084,0.014890607467373633,0.536312725498762,119,0.5039,0.6639,0.2938,0.7983,0.1751,0.9748,0.3476,0.7563
winmin,richardson_2,0.1,0.005,core,40,1.0,0.0875,0.026683884717269384,0.5939503231928873,320,0.4437,0.7656,0.4103,0.7969,0.2426,0.8094,0.388,0.8281
winmin,richardson_2,0.1,0.005,holdout,1,1.0,0.0084,0.015082885275112715,0.454830986952194,119,0.4425,0.6723,0.2446,0.8235,0.1751,0.9748,0.264,0.7479
winmin,richardson_3,0.1,0.005,core,40,0.9875,0.0938,0.020999477055683828,0.586672116008697,320,0.4371,0.7719,0.4005,0.7719,0.2335,0.7875,0.4021,0.8219
winmin,richardson_3,0.1,0.005,holdout,1,1.0,0.0168,0.014822349344053421,0.5054921168928332,119,0.4544,0.7143,0.2152,0.8151,0.1346,0.9664,0.2577,0.7731
winmin,single_exp_fit,0.1,0.005,core,40,1.0,0.0063,0.03482555761653147,0.8509636931039597,320,0.7602,0.675,0.6061,0.9469,0.453,0.875,0.6332,0.875
winmin,single_exp_fit,0.1,0.005,holdout,1,1.0,0.0084,0.02756943348625248,0.8801445010093758,119,0.818,0.6134,0.5621,0.9244,0.3339,0.9916,0.6358,0.7899
winmin,double_exp_fit,0.1,0.005,core,40,0.9875,0.0187,0.032170733766132706,0.8336553580785504,320,0.7266,0.6531,0.5993,0.8875,0.4628,0.85,0.6096,0.8219
winmin,double_exp_fit,0.1,0.005,holdout,1,1.0,0.0084,0.02756966946735049,0.8453924993269282,119,0.8122,0.605,0.5446,0.8992,0.3422,0.9916,0.6321,0.7563
winmin,rational_fit,0.1,0.005,core,40,1.0,0.0094,0.026969982094690967,0.4720867590187643,320,0.379,0.775,0.3239,0.8688,0.2142,0.8438,0.3091,0.8281
winmin,rational_fit,0.1,0.005,holdout,1,1.0,0.0,0.01131177073258905,0.4559025048786044,119,0.4403,0.7227,0.2399,0.8403,0.1379,0.9916,0.2962,0.8151
winmin,log_fit,0.1,0.005,core,40,1.0,0.0125,0.06844420026163642,1.0494194867781306,320,0.8937,0.5406,0.6452,0.6969,0.5372,0.9094,0.7521,0.6344
winmin,log_fit,0.1,0.005,holdout,1,1.0,0.0,0.05038851417909068,1.442565322721443,119,1.4426,0.3866,0.84,0.5966,0.5413,1.0,1.0845,0.479
