window_len,regime,is_holdout,target_g,noise,n_f,achieved_g,capped,precision,mean_gain,n
20,logistic_tail,1,0.1,0.005,135.0,0.09609894819901184,0,1.0,0.006653,20
20,inv_sqrt_log,1,0.1,0.005,2929.0,0.09999046875803731,0,0.7,-0.000811,20
20,random_knots,1,0.1,0.005,4730.0,0.09999546250252596,1,0.3571,-0.011941,20
20,real_boot_a,1,0.1,0.005,209.0,0.09859818176108498,0,0.4444,-0.001369,20
20,real_boot_b,1,0.1,0.005,335.0,0.09918842288666796,0,,0.0,20
20,single_exp,0,0.1,0.02,148.0,0.09827358560436156,0,0.2,-0.002866,20
20,two_exp,0,0.1,0.02,218.0,0.09985826346226055,0,0.5789,-0.003193,20
20,three_exp,0,0.1,0.02,377.0,0.09988829507506856,0,0.65,0.002442,20
20,four_exp,0,0.1,0.02,631.0,0.09977805552230239,0,0.25,-0.016208,20
20,power_law,0,0.1,0.02,2441.0,0.09997859122064488,0,0.75,0.01969,20
20,rational_decay,0,0.1,0.02,1125.0,0.09999999999999999,0,0.1579,-0.035908,20
20,mixed_pow_rat,0,0.1,0.02,2260.0,0.09998848741275486,0,0.4,-0.018278,20
20,multiphase,0,0.1,0.02,3852.0,0.0999996544626016,0,0.5,0.011747,20
20,osc_exp,0,0.1,0.02,165.0,0.09570953042125925,0,0.8,-0.000447,20
20,damped_osc_pow,0,0.1,0.02,3014.0,0.09999319502597674,0,0.7,-0.000309,20
20,log_slow,0,0.1,0.02,50000.0,0.41863546463489004,1,0.5,0.032726,20
20,delayed_plateau,0,0.1,0.02,321.0,0.09926115995627992,0,0.8571,0.015096,20
20,staircase,0,0.1,0.02,320.0,0.0,0,0.95,0.038189,20
20,noisy_plateau,0,0.1,0.02,137.0,0.09536916221554956,0,0.55,0.001544,20
20,slow_osc_power,0,0.1,0.02,3483.0,0.09996889692898078,0,0.75,0.014843,20
20,log_oscillatory,0,0.1,0.02,50000.0,0.2992564263745022,1,1.0,1.106042,20
20,heavy_noise_plat,0,0.1,0.02,114.0,0.09071795328941246,0,0.5,0.003237,20
20,broken_power_law,0,0.1,0.02,28776.0,0.09999962012267244,0,0.65,0.018049,20
20,stretched_exp,1,0.1,0.02,579.0,0.09979846505939677,0,0.6842,0.017026,20
20,logistic_tail,1,0.1,0.02,135.0,0.09609894819901184,0,1.0,0.012484,20
20,inv_sqrt_log,1,0.1,0.02,2929.0,0.09999046875803731,0,0.65,0.00373,20
20,random_knots,1,0.1,0.02,4730.0,0.09999546250252596,1,0.65,0.042069,20
20,real_boot_a,1,0.1,0.02,209.0,0.09859818176108498,0,0.6,-0.003321,20
20,real_boot_b,1,0.1,0.02,335.0,0.09918842288666796,0,0.8,0.003614,20
40,single_exp,0,0.5,0.0,108.0,0.4867522559599715,0,,0.0,20
40,two_exp,0,0.5,0.0,129.0,0.4955914190433955,0,,0.0,20
40,three_exp,0,0.5,0.0,176.0,0.49876789415554024,0,,0.0,20
40,four_exp,0,0.5,0.0,231.0,0.4980680166164721,0,,0.0,20
40,power_law,0,0.5,0.0,244.0,0.4999340482202355,0,0.0,-9e-05,20
40,rational_decay,0,0.5,0.0,205.0,0.5,0,,0.0,20
40,mixed_pow_rat,0,0.5,0.0,254.0,0.4990202976120709,0,,0.0,20
40,multiphase,0,0.5,0.0,504.0,0.49983903719462197,0,,0.0,20
40,osc_exp,0,0.5,0.0,107.0,0.47832942079368884,0,,0.0,20
40,damped_osc_pow,0,0.5,0.0,260.0,0.49940767513390516,0,0.0,-8.2e-05,20
40,log_slow,0,0.5,0.0,8594.0,0.49999975284240333,0,0.0,-0.002933,20
40,delayed_plateau,0,0.5,0.0,160.0,0.49658484551706805,0,,0.0,20
40,staircase,0,0.5,0.0,170.0,0.2777777777777778,0,,0.0,20
40,noisy_plateau,0,0.5,0.0,104.0,0.4965853037914094,0,0.35,-8e-06,20
40,slow_osc_power,0,0.5,0.0,415.0,0.49840630355024784,0,,0.0,20
40,log_oscillatory,0,0.5,0.0,533.0,0.49841524754235217,0,1.0,0.003455,20
40,heavy_noise_plat,0,0.5,0.0,97.0,0.49658530379140886,0,0.65,0.000909,20
40,broken_power_law,0,0.5,0.0,514.0,0.49991211917454004,0,1.0,0.233394,20
40,stretched_exp,1,0.5,0.0,193.0,0.49828241532615414,0,,0.0,20
40,logistic_tail,1,0.5,0.0,105.0,0.47748855939048196,0,,0.0,20
40,inv_sqrt_log,1,0.5,0.0,245.0,0.4997783934707863,0,0.0,-9.8e-05,20
40,random_knots,1,0.5,0.0,314.5,0.49936083587279756,0,1.0,3.7e-05,20
40,real_boot_a,1,0.5,0.0,125.0,0.4970613452560541,0,,0.0,20
40,real_boot_b,1,0.5,0.0,151.0,0.49684018628925675,0,,0.0,20
40,single_exp,0,0.5,0.005,108.0,0.4867522559599715,0,,0.0,20
40,two_exp,0,0.5,0.005,129.0,0.4955914190433955,0,,0.0,20
40,three_exp,0,0.5,0.005,176.0,0.49876789415554024,0,,0.0,20
40,four_exp,0,0.5,0.005,231.0,0.4980680166164721,0,,0.0,20
40,power_law,0,0.5,0.005,244.0,0.4999340482202355,0,0.4286,-0.001584,20
40,rational_decay,0,0.5,0.005,205.0,0.5,0,,0.0,20
40,mixed_pow_rat,0,0.5,0.005,254.0,0.4990202976120709,0,,0.0,20
40,multiphase,0,0.5,0.005,504.0,0.49983903719462197,0,,0.0,20
40,osc_exp,0,0.5,0.005,107.0,0.47832942079368884,0,,0.0,20
40,damped_osc_pow,0,0.5,0.005,260.0,0.49940767513390516,0,1.0,0.000157,20
40,log_slow,0,0.5,0.005,8594.0,0.49999975284240333,0,0.0,-0.002677,20
40,delayed_plateau,0,0.5,0.005,160.0,0.49658484551706805,0,,0.0,20
40,staircase,0,0.5,0.005,170.0,0.2777777777777778,0,,0.0,20
40,noisy_plateau,0,0.5,0.005,104.0,0.4965853037914094,0,0.45,0.000103,20
40,slow_osc_power,0,0.5,0.005,415.0,0.49840630355024784,0,,0.0,20
40,log_oscillatory,0,0.5,0.005,533.0,0.49841524754235217,0,1.0,0.003697,20
40,heavy_noise_plat,0,0.5,0.005,97.0,0.49658530379140886,0,0.65,0.000793,20
40,broken_power_law,0,0.5,0.005,514.0,0.49991211917454004,0,1.0,0.233179,20
40,stretched_exp,1,0.5,0.005,193.0,0.49828241532615414,0,,0.0,20
40,logistic_tail,1,0.5,0.005,105.0,0.47748855939048196,0,,0.0,20
40,inv_sqrt_log,1,0.5,0.005,245.0,0.4997783934707863,0,0.45,-0.001874,20
40,random_knots,1,0.5,0.005,314.5,0.49936083587279756,0,0.4286,-0.000331,20
40,real_boot_a,1,0.5,0.005,125.0,0.4970613452560541,0,,0.0,20
40,real_boot_b,1,0.5,0.005,151.0,0.49684018628925675,0,,0.0,20
40,single_exp,0,0.5,0.02,108.0,0.4867522559599715,0,0.0833,-0.000763,20
40,two_exp,0,0.5,0.02,129.0,0.4955914190433955,0,,0.0,20
