assumed_mode,method,target_g,regime_set,n_capped_excluded,valid_rate,cat_rate,med_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
half,log_fit,0.5,core,0,1.0,0.0509,0.03854709084935286,1.016776244568315,1080,0.4023,0.7704,0.7776,0.6176,0.5366,0.9259,0.8838,0.5519
half,log_fit,0.5,holdout,0,1.0,0.0306,0.03994217589711296,1.5841778391980639,360,0.5486,0.6611,1.0699,0.4833,0.5219,0.9972,1.4446,0.3833
half,log_linear,0.5,core,0,0.9472,0.1176,0.013764821098072255,0.3921606129726699,1080,0.1491,0.8565,0.3117,0.8074,0.1676,0.8315,0.3541,0.7972
half,log_linear,0.5,holdout,0,0.9667,0.0361,0.008458930922219159,0.33969334200830814,360,0.1324,0.9,0.2741,0.775,0.139,0.9556,0.3274,0.7167
half,stability_weighted,0.5,core,0,1.0,0.0287,0.04535863219643574,1.126036191809466,1080,0.4898,0.875,0.9394,0.6083,0.5203,0.8269,1.007,0.4972
half,stability_weighted,0.5,holdout,0,1.0,0.0167,0.028455560030500773,1.0695121970874408,360,0.3637,0.8944,0.8432,0.6667,0.2949,0.9583,1.0277,0.4806
half,median_ensemble,0.5,core,0,1.0,0.0139,0.03865195083556373,1.11296802786545,1080,0.4832,0.9111,0.9391,0.6778,0.515,0.8593,1.0232,0.4731
half,median_ensemble,0.5,holdout,0,1.0,0.0111,0.02032497588504291,1.0311225264877772,360,0.3224,0.9278,0.8578,0.7417,0.2805,0.9917,1.0182,0.4833
half,constant_assumed,0.5,core,0,1.0,0.1565,0.09720106675557719,2.4607447464719585,1080,1.0,0.0,1.513,0.1333,0.9654,0.5213,1.8981,0.0972
half,constant_assumed,0.5,holdout,0,1.0,0.1583,0.0711535090627455,2.3676658853706467,360,1.0,0.0,1.7807,0.0944,0.895,0.5778,2.2616,0.0444
half,richardson_1,0.1,core,120,1.0,0.101,0.03087414079105086,1.3238466433468732,960,0.6352,0.599,0.3897,0.799,0.2585,0.8365,0.3857,0.7823
half,richardson_1,0.1,holdout,3,1.0,0.0084,0.014891377371379765,0.7261079429930328,357,0.4538,0.6471,0.2565,0.7927,0.1614,0.9804,0.3211,0.7367
half,richardson_2,0.1,core,120,0.9917,0.101,0.02628213427290757,1.4222787674137078,960,0.6078,0.5854,0.4005,0.7781,0.2332,0.8083,0.3923,0.7719
half,richardson_2,0.1,holdout,3,0.9888,0.0224,0.01481604643727151,0.7029385258643716,357,0.4449,0.6947,0.2305,0.7899,0.1597,0.958,0.2968,0.7199
half,richardson_3,0.1,core,120,0.9792,0.1156,0.023035962435111662,1.3730507873017286,960,0.5906,0.5906,0.374,0.7583,0.2232,0.776,0.3911,0.7552
half,richardson_3,0.1,holdout,3,0.9944,0.0252,0.016355291258782878,0.6533601924673365,357,0.4335,0.6975,0.2105,0.7871,0.1413,0.9468,0.2729,0.7311
half,single_exp_fit,0.1,core,120,1.0,0.0146,0.03778492414582426,1.381862720293808,960,0.8239,0.5427,0.6155,0.9187,0.4583,0.8792,0.6644,0.8125
half,single_exp_fit,0.1,holdout,3,1.0,0.0168,0.027737224702590935,1.3627320526232054,357,0.9984,0.5014,0.5748,0.9104,0.3408,0.9804,0.6448,0.7927
