cat_mult,future_idx,method,stability,valid_rate,cat_rate,beats_rate
5.0,1000,levin_u2,1.0878,0.9759,0.0472,0.5157
5.0,1000,levin_v1,1.0726,0.9778,0.0509,0.4917
5.0,1000,levin_v2,1.0831,0.9769,0.05,0.5157
5.0,1000,linear,-1.6974,0.2352,0.9676,0.0065
5.0,1000,log_fit,1.2363,1.0,0.025,0.7157
5.0,1000,log_linear,0.7174,0.8278,0.212,0.7843
5.0,1000,median_ensemble,1.2752,1.0,0.0093,0.7343
5.0,1000,neville_2,-0.8389,0.5852,0.7565,0.2222
5.0,1000,neville_3,-1.1917,0.2824,0.7778,0.2037
5.0,1000,neville_4,-1.1407,0.2593,0.7407,0.2037
5.0,1000,pade_11,0.8852,0.9852,0.138,0.4398
5.0,1000,pade_12,1.2137,1.0,0.0454,0.7611
5.0,1000,pade_13,1.1457,0.9972,0.0648,0.6954
5.0,1000,pade_21,-1.1687,0.4194,0.813,0.0944
5.0,1000,pade_22,0.6994,0.9546,0.2157,0.4407
5.0,1000,pade_23,1.2169,0.9991,0.0435,0.762
5.0,1000,pade_31,-1.1226,0.8167,0.9741,0.0222
5.0,1000,pade_32,-1.1467,0.4648,0.8287,0.1148
5.0,1000,rational_fit,1.3333,1.0,0.0167,0.9167
5.0,1000,richardson_1,1.2285,1.0,0.0611,0.8769
5.0,1000,richardson_2,1.1539,0.9991,0.0907,0.8407
5.0,1000,richardson_3,1.1002,0.9898,0.1074,0.813
5.0,1000,richardson_a05,1.1059,1.0,0.088,0.7046
5.0,1000,richardson_a10,1.2533,1.0,0.0278,0.7722
5.0,1000,richardson_a20,1.2656,1.0,0.012,0.7241
5.0,1000,shanks_1,1.1946,0.9991,0.0176,0.5769
5.0,1000,shanks_2,1.1454,0.9991,0.0259,0.4954
5.0,1000,shanks_3,1.157,1.0,0.0222,0.5037
5.0,1000,shanks_4,1.0844,0.9796,0.0426,0.475
5.0,1000,single_exp_fit,1.3248,1.0,0.0176,0.9
5.0,1000,stability_weighted,1.2222,1.0,0.0204,0.6574
5.0,1000,weniger_d1,1.1041,0.9667,0.075,0.7185
5.0,1000,weniger_d2,1.0954,0.9639,0.0778,0.7176
5.0,1000,wynn_eps_1,1.1307,0.9778,0.0389,0.5769
5.0,1000,wynn_eps_2,1.0428,0.9583,0.0639,0.5306
5.0,1000,wynn_eps_3,1.0496,0.9574,0.0639,0.55
5.0,1000,wynn_rho_1,1.0839,0.9769,0.0417,0.4759
5.0,1000,wynn_rho_2,1.0561,0.9731,0.0537,0.4759
5.0,1000,wynn_rho_3,1.0024,0.9731,0.0796,0.4713
5.0,5000,anderson_1,1.2019,1.0,0.0148,0.5787
5.0,5000,anderson_2,1.2115,1.0,0.0111,0.5843
5.0,5000,anderson_3,1.2159,1.0,0.0102,0.5907
5.0,5000,best_shanks_wynn,1.1993,1.0,0.0157,0.5769
5.0,5000,brezinski_theta1,1.1396,0.9981,0.038,0.5435
5.0,5000,brezinski_theta2,0.9289,0.9722,0.112,0.4519
5.0,5000,current_value,1.0,1.0,0.0,0.0
5.0,5000,double_exp_fit,1.2189,0.9704,0.0435,0.8389
5.0,5000,geom_avg_diff,-0.1328,0.6065,0.4491,0.3972
5.0,5000,levin_t1,1.1326,0.9778,0.038,0.5769
5.0,5000,levin_t2,1.1011,0.9759,0.0481,0.5537
5.0,5000,levin_u1,1.0287,0.9787,0.075,0.5
5.0,5000,levin_u2,1.0915,0.9759,0.0454,0.5157
5.0,5000,levin_v1,1.0819,0.9778,0.0463,0.4917
5.0,5000,levin_v2,1.0902,0.9769,0.0463,0.5148
5.0,5000,linear,-1.8311,0.1574,0.9944,0.0009
5.0,5000,log_fit,1.2774,1.0,0.0213,0.8
5.0,5000,log_linear,0.6854,0.7898,0.2102,0.7898
5.0,5000,median_ensemble,1.2785,1.0,0.0083,0.738
5.0,5000,neville_2,-0.8389,0.5852,0.7565,0.2222
5.0,5000,neville_3,-1.2037,0.2704,0.7778,0.2037
5.0,5000,neville_4,-1.1778,0.2593,0.7593,0.2037
5.0,5000,pade_11,0.9061,0.9861,0.1231,0.4157
5.0,5000,pade_12,1.2393,1.0,0.0398,0.7972
5.0,5000,pade_13,1.2378,1.0,0.037,0.7796
5.0,5000,pade_21,-1.513,0.3296,0.925,0.0185
5.0,5000,pade_22,0.7711,0.9741,0.1898,0.4417
5.0,5000,pade_23,1.2335,0.9991,0.0417,0.7944
5.0,5000,pade_31,-1.5389,0.4148,0.9806,0.0185
5.0,5000,pade_32,-1.3724,0.375,0.8852,0.0574
5.0,5000,rational_fit,1.3211,1.0,0.0148,0.8769
5.0,5000,richardson_1,1.2196,1.0,0.0667,0.8824
5.0,5000,richardson_2,1.1539,0.9991,0.0917,0.8454
5.0,5000,richardson_3,1.0857,0.9898,0.1148,0.8139
5.0,5000,richardson_a05,1.0293,1.0,0.1148,0.6472
5.0,5000,richardson_a10,1.2611,1.0,0.0259,0.7824
5.0,5000,richardson_a20,1.2763,1.0,0.0074,0.7278
5.0,5000,shanks_1,1.1965,0.9991,0.0167,0.5769
5.0,5000,shanks_2,1.1565,0.9991,0.0204,0.4954
5.0,5000,shanks_3,1.1607,1.0,0.0204,0.5037
5.0,5000,shanks_4,1.0919,0.9796,0.0389,0.475
5.0,5000,single_exp_fit,1.3196,1.0,0.0139,0.8685
5.0,5000,stability_weighted,1.2656,1.0,0.0213,0.7704
5.0,5000,weniger_d1,1.1315,0.9667,0.0685,0.7546
5.0,5000,weniger_d2,1.1228,0.9639,0.0713,0.7537
5.0,5000,wynn_eps_1,1.1326,0.9778,0.038,0.5769
5.0,5000,wynn_eps_2,1.0461,0.9583,0.062,0.5296
5.0,5000,wynn_eps_3,1.0578,0.9574,0.0602,0.5519
5.0,5000,wynn_rho_1,1.0861,0.9769,0.0407,0.4769
5.0,5000,wynn_rho_2,1.0594,0.9731,0.0519,0.475
5.0,5000,wynn_rho_3,0.9698,0.9731,0.0963,0.4731
10.0,1000,anderson_1,1.2141,1.0,0.0083,0.5769
10.0,1000,anderson_2,1.2244,1.0,0.0046,0.5843
10.0,1000,anderson_3,1.2267,1.0,0.0046,0.5898
10.0,1000,best_shanks_wynn,1.2122,1.0,0.0093,0.5769
10.0,1000,brezinski_theta1,1.1567,0.9981,0.0287,0.5398
10.0,1000,brezinski_theta2,0.9959,0.9722,0.0778,0.4481
10.0,1000,current_value,1.0,1.0,0.0,0.0
10.0,1000,double_exp_fit,1.237,0.9704,0.0407,0.8704
10.0,1000,geom_avg_diff,-0.0991,0.6065,0.4315,0.3935
10.0,1000,levin_t1,1.1456,0.9778,0.0315,0.5769
10.0,1000,levin_t2,1.1215,0.9759,0.038,0.5537
10.0,1000,levin_u1,1.0713,0.9787,0.05,0.4815
10.0,1000,levin_u2,1.1081,0.9759,0.037,0.5157
10.0,1000,levin_v1,1.0985,0.9778,0.038,0.4917
10.0,1000,levin_v2,1.1035,0.9769,0.0398,0.5157
10.0,1000,linear,-1.6344,0.2352,0.9361,0.0065
10.0,1000,log_fit,1.2548,1.0,0.0157,0.7157
10.0,1000,log_linear,0.7211,0.8278,0.2102,0.7843
10.0,1000,median_ensemble,1.2826,1.0,0.0056,0.7343
10.0,1000,neville_2,-0.837,0.5852,0.7556,0.2222
10.0,1000,neville_3,-1.1546,0.2824,0.7593,0.2037
10.0,1000,neville_4,-1.1407,0.2593,0.7407,0.2037
10.0,1000,pade_11,1.0,0.9852,0.0806,0.4398
10.0,1000,pade_12,1.2544,1.0,0.025,0.7611
10.0,1000,pade_13,1.2217,0.9972,0.0269,0.6954
