L_inf_assumed,regime,future_idx,noise,precision,mean_gain,n
0.01,heavy_noise_plat,5000,0.0,0.4,-0.000715,20
0.01,broken_power_law,5000,0.0,1.0,0.570121,20
0.01,single_exp,5000,0.005,,0.0,20
0.01,two_exp,5000,0.005,,0.0,20
0.01,three_exp,5000,0.005,,0.0,20
0.01,four_exp,5000,0.005,,0.0,20
0.01,power_law,5000,0.005,,0.0,20
0.01,rational_decay,5000,0.005,,0.0,20
0.01,mixed_pow_rat,5000,0.005,,0.0,20
0.01,multiphase,5000,0.005,,0.0,20
0.01,osc_exp,5000,0.005,,0.0,20
0.01,damped_osc_pow,5000,0.005,,0.0,20
0.01,log_slow,5000,0.005,,0.0,20
0.01,delayed_plateau,5000,0.005,,0.0,20
0.01,staircase,5000,0.005,,0.0,20
0.01,noisy_plateau,5000,0.005,0.1,-0.001224,20
0.01,slow_osc_power,5000,0.005,,0.0,20
0.01,log_oscillatory,5000,0.005,0.0,-0.080612,20
0.01,heavy_noise_plat,5000,0.005,0.3,-2.5e-05,20
0.01,broken_power_law,5000,0.005,1.0,0.570165,20
0.01,single_exp,5000,0.02,,0.0,20
0.01,two_exp,5000,0.02,,0.0,20
0.01,three_exp,5000,0.02,,0.0,20
0.01,four_exp,5000,0.02,,0.0,20
0.01,power_law,5000,0.02,0.55,0.003009,20
0.01,rational_decay,5000,0.02,,0.0,20
0.01,mixed_pow_rat,5000,0.02,,0.0,20
0.01,multiphase,5000,0.02,,0.0,20
0.01,osc_exp,5000,0.02,,0.0,20
0.01,damped_osc_pow,5000,0.02,0.25,-0.003147,20
0.01,log_slow,5000,0.02,0.3889,-0.012902,20
0.01,delayed_plateau,5000,0.02,,0.0,20
0.01,staircase,5000,0.02,,0.0,20
0.01,noisy_plateau,5000,0.02,0.2,-0.001284,20
0.01,slow_osc_power,5000,0.02,0.0714,0.000219,20
0.01,log_oscillatory,5000,0.02,0.0,-0.085256,20
0.01,heavy_noise_plat,5000,0.02,0.7,0.00348,20
0.01,broken_power_law,5000,0.02,1.0,0.576974,20
0.02,single_exp,1000,0.0,,0.0,20
0.02,two_exp,1000,0.0,,0.0,20
0.02,three_exp,1000,0.0,,0.0,20
0.02,four_exp,1000,0.0,,0.0,20
0.02,power_law,1000,0.0,,0.0,20
0.02,rational_decay,1000,0.0,,0.0,20
0.02,mixed_pow_rat,1000,0.0,,0.0,20
0.02,multiphase,1000,0.0,,0.0,20
0.02,osc_exp,1000,0.0,,0.0,20
0.02,damped_osc_pow,1000,0.0,,0.0,20
0.02,log_slow,1000,0.0,,0.0,20
0.02,delayed_plateau,1000,0.0,,0.0,20
0.02,staircase,1000,0.0,,0.0,20
0.02,noisy_plateau,1000,0.0,0.25,-0.00094,20
0.02,slow_osc_power,1000,0.0,,0.0,20
0.02,log_oscillatory,1000,0.0,0.0,-0.048353,20
0.02,heavy_noise_plat,1000,0.0,0.35,-0.000808,20
0.02,broken_power_law,1000,0.0,1.0,0.387459,20
0.02,single_exp,1000,0.005,,0.0,20
0.02,two_exp,1000,0.005,,0.0,20
0.02,three_exp,1000,0.005,,0.0,20
0.02,four_exp,1000,0.005,,0.0,20
0.02,power_law,1000,0.005,,0.0,20
0.02,rational_decay,1000,0.005,,0.0,20
0.02,mixed_pow_rat,1000,0.005,,0.0,20
0.02,multiphase,1000,0.005,,0.0,20
0.02,osc_exp,1000,0.005,,0.0,20
0.02,damped_osc_pow,1000,0.005,,0.0,20
0.02,log_slow,1000,0.005,,0.0,20
0.02,delayed_plateau,1000,0.005,,0.0,20
0.02,staircase,1000,0.005,,0.0,20
0.02,noisy_plateau,1000,0.005,0.15,-0.001305,20
0.02,slow_osc_power,1000,0.005,,0.0,20
0.02,log_oscillatory,1000,0.005,0.0,-0.049068,20
0.02,heavy_noise_plat,1000,0.005,0.25,-0.000596,20
0.02,broken_power_law,1000,0.005,1.0,0.387496,20
0.02,single_exp,1000,0.02,,0.0,20
0.02,two_exp,1000,0.02,,0.0,20
0.02,three_exp,1000,0.02,,0.0,20
0.02,four_exp,1000,0.02,,0.0,20
0.02,power_law,1000,0.02,0.5,0.001449,20
0.02,rational_decay,1000,0.02,,0.0,20
0.02,mixed_pow_rat,1000,0.02,,0.0,20
0.02,multiphase,1000,0.02,,0.0,20
0.02,osc_exp,1000,0.02,,0.0,20
0.02,damped_osc_pow,1000,0.02,0.25,-0.004034,20
0.02,log_slow,1000,0.02,0.4444,-0.013558,20
0.02,delayed_plateau,1000,0.02,,0.0,20
0.02,staircase,1000,0.02,,0.0,20
0.02,noisy_plateau,1000,0.02,0.2,-0.001359,20
0.02,slow_osc_power,1000,0.02,0.0714,-0.000589,20
0.02,log_oscillatory,1000,0.02,0.0,-0.038013,20
0.02,heavy_noise_plat,1000,0.02,0.7,0.002374,20
0.02,broken_power_law,1000,0.02,1.0,0.392511,20
0.02,single_exp,5000,0.0,,0.0,20
0.02,two_exp,5000,0.0,,0.0,20
0.02,three_exp,5000,0.0,,0.0,20
0.02,four_exp,5000,0.0,,0.0,20
0.02,power_law,5000,0.0,,0.0,20
0.02,rational_decay,5000,0.0,,0.0,20
0.02,mixed_pow_rat,5000,0.0,,0.0,20
0.02,multiphase,5000,0.0,,0.0,20
0.02,osc_exp,5000,0.0,,0.0,20
0.02,damped_osc_pow,5000,0.0,,0.0,20
0.02,log_slow,5000,0.0,,0.0,20
0.02,delayed_plateau,5000,0.0,,0.0,20
0.02,staircase,5000,0.0,,0.0,20
0.02,noisy_plateau,5000,0.0,0.15,-0.000953,20
0.02,slow_osc_power,5000,0.0,,0.0,20
0.02,log_oscillatory,5000,0.0,0.0,-0.081057,20
0.02,heavy_noise_plat,5000,0.0,0.4,-0.000702,20
0.02,broken_power_law,5000,0.0,1.0,0.570121,20
0.02,single_exp,5000,0.005,,0.0,20
0.02,two_exp,5000,0.005,,0.0,20
0.02,three_exp,5000,0.005,,0.0,20
0.02,four_exp,5000,0.005,,0.0,20
0.02,power_law,5000,0.005,,0.0,20
0.02,rational_decay,5000,0.005,,0.0,20
0.02,mixed_pow_rat,5000,0.005,,0.0,20
0.02,multiphase,5000,0.005,,0.0,20
0.02,osc_exp,5000,0.005,,0.0,20
0.02,damped_osc_pow,5000,0.005,,0.0,20
0.02,log_slow,5000,0.005,,0.0,20
0.02,delayed_plateau,5000,0.005,,0.0,20
0.02,staircase,5000,0.005,,0.0,20
0.02,noisy_plateau,5000,0.005,0.1,-0.001226,20
0.02,slow_osc_power,5000,0.005,,0.0,20
0.02,log_oscillatory,5000,0.005,0.0,-0.080612,20
0.02,heavy_noise_plat,5000,0.005,0.25,-0.000295,20
0.02,broken_power_law,5000,0.005,1.0,0.570165,20
0.02,single_exp,5000,0.02,,0.0,20
0.02,two_exp,5000,0.02,,0.0,20
0.02,three_exp,5000,0.02,,0.0,20
0.02,four_exp,5000,0.02,,0.0,20
0.02,power_law,5000,0.02,0.55,0.00301,20
0.02,rational_decay,5000,0.02,,0.0,20
0.02,mixed_pow_rat,5000,0.02,,0.0,20
0.02,multiphase,5000,0.02,,0.0,20
0.02,osc_exp,5000,0.02,,0.0,20
0.02,damped_osc_pow,5000,0.02,0.25,-0.003148,20
0.02,log_slow,5000,0.02,0.3889,-0.012907,20
0.02,delayed_plateau,5000,0.02,,0.0,20
0.02,staircase,5000,0.02,,0.0,20
0.02,noisy_plateau,5000,0.02,0.2,-0.001284,20
0.02,slow_osc_power,5000,0.02,0.0714,0.000219,20
0.02,log_oscillatory,5000,0.02,0.0,-0.085258,20
0.02,heavy_noise_plat,5000,0.02,0.7,0.00348,20
0.02,broken_power_law,5000,0.02,1.0,0.576974,20
0.05,single_exp,1000,0.0,,0.0,20
0.05,two_exp,1000,0.0,,0.0,20
0.05,three_exp,1000,0.0,,0.0,20
