dataset,obs_depth,target_round,selected_method,cascade_pred,true_val,cascade_err,richardson_err,rational_err,current_err,ref_error,ref_best_method,cascade_skill,improvement,perturb_iqr,L_hat,assumed_mode,nearest_regime,log_log_slope,curvature_idx,oscillation_idx,noise_var,richardson_r2,diff_ratio_cv,phase2_features_path,phase2_features_rows,git_head
covertype,150,300,richardson_1,0.42161651707219017,0.4083646501671605,0.013251866905029663,0.013251866905029663,0.015612511159297626,0.05778662788822081,0.05778662788822081,last_value,0.22932410817712578,0.7706758918228742,0.009367881208151185,0.0,zero,rational_decay,-0.1834302227794436,0.0024736262413381413,0.0,2.3868264349319382e-08,0.9992794441135628,0.00039093280510399316,results\phase2\phase2_features.csv,23400,0375f24
covertype,150,400,richardson_1,0.407637496806104,0.3748681323241892,0.03276936448191481,0.03276936448191481,0.03721508609232271,0.09128314573119212,0.09128314573119212,last_value,0.35898592472276375,0.6410140752772362,0.0110888651845924,0.0,zero,rational_decay,-0.1834302227794436,0.0024736262413381413,0.0,2.3868264349319382e-08,0.9992794441135628,0.00039093280510399316,results\phase2\phase2_features.csv,23400,0375f24
covertype,150,500,richardson_1,0.3982524995894188,0.3491575180685675,0.04909498152085129,0.04909498152085129,0.0555007453531044,0.11699375998681383,0.11699375998681383,last_value,0.4196376073936311,0.5803623926063689,0.013169661794823706,0.0,zero,rational_decay,-0.1834302227794436,0.0024736262413381413,0.0,2.3868264349319382e-08,0.9992794441135628,0.00039093280510399316,results\phase2\phase2_features.csv,23400,0375f24
higgs,30,300,rational_fit,0.5233581284985717,0.5329168250571038,0.009558696558532143,0.0013605268738421383,0.009558696558532143,0.055298862993966025,0.055298862993966025,last_value,0.1728552096916558,0.8271447903083442,0.04827518273795528,0.0,zero,multiphase,-0.050671615179259714,0.0047980238556114205,0.0,4.3517802918389954e-07,0.943571943269063,0.002291687323171963,results\phase2\phase2_features.csv,23400,0375f24
higgs,30,400,rational_fit,0.5203326123040797,0.530932187092263,0.010599574788183297,0.006936947519905368,0.010599574788183297,0.057283500958806854,0.057283500958806854,last_value,0.18503713304474106,0.8149628669552589,0.051566821819058695,0.0,zero,multiphase,-0.050671615179259714,0.0047980238556114205,0.0,4.3517802918389954e-07,0.943571943269063,0.002291687323171963,results\phase2\phase2_features.csv,23400,0375f24
higgs,30,500,rational_fit,0.5184645175222964,0.5300865883045046,0.011622070782208227,0.011881720339928958,0.011622070782208227,0.058129099746565216,0.058129099746565216,last_value,0.1999355027495495,0.8000644972504505,0.053666793426083825,0.0,zero,multiphase,-0.050671615179259714,0.0047980238556114205,0.0,4.3517802918389954e-07,0.943571943269063,0.002291687323171963,results\phase2\phase2_features.csv,23400,0375f24
higgs,60,300,rational_fit,0.5238249015835428,0.5329168250571038,0.009091923473561025,0.018095733712209516,0.009091923473561025,0.02828323253782339,0.02828323253782339,last_value,0.32145984237842423,0.6785401576215758,0.004811991509536373,0.0,zero,multiphase,-0.05951609378338009,0.002446073450562711,0.0,2.3435532354193678e-07,0.9612966441828943,0.0024500703464153035,results\phase2\phase2_features.csv,23400,0375f24
higgs,60,400,rational_fit,0.5208382610238662,0.530932187092263,0.010093926068396764,0.024645676917603998,0.010093926068396764,0.030267870502664218,0.030267870502664218,last_value,0.33348649577142475,0.6665135042285752,0.005281945130810373,0.0,zero,multiphase,-0.05951609378338009,0.002446073450562711,0.0,2.3435532354193678e-07,0.9612966441828943,0.0024500703464153035,results\phase2\phase2_features.csv,23400,0375f24
higgs,60,500,rational_fit,0.5189947840600334,0.5300865883045046,0.011091804244471204,0.030322458408496844,0.011091804244471204,0.03111346929042258,0.03111346929042258,last_value,0.35649525743776533,0.6435047425622347,0.005555554710241939,0.0,zero,multiphase,-0.05951609378338009,0.002446073450562711,0.0,2.3435532354193678e-07,0.9612966441828943,0.0024500703464153035,results\phase2\phase2_features.csv,23400,0375f24
higgs,90,300,rational_fit,0.5293123952325698,0.5329168250571038,0.0036044298245340167,0.0071221871375311,0.0036044298245340167,0.01642470122336359,0.01642470122336359,last_value,0.2194517742220379,0.7805482257779621,0.00044443652190828686,0.0,zero,multiphase,-0.06174676879809355,0.002978526109418593,0.0,1.966805403259886e-08,0.9947749120753765,0.0005643015484840259,results\phase2\phase2_features.csv,23400,0375f24
higgs,90,400,rational_fit,0.5269230940335269,0.530932187092263,0.004009093058736091,0.008764517233038949,0.004009093058736091,0.01840933918820442,0.01840933918820442,last_value,0.2177749574685914,0.7822250425314086,0.0006935718743388275,0.0,zero,multiphase,-0.06174676879809355,0.002978526109418593,0.0,1.966805403259886e-08,0.9947749120753765,0.0005643015484840259,results\phase2\phase2_features.csv,23400,0375f24
higgs,90,500,rational_fit,0.5254612071473459,0.5300865883045046,0.0046253811571587145,0.010363934773449768,0.0046253811571587145,0.019254937975962783,0.019254937975962783,last_value,0.24021792035543738,0.7597820796445626,0.0008501363188622157,0.0,zero,multiphase,-0.06174676879809355,0.002978526109418593,0.0,1.966805403259886e-08,0.9947749120753765,0.0005643015484840259,results\phase2\phase2_features.csv,23400,0375f24
higgs,120,300,rational_fit,0.5309233298009619,0.5329168250571038,0.0019934952561418973,0.002466407412887839,0.0019934952561418973,0.009993825838908177,0.009993825838908177,last_value,0.19947268326217762,0.8005273167378224,0.008089121410601807,0.0,zero,multiphase,-0.04668917005338989,0.004736597445291769,0.0,1.1361465488849625e-08,0.9892788264196567,0.00025765890406479754,results\phase2\phase2_features.csv,23400,0375f24
