round,covertype,higgs,adult,jannis,miniboone,bank_marketing
122,0.4828068025699631,0.5424641334143986,0.2789884560326255,0.7152003242522236,0.15744195589928803,0.20319503130115413
123,0.4819991542951528,0.542352662085423,0.2789294615391182,0.7146824562900209,0.15724565272723448,0.20306575840684615
124,0.48135574314612706,0.5421176729924704,0.27882626247561526,0.7143370153928746,0.1570851881017749,0.20298828298640295
125,0.4804932586828699,0.5420265395653542,0.2786654739379604,0.7140127573374586,0.15686275645650158,0.2029736693364049
126,0.47973450433711984,0.5419393578531911,0.27847686600582283,0.7136760679516408,0.15659931190404905,0.2027161172119721
127,0.4789815961573382,0.5418678290034943,0.2783405887786962,0.7132944688754284,0.1564540540063334,0.20253909333882683
128,0.4782446270425912,0.5418033750540653,0.2782290159593067,0.7129470994503606,0.1562004472331759,0.20252522451674843
129,0.47773834036208795,0.5416373832364534,0.2781832007743007,0.7126563072477141,0.156012925074321,0.20231688250814203
130,0.477102368239338,0.5415604562713768,0.2780276275166978,0.7124261162055261,0.1558153820518445,0.2020769166983129
131,0.4765524298884063,0.5414884750902261,0.2779684149673302,0.712037109873568,0.15555039077116795,0.202068055446068
132,0.4760394632273501,0.5413381086923144,0.2777868160023042,0.7117091968082567,0.15533480575382208,0.20202037882911061
133,0.47537731420979423,0.5411500251938887,0.2777152307962581,0.7114865464541407,0.1552306503227746,0.20202858714194954
134,0.474803924692748,0.5409826582770705,0.27762234190841717,0.7113467369040579,0.15508123962515452,0.20202270301778158
135,0.4743140034082349,0.5408510762460583,0.2774371535742789,0.7111428538498344,0.15491844571533928,0.20201996206818673
136,0.4737042051612967,0.5407306933574177,0.27734418442267944,0.7109319195733024,0.15475905163795164,0.2018000186361643
137,0.47306536804905924,0.5406574071113786,0.27720762915398395,0.7106926580430551,0.15449270589683378,0.20171960244313988
138,0.4725077795132462,0.5406095304154049,0.2771528133314197,0.7104891306312932,0.1542611865900931,0.20161770400351103
139,0.4716870701777216,0.540557699623218,0.2770303434969675,0.7102224113869102,0.15412449421151128,0.2016426104519127
140,0.47118435220036836,0.5404045469054932,0.2769813301804136,0.7099982139400258,0.15393899212388504,0.20163323263561692
141,0.4707098402172828,0.5403236263315727,0.27694430959329025,0.709706018193107,0.15366928223301857,0.2016548576761956
142,0.4702183960894334,0.5401809536001356,0.27692701979755746,0.7094052857723254,0.15352287124289618,0.20159130045312446
143,0.4696621024367558,0.5400944246899589,0.2767561616612877,0.7091729316344976,0.1533798698632337,0.20151624826102105
144,0.4686646600618649,0.5400480670020961,0.276694185752822,0.708912217979693,0.1532838762032861,0.20145795967597208
