dataset,obs_depth,target_round,argmin_round,post_min_target,method,selected_method,is_cascade,is_trivial,prediction,true_val,error,current_err,ref_error,skill,skill_vs_assumed,win_vs_assumed,skill_vs_last,win_vs_last,skill_vs_wmean,win_vs_wmean,skill_vs_wmin,win_vs_wmin,perturb_iqr,L_hat,assumed_mode,nearest_regime
covertype,30,400,500,0,last_value,richardson_1,0,1,0.6794600135413783,0.3748681323241892,0.3045918812171891,0.3045918812171891,0.3045918812171891,1.0,0.8125307406866354,1,1.0,0,0.6539962111705071,1,1.0,0,0.005574015351366257,0.0,zero,rational_decay
covertype,30,400,500,0,window_mean,richardson_1,0,1,0.8406076519340011,0.3748681323241892,0.4657395196098119,0.3045918812171891,0.3045918812171891,1.5290608461021866,1.2424089418383433,0,1.5290608461021866,0,1.0,0,1.5290608461021866,0,0.005574015351366257,0.0,zero,rational_decay
covertype,30,400,500,0,window_min,richardson_1,0,1,0.6794600135413783,0.3748681323241892,0.3045918812171891,0.3045918812171891,0.3045918812171891,1.0,0.8125307406866354,1,1.0,0,0.6539962111705071,1,1.0,0,0.005574015351366257,0.0,zero,rational_decay
covertype,30,400,500,0,cascade,richardson_1,1,0,0.47716241215674166,0.3748681323241892,0.10229427983255246,0.3045918812171891,0.3045918812171891,0.3358404676571519,0.27288070393801167,1,0.3358404676571519,1,0.21963839340550861,1,0.3358404676571519,1,0.005574015351366257,0.0,zero,rational_decay
covertype,30,500,500,0,richardson_1,richardson_1,0,0,0.4605179914198535,0.3491575180685675,0.11136047335128602,0.3303024954728108,0.3303024954728108,0.337146933122256,0.31894049988468837,1,0.337146933122256,1,0.22659567202758799,1,0.337146933122256,1,0.0056932523913278965,0.0,zero,rational_decay
covertype,30,500,500,0,rational_fit,richardson_1,0,0,0.4160204279776643,0.3491575180685675,0.06686290990909682,0.3303024954728108,0.3303024954728108,0.20242932107850425,0.19149783822202074,1,0.20242932107850425,1,0.1360522773352319,1,0.20242932107850425,1,0.0056932523913278965,0.0,zero,rational_decay
covertype,30,500,500,0,constant_assumed,richardson_1,0,1,0.0,0.3491575180685675,0.3491575180685675,0.3303024954728108,0.3303024954728108,1.0570841057944982,1.0,0,1.0570841057944982,0,0.7104637765022402,1,1.0570841057944982,0,0.0056932523913278965,0.0,zero,rational_decay
covertype,30,500,500,0,last_value,richardson_1,0,1,0.6794600135413783,0.3491575180685675,0.3303024954728108,0.3303024954728108,0.3303024954728108,1.0,0.9459985203811252,1,1.0,0,0.6720976813555056,1,1.0,0,0.0056932523913278965,0.0,zero,rational_decay
covertype,30,500,500,0,window_mean,richardson_1,0,1,0.8406076519340011,0.3491575180685675,0.4914501338654336,0.3303024954728108,0.3303024954728108,1.4878789612592795,1.407531295857484,0,1.4878789612592795,0,1.0,0,1.4878789612592795,0,0.0056932523913278965,0.0,zero,rational_decay
covertype,30,500,500,0,window_min,richardson_1,0,1,0.6794600135413783,0.3491575180685675,0.3303024954728108,0.3303024954728108,0.3303024954728108,1.0,0.9459985203811252,1,1.0,0,0.6720976813555056,1,1.0,0,0.0056932523913278965,0.0,zero,rational_decay
covertype,30,500,500,0,cascade,richardson_1,1,0,0.4605179914198535,0.3491575180685675,0.11136047335128602,0.3303024954728108,0.3303024954728108,0.337146933122256,0.31894049988468837,1,0.337146933122256,1,0.22659567202758799,1,0.337146933122256,1,0.0056932523913278965,0.0,zero,rational_decay
covertype,60,300,500,0,richardson_1,richardson_1,0,0,0.43901062314624606,0.4083646501671605,0.030645972979085556,0.1529866545800166,0.1529866545800166,0.20031794971408304,0.07504560682845808,1,0.20031794971408304,1,0.09666105571135344,1,0.20031794971408304,1,0.00027832392258464456,0.0,zero,rational_decay
covertype,60,300,500,0,rational_fit,richardson_1,0,0,0.4210046280719916,0.4083646501671605,0.012639977904831123,0.1529866545800166,0.1529866545800166,0.08262144132460938,0.030952674036935024,1,0.08262144132460938,1,0.039867998620339934,1,0.08262144132460938,1,0.00027832392258464456,0.0,zero,rational_decay
covertype,60,300,500,0,constant_assumed,richardson_1,0,1,0.0,0.4083646501671605,0.4083646501671605,0.1529866545800166,0.1529866545800166,2.6692828291998083,1.0,0,2.6692828291998083,0,1.2880308361328163,0,2.6692828291998083,0,0.00027832392258464456,0.0,zero,rational_decay
covertype,60,300,500,0,last_value,richardson_1,0,1,0.5613513047471771,0.4083646501671605,0.1529866545800166,0.1529866545800166,0.1529866545800166,1.0,0.37463246272024975,1,1.0,0,0.4825381642000594,1,1.0,0,0.00027832392258464456,0.0,zero,rational_decay
covertype,60,300,500,0,window_mean,richardson_1,0,1,0.7254103595643319,0.4083646501671605,0.31704570939717136,0.1529866545800166,0.1529866545800166,2.0723749419028374,0.7763789281647946,1,2.0723749419028374,0,1.0,0,2.0723749419028374,0,0.00027832392258464456,0.0,zero,rational_decay
