regime,is_holdout,obs_idx,target_g,method,n_f,achieved_g,med_error,med_skill,n
log_slow,0,30,0.02,pade_13,50000.0,0.32236487497446525,0.10275877748162493,1.0000136825899437,60
log_slow,0,30,0.02,pade_21,50000.0,0.32236487497446525,51.26084058359914,425.51843618994246,60
log_slow,0,30,0.02,pade_22,50000.0,0.32236487497446525,0.07031697303008942,0.685546971861566,60
log_slow,0,30,0.02,pade_23,50000.0,0.32236487497446525,0.10420383743279071,1.0209512031334285,60
log_slow,0,30,0.02,pade_31,50000.0,0.32236487497446525,,,60
log_slow,0,30,0.02,pade_32,50000.0,0.32236487497446525,261.5363641239215,1842.4784122442604,60
log_slow,0,30,0.02,levin_t1,50000.0,0.32236487497446525,0.15193666227220887,1.266012709320477,60
log_slow,0,30,0.02,levin_t2,50000.0,0.32236487497446525,0.14921353897002837,1.1479706886052905,60
log_slow,0,30,0.02,levin_u1,50000.0,0.32236487497446525,0.15181138008013512,1.1017895231143344,60
log_slow,0,30,0.02,levin_u2,50000.0,0.32236487497446525,0.14911312108918845,1.0824237812091813,60
log_slow,0,30,0.02,levin_v1,50000.0,0.32236487497446525,0.15371796068539778,1.1111695945688311,60
log_slow,0,30,0.02,levin_v2,50000.0,0.32236487497446525,0.15640917699301415,1.1550384808509477,60
log_slow,0,30,0.02,brezinski_theta1,50000.0,0.32236487497446525,0.143505794651748,1.290395723543439,60
log_slow,0,30,0.02,brezinski_theta2,50000.0,0.32236487497446525,0.13775279716704486,1.0446774872757314,60
log_slow,0,30,0.02,neville_2,50000.0,0.32236487497446525,0.6566444018052561,5.659645257280837,60
log_slow,0,30,0.02,neville_3,50000.0,0.32236487497446525,8.388113936959552,73.86679443680012,60
log_slow,0,30,0.02,neville_4,50000.0,0.32236487497446525,0.06509428971992356,0.6591159336246195,60
log_slow,0,30,0.02,anderson_1,50000.0,0.32236487497446525,0.15193635054167265,1.349965459068883,60
log_slow,0,30,0.02,anderson_2,50000.0,0.32236487497446525,0.15257816274315375,1.3144555009889314,60
log_slow,0,30,0.02,anderson_3,50000.0,0.32236487497446525,0.15381849438743156,1.310648189989092,60
log_slow,0,30,0.02,median_ensemble,50000.0,0.32236487497446525,0.14412205633401265,1.0118615242177509,60
log_slow,0,30,0.02,stability_weighted,50000.0,0.32236487497446525,0.09125803695121987,0.7698277863578684,60
log_slow,0,30,0.02,best_shanks_wynn,50000.0,0.32236487497446525,0.15193666227220903,1.2660127093206894,60
log_slow,0,30,0.02,constant_assumed,50000.0,0.32236487497446525,0.10275805732146302,1.0,60
log_slow,0,30,0.02,constant_oracle,50000.0,0.32236487497446525,0.07393829701292087,0.7198766563413626,60
log_slow,0,30,0.02,window_mean,50000.0,0.32236487497446525,0.23511536807284475,2.2972825626500057,60
log_slow,0,30,0.02,window_min,50000.0,0.32236487497446525,0.1539938618566375,1.3943596122924358,60
log_slow,0,30,0.02,last_value,50000.0,0.32236487497446525,0.1554238412125219,1.4783022631896885,60
log_oscillatory,0,30,0.1,current_value,50000.0,0.3324862235710625,0.12316994816981629,1.1071280079970733,60
log_oscillatory,0,30,0.1,linear,50000.0,0.3324862235710625,,,60
log_oscillatory,0,30,0.1,log_linear,50000.0,0.3324862235710625,0.09207428583761414,0.8079645055771142,60
log_oscillatory,0,30,0.1,geom_avg_diff,50000.0,0.3324862235710625,0.09817043256215331,1.1955465745095655,60
log_oscillatory,0,30,0.1,richardson_1,50000.0,0.3324862235710625,0.0798762975691086,0.687482589910801,60
log_oscillatory,0,30,0.1,richardson_2,50000.0,0.3324862235710625,0.10989356786251271,0.9492972272774083,60
log_oscillatory,0,30,0.1,richardson_3,50000.0,0.3324862235710625,0.17207649190901408,1.3970655542679093,60
log_oscillatory,0,30,0.1,richardson_a05,50000.0,0.3324862235710625,0.08325332709650993,0.7990081737527165,60
log_oscillatory,0,30,0.1,richardson_a10,50000.0,0.3324862235710625,0.20377697209896994,1.9854016922613458,60
log_oscillatory,0,30,0.1,richardson_a20,50000.0,0.3324862235710625,0.24677880550261616,2.4043435457203852,60
log_oscillatory,0,30,0.1,single_exp_fit,50000.0,0.3324862235710625,0.04770254479644147,0.42948994641861016,60
log_oscillatory,0,30,0.1,double_exp_fit,50000.0,0.3324862235710625,0.10876445568894924,1.0,60
log_oscillatory,0,30,0.1,rational_fit,50000.0,0.3324862235710625,0.10190651575226456,0.9978229066131734,60
log_oscillatory,0,30,0.1,log_fit,50000.0,0.3324862235710625,0.01292315942750702,0.10883335000701302,60
log_oscillatory,0,30,0.1,shanks_1,50000.0,0.3324862235710625,0.11757137975476481,1.2551976796388735,60
log_oscillatory,0,30,0.1,shanks_2,50000.0,0.3324862235710625,0.12817127755263852,1.299522953770425,60
log_oscillatory,0,30,0.1,shanks_3,50000.0,0.3324862235710625,0.13308350958084886,1.3166292571241498,60
log_oscillatory,0,30,0.1,shanks_4,50000.0,0.3324862235710625,0.13602991442189058,1.3202311839362522,60
log_oscillatory,0,30,0.1,wynn_eps_1,50000.0,0.3324862235710625,0.11757137975476435,1.2551976796388704,60
log_oscillatory,0,30,0.1,wynn_eps_2,50000.0,0.3324862235710625,0.1412375726721702,1.485827144044459,60
log_oscillatory,0,30,0.1,wynn_eps_3,50000.0,0.3324862235710625,0.1385853706688323,1.3637611853050569,60
log_oscillatory,0,30,0.1,wynn_rho_1,50000.0,0.3324862235710625,0.11728103886715135,1.1805385595086118,60
