method,obs_idx,noise,valid_rate,n,is_trivial,is_oracle,is_dangerous
levin_t1,60,0.0,0.9583,1440,0,0,0
levin_t1,60,0.005,0.9979,1440,0,0,0
levin_t1,60,0.02,0.9958,1440,0,0,0
levin_t1,90,0.0,0.9583,1440,0,0,0
levin_t1,90,0.005,1.0,1440,0,0,0
levin_t1,90,0.02,0.9958,1440,0,0,0
levin_t1,120,0.0,0.9583,1440,0,0,0
levin_t1,120,0.005,1.0,1440,0,0,0
levin_t1,120,0.02,1.0,1440,0,0,0
levin_t2,30,0.0,0.9583,1440,0,0,0
levin_t2,30,0.005,1.0,1440,0,0,0
levin_t2,30,0.02,1.0,1440,0,0,0
levin_t2,60,0.0,0.9583,1440,0,0,0
levin_t2,60,0.005,0.9938,1440,0,0,0
levin_t2,60,0.02,0.9917,1440,0,0,0
levin_t2,90,0.0,0.9583,1440,0,0,0
levin_t2,90,0.005,0.9979,1440,0,0,0
levin_t2,90,0.02,0.9896,1440,0,0,0
levin_t2,120,0.0,0.9188,1440,0,0,0
levin_t2,120,0.005,0.9979,1440,0,0,0
levin_t2,120,0.02,0.9958,1440,0,0,0
levin_u1,30,0.0,0.8333,1440,0,0,0
levin_u1,30,0.005,0.9958,1440,0,0,0
levin_u1,30,0.02,0.9938,1440,0,0,0
levin_u1,60,0.0,0.8812,1440,0,0,0
levin_u1,60,0.005,0.9979,1440,0,0,0
levin_u1,60,0.02,0.9958,1440,0,0,0
levin_u1,90,0.0,0.9583,1440,0,0,0
levin_u1,90,0.005,0.9979,1440,0,0,0
levin_u1,90,0.02,0.9958,1440,0,0,0
levin_u1,120,0.0,0.875,1440,0,0,0
levin_u1,120,0.005,1.0,1440,0,0,0
levin_u1,120,0.02,1.0,1440,0,0,0
levin_u2,30,0.0,0.9438,1440,0,0,0
levin_u2,30,0.005,1.0,1440,0,0,0
levin_u2,30,0.02,0.9979,1440,0,0,0
levin_u2,60,0.0,0.9167,1440,0,0,0
levin_u2,60,0.005,0.9958,1440,0,0,0
levin_u2,60,0.02,0.9938,1440,0,0,0
levin_u2,90,0.0,0.9583,1440,0,0,0
levin_u2,90,0.005,0.9979,1440,0,0,0
levin_u2,90,0.02,0.9917,1440,0,0,0
levin_u2,120,0.0,0.9583,1440,0,0,0
levin_u2,120,0.005,1.0,1440,0,0,0
levin_u2,120,0.02,0.9958,1440,0,0,0
levin_v1,30,0.0,0.9396,1440,0,0,0
levin_v1,30,0.005,1.0,1440,0,0,0
levin_v1,30,0.02,0.9979,1440,0,0,0
levin_v1,60,0.0,0.9167,1440,0,0,0
levin_v1,60,0.005,0.9917,1440,0,0,0
levin_v1,60,0.02,0.9917,1440,0,0,0
levin_v1,90,0.0,0.9583,1440,0,0,0
levin_v1,90,0.005,0.9958,1440,0,0,0
levin_v1,90,0.02,0.9938,1440,0,0,0
levin_v1,120,0.0,0.9583,1440,0,0,0
levin_v1,120,0.005,1.0,1440,0,0,0
levin_v1,120,0.02,0.9979,1440,0,0,0
levin_v2,30,0.0,0.9583,1440,0,0,0
levin_v2,30,0.005,1.0,1440,0,0,0
levin_v2,30,0.02,0.9979,1440,0,0,0
levin_v2,60,0.0,0.9583,1440,0,0,0
levin_v2,60,0.005,0.9958,1440,0,0,0
levin_v2,60,0.02,0.9896,1440,0,0,0
levin_v2,90,0.0,0.9583,1440,0,0,0
levin_v2,90,0.005,0.9979,1440,0,0,0
levin_v2,90,0.02,0.9896,1440,0,0,0
levin_v2,120,0.0,0.9583,1440,0,0,0
levin_v2,120,0.005,1.0,1440,0,0,0
levin_v2,120,0.02,0.9958,1440,0,0,0
linear,30,0.0,0.3535,1440,0,0,1
linear,30,0.005,0.3528,1440,0,0,1
linear,30,0.02,0.3486,1440,0,0,1
linear,60,0.0,0.3632,1440,0,0,1
linear,60,0.005,0.3625,1440,0,0,1
linear,60,0.02,0.3646,1440,0,0,1
linear,90,0.0,0.5549,1440,0,0,1
linear,90,0.005,0.5542,1440,0,0,1
linear,90,0.02,0.5549,1440,0,0,1
linear,120,0.0,0.6167,1440,0,0,1
linear,120,0.005,0.6188,1440,0,0,1
linear,120,0.02,0.6285,1440,0,0,1
log_fit,30,0.0,1.0,1440,0,0,0
log_fit,30,0.005,1.0,1440,0,0,0
log_fit,30,0.02,1.0,1440,0,0,0
log_fit,60,0.0,1.0,1440,0,0,0
log_fit,60,0.005,1.0,1440,0,0,0
log_fit,60,0.02,1.0,1440,0,0,0
log_fit,90,0.0,1.0,1440,0,0,0
log_fit,90,0.005,1.0,1440,0,0,0
log_fit,90,0.02,1.0,1440,0,0,0
