noise,target_g,selector,is_trivial,is_oracle,mean_error,median_error,med_skill,n
0.005,0.5,diag_ensemble_safe,0,0,0.057939,0.037339,0.7157,1440
0.005,0.5,equal_ensemble_51,0,0,0.078083,0.068981,1.066,1440
0.005,0.5,equal_ensemble_safe,0,0,0.078244,0.069313,1.0709,1440
0.005,0.5,diag_ensemble_9,0,0,0.038946,0.024221,0.5173,1440
0.005,0.5,equal_ensemble_9,0,0,0.047161,0.025562,0.6225,1440
0.005,0.5,phase2_cascade,0,0,0.04983,0.026391,0.6035,1440
0.005,0.5,fixed_rational,0,0,0.038678,0.024648,0.5387,1440
0.005,0.5,fixed_richardson,0,0,0.054132,0.025767,0.5822,1440
0.005,0.5,current_value,0,0,0.078116,0.072729,1.0561,1440
0.005,0.5,constant_assumed,1,0,0.178083,0.134537,2.4117,1440
0.005,0.5,constant_oracle,1,1,0.071244,0.067873,1.0411,1440
0.005,0.5,window_mean,1,0,0.143321,0.114737,2.0246,1440
0.005,0.5,window_min,1,0,0.073284,0.063583,1.0,1440
0.005,0.5,last_value,1,0,0.078116,0.072729,1.0561,1440
0.02,0.02,oracle_51,0,0,0.007985,0.00416,0.1623,1180
0.02,0.02,oracle_9,0,0,0.016354,0.009474,0.4562,1180
0.02,0.02,threshold_ens_010,0,0,0.14222,0.124459,2.6358,1180
0.02,0.02,threshold_ens_050,0,0,0.142031,0.12411,2.6375,1180
0.02,0.02,threshold_ens_safe,0,0,0.142039,0.12411,2.6375,1180
0.02,0.02,capped_diag_51,0,0,0.102376,0.076394,2.5852,1180
0.02,0.02,capped_diag_safe,0,0,0.098893,0.073165,2.2511,1180
0.02,0.02,diag_ensemble_51,0,0,0.102376,0.076394,2.5852,1180
0.02,0.02,diag_ensemble_safe,0,0,0.098893,0.073165,2.2511,1180
0.02,0.02,equal_ensemble_51,0,0,0.142481,0.124881,2.6324,1180
0.02,0.02,equal_ensemble_safe,0,0,0.142039,0.12411,2.6375,1180
0.02,0.02,diag_ensemble_9,0,0,0.076231,0.054384,2.1137,1180
0.02,0.02,equal_ensemble_9,0,0,0.082145,0.051511,1.538,1180
0.02,0.02,phase2_cascade,0,0,0.069925,0.040061,1.3067,1180
0.02,0.02,fixed_rational,0,0,0.060689,0.040067,1.4489,1180
0.02,0.02,fixed_richardson,0,0,0.074807,0.039478,1.3346,1180
0.02,0.02,current_value,0,0,0.146098,0.130385,3.0309,1180
0.02,0.02,constant_assumed,1,0,0.110434,0.049623,1.0,1180
0.02,0.02,constant_oracle,1,1,0.0025,0.002248,0.0462,1180
0.02,0.02,window_mean,1,0,0.219256,0.193158,5.1339,1180
0.02,0.02,window_min,1,0,0.127591,0.10193,2.2638,1180
0.02,0.02,last_value,1,0,0.146098,0.130385,3.0309,1180
0.02,0.1,oracle_51,0,0,0.008363,0.003884,0.1274,1260
0.02,0.1,oracle_9,0,0,0.018353,0.009515,0.3342,1260
0.02,0.1,threshold_ens_010,0,0,0.12729,0.108165,2.2509,1260
0.02,0.1,threshold_ens_050,0,0,0.127241,0.108541,2.2678,1260
0.02,0.1,threshold_ens_safe,0,0,0.127203,0.108541,2.2678,1260
0.02,0.1,capped_diag_51,0,0,0.095882,0.068013,2.046,1260
0.02,0.1,capped_diag_safe,0,0,0.09237,0.068332,1.8727,1260
0.02,0.1,diag_ensemble_51,0,0,0.095882,0.068013,2.046,1260
0.02,0.1,diag_ensemble_safe,0,0,0.09237,0.068332,1.8727,1260
0.02,0.1,equal_ensemble_51,0,0,0.12758,0.108585,2.2617,1260
0.02,0.1,equal_ensemble_safe,0,0,0.127203,0.108541,2.2678,1260
0.02,0.1,diag_ensemble_9,0,0,0.071247,0.050209,1.6698,1260
0.02,0.1,equal_ensemble_9,0,0,0.077198,0.047528,1.3033,1260
0.02,0.1,phase2_cascade,0,0,0.070233,0.040315,1.2126,1260
0.02,0.1,fixed_rational,0,0,0.057681,0.036556,1.1895,1260
0.02,0.1,fixed_richardson,0,0,0.083826,0.039472,1.2426,1260
0.02,0.1,current_value,0,0,0.132767,0.117395,2.7402,1260
0.02,0.1,constant_assumed,1,0,0.121328,0.061672,1.0549,1260
0.02,0.1,constant_oracle,1,1,0.013494,0.012386,0.2474,1260
0.02,0.1,window_mean,1,0,0.199608,0.166182,4.1702,1260
0.02,0.1,window_min,1,0,0.111605,0.082433,1.5622,1260
0.02,0.1,last_value,1,0,0.132767,0.117395,2.7402,1260
0.02,0.5,oracle_51,0,0,0.006313,0.002613,0.0917,1440
0.02,0.5,oracle_9,0,0,0.016391,0.007266,0.2649,1440
0.02,0.5,threshold_ens_010,0,0,0.075489,0.066143,1.3786,1440
0.02,0.5,threshold_ens_050,0,0,0.075491,0.066472,1.38,1440
0.02,0.5,threshold_ens_safe,0,0,0.075509,0.066432,1.3821,1440
0.02,0.5,capped_diag_51,0,0,0.052201,0.03524,0.9329,1440
0.02,0.5,capped_diag_safe,0,0,0.052935,0.036612,0.9321,1440
0.02,0.5,diag_ensemble_51,0,0,0.052201,0.03524,0.9329,1440
0.02,0.5,diag_ensemble_safe,0,0,0.052935,0.036612,0.9321,1440
0.02,0.5,equal_ensemble_51,0,0,0.075275,0.065677,1.3744,1440
0.02,0.5,equal_ensemble_safe,0,0,0.075509,0.066432,1.3821,1440
0.02,0.5,diag_ensemble_9,0,0,0.038126,0.025128,0.6909,1440
0.02,0.5,equal_ensemble_9,0,0,0.048112,0.02895,0.8662,1440
0.02,0.5,phase2_cascade,0,0,0.05242,0.028746,0.8831,1440
0.02,0.5,fixed_rational,0,0,0.042151,0.028077,0.8025,1440
0.02,0.5,fixed_richardson,0,0,0.05493,0.027116,0.8305,1440
0.02,0.5,current_value,0,0,0.078741,0.069425,1.4147,1440
0.02,0.5,constant_assumed,1,0,0.178083,0.134537,3.3835,1440
0.02,0.5,constant_oracle,1,1,0.071244,0.067873,1.3625,1440
0.02,0.5,window_mean,1,0,0.143356,0.113999,2.5733,1440
0.02,0.5,window_min,1,0,0.061422,0.04362,1.0,1440
0.02,0.5,last_value,1,0,0.078741,0.069425,1.4147,1440
