regime,is_holdout,target_g,n_capped_excluded,selector,is_trivial,is_oracle,mean_error,median_error,med_skill,n,med_skill_vs_assumed,win_rate_vs_assumed,med_skill_vs_last,win_rate_vs_last,med_skill_vs_wmean,win_rate_vs_wmean,med_skill_vs_wmin,win_rate_vs_wmin
damped_osc_pow,0,0.02,60,capped_diag_safe,0,0,0.041838,0.041248,1.9825,180,1.693,0.3556,0.5885,0.9667,0.3084,1.0,0.7112,0.8167
damped_osc_pow,0,0.02,60,diag_ensemble_49,0,0,0.043675,0.041784,2.2057,180,1.8036,0.3444,0.6219,0.95,0.3306,1.0,0.7244,0.7889
damped_osc_pow,0,0.02,60,diag_ensemble_safe,0,0,0.041838,0.041248,1.9825,180,1.693,0.3556,0.5885,0.9667,0.3084,1.0,0.7112,0.8167
damped_osc_pow,0,0.02,60,equal_ensemble_49,0,0,0.058825,0.054458,2.3812,180,2.0359,0.3278,0.9116,0.7611,0.469,1.0,1.0405,0.4056
damped_osc_pow,0,0.02,60,equal_ensemble_safe,0,0,0.058978,0.054409,2.4608,180,2.0798,0.3222,0.9071,0.7667,0.4688,1.0,1.0387,0.4056
damped_osc_pow,0,0.02,60,diag_ensemble_9,0,0,0.042692,0.043778,1.9513,180,1.8391,0.35,0.5668,0.9944,0.302,1.0,0.6256,0.8611
damped_osc_pow,0,0.02,60,equal_ensemble_9,0,0,0.057087,0.053111,2.5109,180,2.1652,0.3222,0.722,0.7944,0.384,1.0,0.9832,0.5444
damped_osc_pow,0,0.02,60,phase2_cascade,0,0,0.027859,0.015187,0.6864,180,0.54,0.9444,0.2055,0.8556,0.1105,0.9944,0.2266,0.8
damped_osc_pow,0,0.02,60,fixed_rational,0,0,0.038026,0.040601,1.5155,180,1.2518,0.4056,0.4844,0.9722,0.2516,0.9944,0.5722,0.8944
damped_osc_pow,0,0.02,60,fixed_richardson,0,0,0.028628,0.015598,0.6945,180,0.5584,0.9444,0.2084,0.8556,0.1144,0.9889,0.225,0.7944
damped_osc_pow,0,0.02,60,current_value,0,0,0.076742,0.070953,3.4733,180,3.2202,0.2389,1.0,0.0,0.519,0.9778,1.0006,0.0
damped_osc_pow,0,0.02,60,constant_assumed,1,0,0.077852,0.024364,1.0,180,1.0,0.0,0.3106,0.7611,0.1735,0.8,0.353,0.7111
damped_osc_pow,0,0.02,60,constant_oracle,1,1,0.001604,0.001448,0.0761,180,0.0666,1.0,0.0204,1.0,0.0106,1.0,0.0216,0.9944
damped_osc_pow,0,0.02,60,window_mean,1,0,0.145488,0.14985,6.3428,180,5.7627,0.2,1.9267,0.0222,1.0,0.0,2.112,0.0
damped_osc_pow,0,0.02,60,window_min,1,0,0.067398,0.065016,2.8332,180,2.8332,0.2889,0.9994,0.5,0.4735,1.0,1.0,0.0
damped_osc_pow,0,0.02,60,last_value,1,0,0.076742,0.070953,3.4733,180,3.2202,0.2389,1.0,0.0,0.519,0.9778,1.0006,0.0
damped_osc_pow,0,0.1,0,oracle_49,0,0,0.002583,0.001196,0.0559,240,0.0298,1.0,0.0176,1.0,0.0092,1.0,0.0235,0.9625
damped_osc_pow,0,0.1,0,oracle_9,0,0,0.008299,0.004044,0.1696,240,0.1211,1.0,0.0765,0.9958,0.0432,1.0,0.0915,0.9208
damped_osc_pow,0,0.1,0,threshold_ens_010,0,0,0.04704,0.043066,1.5329,240,1.1238,0.4667,0.8789,0.7708,0.4585,1.0,1.0489,0.3958
damped_osc_pow,0,0.1,0,threshold_ens_050,0,0,0.046885,0.043066,1.5329,240,1.1438,0.4667,0.8751,0.775,0.4585,1.0,1.0495,0.4
damped_osc_pow,0,0.1,0,threshold_ens_safe,0,0,0.046868,0.043066,1.5329,240,1.1438,0.4667,0.8751,0.775,0.4585,1.0,1.0495,0.4
damped_osc_pow,0,0.1,0,capped_diag_49,0,0,0.036562,0.03472,1.4648,240,1.1598,0.4583,0.6244,0.9208,0.3182,0.9917,0.7552,0.6917
damped_osc_pow,0,0.1,0,capped_diag_safe,0,0,0.033965,0.031869,1.309,240,1.0774,0.475,0.5424,0.9542,0.304,1.0,0.7216,0.7667
damped_osc_pow,0,0.1,0,diag_ensemble_49,0,0,0.036562,0.03472,1.4648,240,1.1598,0.4583,0.6244,0.9208,0.3182,0.9917,0.7552,0.6917
damped_osc_pow,0,0.1,0,diag_ensemble_safe,0,0,0.033965,0.031869,1.309,240,1.0774,0.475,0.5424,0.9542,0.304,1.0,0.7216,0.7667
damped_osc_pow,0,0.1,0,equal_ensemble_49,0,0,0.046617,0.043893,1.5043,240,1.1465,0.4708,0.8742,0.775,0.4623,1.0,1.0545,0.3917
damped_osc_pow,0,0.1,0,equal_ensemble_safe,0,0,0.046868,0.043066,1.5329,240,1.1438,0.4667,0.8751,0.775,0.4585,1.0,1.0495,0.4
damped_osc_pow,0,0.1,0,diag_ensemble_9,0,0,0.03616,0.034249,1.4728,240,1.2013,0.425,0.5768,0.975,0.3159,1.0,0.6594,0.7958
